"","HuAgeGBsplit_03....PGBObyQGBO__"
"1","AC002069.1"
"2","AC006026.1"
"3","AC026471.6"
"4","AC026954.1"
"5","AC073136.2"
"6","AC087283.1"
"7","AC122688.1"
"8","AC131235.4"
"9","AC141002.1"
"10","AL022334.1"
"11","AL031073.1"
"12","AL079342.3"
"13","APCS"
"14","ATP5MFP5"
"15","BDH2P1"
"16","CLIC4P3"
"17","DBF4P1"
"18","MIR548Y"
"19","NIFKP9"
"20","NUFIP1P"
"21","PPIAP55"
"22","RPS20P10"
"23","SLC16A6P1"
"24","SPATA8"
