"","blue....PGBCbyQGBC__"
"1","AAGAB"
"2","AAK1"
"3","ABCB7"
"4","ABCC6"
"5","ABCC6P2"
"6","ABCE1"
"7","ABHD17C"
"8","ABHD5"
"9","ABRACL"
"10","AC002401.4"
"11","AC002504.1"
"12","AC004383.1"
"13","AC004552.1"
"14","AC004854.2"
"15","AC004890.1"
"16","AC005013.1"
"17","AC005498.2"
"18","AC005674.2"
"19","AC005740.1"
"20","AC005837.1"
"21","AC005840.1"
"22","AC006058.1"
"23","AC006058.3"
"24","AC006058.4"
"25","AC006329.2"
"26","AC007382.1"
"27","AC007387.1"
"28","AC007622.1"
"29","AC007785.3"
"30","AC008074.3"
"31","AC008155.1"
"32","AC008549.3"
"33","AC008750.3"
"34","AC009053.2"
"35","AC009237.15"
"36","AC009474.2"
"37","AC009948.1"
"38","AC009949.1"
"39","AC010424.2"
"40","AC010468.1"
"41","AC010997.5"
"42","AC011008.2"
"43","AC011043.1"
"44","AC011477.3"
"45","AC011979.1"
"46","AC012020.2"
"47","AC012213.3"
"48","AC012306.2"
"49","AC012360.3"
"50","AC012640.3"
"51","AC013356.1"
"52","AC013451.2"
"53","AC013476.2"
"54","AC015818.2"
"55","AC015849.5"
"56","AC015911.1"
"57","AC015912.3"
"58","AC015922.3"
"59","AC015922.4"
"60","AC016257.1"
"61","AC016397.2"
"62","AC016773.1"
"63","AC016877.3"
"64","AC018450.1"
"65","AC018648.1"
"66","AC018653.3"
"67","AC018868.2"
"68","AC019131.2"
"69","AC019163.1"
"70","AC020765.2"
"71","AC021087.1"
"72","AC021321.1"
"73","AC022034.2"
"74","AC022432.1"
"75","AC022613.1"
"76","AC022743.1"
"77","AC022893.1"
"78","AC023043.1"
"79","AC023043.2"
"80","AC023161.2"
"81","AC024884.1"
"82","AC024884.2"
"83","AC025259.2"
"84","AC025271.4"
"85","AC026333.4"
"86","AC026801.2"
"87","AC027031.2"
"88","AC027801.5"
"89","AC034229.4"
"90","AC040170.1"
"91","AC044802.1"
"92","AC046130.1"
"93","AC060766.3"
