"","lightgreen....PGBObyQGBO__"
"1","AL136038.4"
"2","AL158211.3"
"3","AL365361.1"
"4","AL603839.4"
"5","CARS"
"6","CD44"
"7","DUSP8"
"8","ELOCP18"
"9","HIPK3"
"10","KRT18P14"
"11","LINC01219"
"12","LMNTD2"
"13","LRRC56"
"14","MLLT10P2"
"15","PAXIP1-AS2"
"16","PROX1"
"17","PRRX2"
"18","RPS2P32"
"19","SCT"
"20","SEMA5A"
"21","TMEM220"
"22","TMEM86A"
"23","TMEM9B-AS1"
"24","TNC"
"25","TOLLIP-AS1"
"26","TPP1"
