"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"2200002J24Rik",0,0.850663621415064,-1.68907617803565,Inf,Inf,0.189787056970882,"NSCbyNPC",0.433981188624943
"Ascl2",0,1.16232626501538,-1.60123864083117,Inf,Inf,0.207639865688874,"NSCbyNPC",0.454521786260788
"Ccr1l1",0,1.61435467638472,-1.67229843081613,Inf,Inf,0.19305883430986,"NSCbyNPC",0.436950648516687
"E230013L22Rik",0,1.88499255725318,-1.59347502925907,Inf,Inf,0.209306455982075,"NSCbyNPC",0.456156093789021
"Gm10182",0,0.768998579046044,-1.72546651591751,Inf,Inf,0.182904762123231,"NSCbyNPC",0.426968827746134
"Gm12596",0,2.14877547813084,-1.66277567244191,Inf,Inf,0.194944215095702,"NSCbyNPC",0.439270353578574
"Gm13007",0,1.5578569932835,-9.01716837869708,Inf,Inf,0.00287977354581675,"NSCbyNPC",0.0540343729222272
"Gm14336",0,0.963260919691652,-2.89041742758241,Inf,Inf,0.0629915937242727,"NSCbyNPC",0.241206802130651
"Gm23143",0,3.5191971909697,-1.64402796027123,Inf,Inf,0.198717094390055,"NSCbyNPC",0.443352864451604
"Gm38137",0,2.70985042706815,-1.73169852873667,Inf,Inf,0.181754867485267,"NSCbyNPC",0.426968827746134
"Gm43971",0,0.784962893800545,-1.68797816310527,Inf,Inf,0.189999245386539,"NSCbyNPC",0.434200244779196
"Gm44198",0,1.65678739678921,-1.66358870436766,Inf,Inf,0.19478243541294,"NSCbyNPC",0.439199289004354
"Gm5526",0,0.857038923620788,-2.89269412084452,Inf,Inf,0.0628748976440065,"NSCbyNPC",0.241112616006469
"Gm568",0,2.94647263442757,-1.71786375102017,Inf,Inf,0.184318831210741,"NSCbyNPC",0.427720967685525
"Gm8762",0,0.584267377847732,-1.73067364641771,Inf,Inf,0.1819434047343,"NSCbyNPC",0.426968827746134
"Htr1b",0,6.77940040435044,-3.50766716275668,Inf,Inf,0.0392636873752584,"NSCbyNPC",0.187527457231164
"Ncr3-ps",0,1.8030646713646,-3.07546711439713,Inf,Inf,0.0543287027819748,"NSCbyNPC",0.222218205327676
"Orm2",0,2.61534436886826,-6.19093995516428,Inf,Inf,0.00848871857060482,"NSCbyNPC",0.0871206581064846
"Rpl13-ps6",0,1.54818357308951,-6.89994079641973,Inf,Inf,0.00623781745766727,"NSCbyNPC",0.0763891488983697
"Sstr4",0,1.39701200102504,-1.64941748259179,Inf,Inf,0.197624112843505,"NSCbyNPC",0.442260827443012
"Gm26544",0.00372860001318631,5.55537042765435,-2.96741575694519,1489.93466931492,10.5410333574155,0.0591828993753973,"NSCbyNPC",0.233964474124729
"Cd300lb",0.00492916681047023,3.00743058099442,-2.62861882172019,610.129601336726,9.2529719166242,0.0783976673320996,"NSCbyNPC",0.269456973872905
"Lbx2",0.0304783750678303,8.0697051566401,-6.29660795268329,264.768221359597,8.04858616373942,0.00771336878949743,"NSCbyNPC",0.0840040655599365
"Ighd",0.00876148722112913,2.04688994379137,-3.42924215741454,233.623572360536,7.86804203767381,0.0414490562141364,"NSCbyNPC",0.193575932231362
"Gm47819",0.0454752861703637,8.35213142917474,-2.97566573644254,183.663086756293,7.52091788750911,0.058104211850917,"NSCbyNPC",0.231802075931411
"Cxcl9",0.0292800152027235,5.35637515458063,-1.47796831565096,182.936214940298,7.51519689604171,0.235671663634813,"NSCbyNPC",0.485499531769655
"Gm13391",0.00864167824808421,1.49217128501652,-10.9144597314311,172.671469844104,7.43188591876399,0.00149337178722702,"NSCbyNPC",0.04286837408149
"Abcg3",0.0118188978593842,1.85209581747528,-4.07583493122755,156.706305402641,7.29191942057503,0.0265984226264641,"NSCbyNPC",0.151706702396484
"Gm21188",0.00809427670715823,1.20376418592737,-2.41526888587191,148.717943489974,7.21643491532409,0.0945165875716689,"NSCbyNPC",0.298191070378189
"Ifi206",0.0087397412049447,1.06071986823443,-6.01235691747584,121.367423057596,6.923237421086,0.00893198316091763,"NSCbyNPC",0.0891983515232368
"Cd28",0.00854051625363783,1.02157550143406,-2.71519824726974,119.615193168085,6.90225683780692,0.0727931704449925,"NSCbyNPC",0.258933585129549
"Gm32591",0.0107891527930606,0.922074734945439,-1.65509563362629,85.4631269601171,6.41723019879292,0.196401917061323,"NSCbyNPC",0.441094419867258
"Cd300ld",0.110268239066643,9.19998971617913,-8.09185174779818,83.4328161404565,6.38254303696462,0.00267279690402019,"NSCbyNPC",0.0517891522333134
"Cd4",0.11961491063286,9.68241241002126,-11.2843654351495,80.9465338292141,6.33889739981957,0.00125458442001427,"NSCbyNPC",0.040515526026896
"Chodl",0.00784120238735297,0.620533864246205,-1.73790413237726,79.1375905877727,6.3062912367713,0.180410298057309,"NSCbyNPC",0.425800045372613
"Ifitm6",0.21538863521854,16.8053419015827,-10.2085463535494,78.0233454960678,6.28583395465856,0.00021385781484355,"NSCbyNPC",0.0277228221927918
"Ms4a14",0.0681589112065874,5.18425136999392,-4.37999373420878,76.0612409767026,6.24908957232983,0.0200538360652792,"NSCbyNPC",0.131656972680805
"Sash3",0.30831608707332,23.0448336988731,-7.3913561221137,74.744181912872,6.22388937918643,0.00272599071199541,"NSCbyNPC",0.0521307380903976
"Gm12708",0.0139403984166476,1.04013232929719,-2.14765803057988,74.6128122174087,6.22135148053433,0.120535185622948,"NSCbyNPC",0.340746985739766
"Mmp9",2.17220092925161,158.755671392328,-12.0126237328833,73.0851687127414,6.19150676241259,2.02549180447073e-05,"NSCbyNPC",0.0174083098865637
"Ccl8",4.39023512827269,316.719248866672,-4.74638451523839,72.141750865923,6.172762532359,0.00764281191911024,"NSCbyNPC",0.083758734551066
"Gm13822",0.0136734255724429,0.953460162912975,-1.54959444574615,69.7308920768587,6.12372603322551,0.21870412231955,"NSCbyNPC",0.466464028509409
"Ccl26",0.068200462732773,4.72414687110117,-2.3571028653129,69.2685457225063,6.11412847998152,0.0988127274270068,"NSCbyNPC",0.304985920427914
"Gm29291",0.294873238273968,19.1019878070066,-8.87597199482212,64.7803372012311,6.01748407270366,0.000451989489982681,"NSCbyNPC",0.0318217450952133
"5033421B08Rik",0.0270136956353918,1.74225997804345,-5.61775028400062,64.4954323006749,6.01112508440759,0.0107613962881396,"NSCbyNPC",0.0978484206070936
"2310047D07Rik",0.0128018062943929,0.816060014978316,-1.67858778280084,63.7456930851815,5.99425596588549,0.191464057244533,"NSCbyNPC",0.435460557974972
"Ifi209",0.0326049737003607,2.00713998489628,-2.63169339880976,61.5593192419619,5.94390537249767,0.0772879866602968,"NSCbyNPC",0.267874556623491
"Gapt",0.0363577734922243,2.2027462066595,-3.17106276083674,60.5852887864706,5.92089561843116,0.0498749826481932,"NSCbyNPC",0.211748594925424
"Tnfsf18",0.0619878274749672,3.69153400287019,-3.75660806268053,59.5525630312009,5.89609169521574,0.0315320994035695,"NSCbyNPC",0.165505373126965
"Clec2i",0.114407546107299,6.54026467964661,-3.54517513931517,57.1663749654477,5.83709490387191,0.0358829164889397,"NSCbyNPC",0.178786631406142
"Gm11707",0.0788902385399416,4.4647167452511,-1.34064297029587,56.5940327711221,5.82257803936941,0.270793815447127,"NSCbyNPC",0.524554917981515
"Gm9949",0.0352533951861157,1.90365352929609,-2.29089774625172,53.9991543862938,5.75486491008472,0.105349660123943,"NSCbyNPC",0.315732139288749
"Vis1",0.284616467673221,15.2301346338942,-1.46833008272186,53.511080221052,5.74176574761331,0.232194955538321,"NSCbyNPC",0.482333505764609
"Gm45778",0.37390790851188,19.9958762063939,-1.47975986152606,53.4780777597768,5.74087570436729,0.228113220129568,"NSCbyNPC",0.477072232256826
"Tlr8",0.347173622979441,17.9313782553733,-6.02188588382585,51.6495985538486,5.69068523068394,0.0062681880162733,"NSCbyNPC",0.0763891488983697
"Gm13431",0.0402984167099896,2.08049075623498,-1.55474402563886,51.6271091047419,5.69005691055354,0.21739172266036,"NSCbyNPC",0.464949926945379
"Tlr9",0.0459968134297565,2.3546978246455,-3.15891217336304,51.1926294251111,5.67786420477485,0.048642280068771,"NSCbyNPC",0.209051767570929
"Aoah",0.0726828525138981,3.63164602953198,-5.55530706267461,49.9656508230405,5.64286474143621,0.0109713101953056,"NSCbyNPC",0.0984907612044573
"Dnase1l3",0.257115257811393,12.8406859536478,-5.56110145741708,49.9413611737778,5.64216323797762,0.0109681299371659,"NSCbyNPC",0.0984907612044573
"Casp4",0.0643828213165907,3.19582973018723,-4.7045102063311,49.6379261553687,5.63337093662749,0.017632417916257,"NSCbyNPC",0.124174589777739
"Rnase12",0.156519223440431,7.51235256437848,-12.1181559845436,47.9963572476935,5.58485300946876,9.96900936297572e-05,"NSCbyNPC",0.0271607429874296
"Cd36",0.316939332137416,14.5067110187782,-9.60415001641406,45.7712550883037,5.51636994734256,0.00109553790518872,"NSCbyNPC",0.0394674719933882
"Ifi202b",0.248998665645092,10.9500963032122,-11.1249310435756,43.9765260381747,5.45866173670074,0.000465936026329779,"NSCbyNPC",0.0318719625579613
"Btnl2",0.0391311420220253,1.71480699574186,-2.10913319193936,43.8220534114916,5.45358518252832,0.12425227347279,"NSCbyNPC",0.346273165645005
"Ptafr",2.14001771530592,92.4978167342237,-8.31665216902803,43.222921040633,5.43372466889954,0.00017018750256227,"NSCbyNPC",0.0271607429874296
"Gpr165",0.432490232576833,18.5376089809182,-3.89442076828843,42.8624916462707,5.42164381287277,0.0293521854855802,"NSCbyNPC",0.159708400822671
"Cd180",0.0835581713643955,3.52059511973512,-6.66358098899903,42.1334629785263,5.39689459176611,0.00626080982358206,"NSCbyNPC",0.0763891488983697
"Cd209f",71.7331012538892,2979.66028990528,-5.73933219063064,41.5381495825642,5.37636504415806,0.00208541634993467,"NSCbyNPC",0.0478715950779894
"Cd209b",7.5765831151077,311.561253388486,-6.45466468126745,41.1216043769431,5.3618246478799,0.000896848962418024,"NSCbyNPC",0.0384859976883218
"Ighj1",4.47807253069681,182.301014034666,-5.1180770439234,40.7097055228578,5.34730088054487,0.00444975846679643,"NSCbyNPC",0.0661818554054126
"Gpr84",0.170409917476379,6.92039954913703,-3.95547794765566,40.610309843594,5.34377412949043,0.02539906561151,"NSCbyNPC",0.148508954042823
"Cct8l1",0.083114346161917,3.36611151347769,-1.59750515879271,40.4997653103122,5.33984164272093,0.205850987130022,"NSCbyNPC",0.452782499952613
"Clec4n",1.26074483850677,50.2389219464849,-9.26065315302044,39.8486041045293,5.31645728242192,0.000134382170345104,"NSCbyNPC",0.0271607429874296
"I830077J02Rik",0.248868170934366,9.85441824116478,-12.5815306975332,39.5969408388656,5.30731707046803,0.000274715430891125,"NSCbyNPC",0.0294783093953824
"Pla2g2d",6.07609589247781,240.420934225663,-7.7927315596971,39.5683245426234,5.30627407287871,0.000496309543711394,"NSCbyNPC",0.0332885309822964
"Ccno",0.0441627111021364,1.74705042651626,-1.58070839299235,39.5594016516742,5.30594869993558,0.210551365901049,"NSCbyNPC",0.457681848813577
"Cd209g",15.2490241983064,593.735513234606,-7.43196970147609,38.9359676732985,5.28303157681512,0.00042857903022885,"NSCbyNPC",0.0316354817498555
"AC101945.2",0.0372457113399267,1.44860303534875,-1.82138012754162,38.8931499288047,5.28144417724594,0.164397745511335,"NSCbyNPC",0.40578785343748
"Hlx",0.166538408040837,6.38240509548574,-4.82737130265645,38.3239228149743,5.2601733369649,0.0157698422612158,"NSCbyNPC",0.117211011926597
"Tlr13",0.947863265711863,36.0024070906827,-5.01730956805451,37.9827010846804,5.2472705991876,0.00521617625052462,"NSCbyNPC",0.0704354964547456
"Gm5431",0.528582798468979,19.7390198514177,-8.61237762032646,37.3432883336177,5.22277706727535,0.000388126795627369,"NSCbyNPC",0.0311192926769967
"Nxpe5",0.0221075704278597,0.822544446416016,-1.85048290888714,37.2064605244662,5.21748124733226,0.160496067640956,"NSCbyNPC",0.400336248821559
"Abcc3",0.225096522071988,8.24846556843577,-8.05864411247221,36.6441271171566,5.19551009385012,0.00234952405392253,"NSCbyNPC",0.0494122667764653
"Cybb",1.12032575291959,40.9262638247632,-8.36236880072024,36.53068200754,5.1910367831537,0.000174891591586184,"NSCbyNPC",0.0271607429874296
"Il21r",0.182285759668129,6.58958661929606,-3.46792426993087,36.1497608551164,5.1759141981003,0.0382495662511009,"NSCbyNPC",0.18515603704688
