"","     NA.1","    NA.10","    NA.11","     NA.2","     NA.3","     NA.4","     NA.5","     NA.6","     NA.7","     NA.8","     NA.9","     NA."
"","Min.   :0.0000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   :0.000  ","Min.   : 0.000  ","Min.   :0.0000  ","Min.   : 0.000  ","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   :0.0000  ","Min.   : 0.000  "
"","1st Qu.:0.6935  ","1st Qu.: 1.344  ","1st Qu.: 0.5758  ","1st Qu.: 1.899  ","1st Qu.:1.130  ","1st Qu.: 1.808  ","1st Qu.:0.1956  ","1st Qu.: 1.036  ","1st Qu.:0.0000  ","1st Qu.: 0.7405  ","1st Qu.:0.3774  ","1st Qu.: 0.922  "
"","Median :1.6631  ","Median : 2.323  ","Median : 1.4579  ","Median : 2.962  ","Median :2.240  ","Median : 2.966  ","Median :1.3395  ","Median : 2.125  ","Median :0.8391  ","Median : 2.0461  ","Median :1.1667  ","Median : 2.371  "
"","Mean   :1.8602  ","Mean   : 2.663  ","Mean   : 1.6444  ","Mean   : 3.254  ","Mean   :2.320  ","Mean   : 3.188  ","Mean   :1.6349  ","Mean   : 2.410  ","Mean   :1.2227  ","Mean   : 2.4165  ","Mean   :1.4574  ","Mean   : 2.609  "
"","3rd Qu.:2.7792  ","3rd Qu.: 3.773  ","3rd Qu.: 2.4778  ","3rd Qu.: 4.449  ","3rd Qu.:3.322  ","3rd Qu.: 4.409  ","3rd Qu.:2.5841  ","3rd Qu.: 3.612  ","3rd Qu.:1.9580  ","3rd Qu.: 3.7591  ","3rd Qu.:2.1695  ","3rd Qu.: 4.003  "
"","Max.   :8.8375  ","Max.   :12.784  ","Max.   :10.4217  ","Max.   :12.654  ","Max.   :9.039  ","Max.   :12.933  ","Max.   :9.7665  ","Max.   :12.218  ","Max.   :9.1301  ","Max.   :12.5382  ","Max.   :9.1144  ","Max.   :11.599  "
