"","gene_name_length"
"1700020D05Rik",879
"1700020N01Rik",33161
"1700042G07Rik",847
"1700066B19Rik",4413
"1700092M07Rik",371
"1700123L14Rik",1965
"2310050C09Rik",989
"3110082J24Rik",297
"4930444P10Rik",9389
"4933400A11Rik",864
"4933403O08Rik",4284
"4933416C03Rik",1143
"5330417C22Rik",76652
"A1bg",3726
"A1cf",88709
"A2m",49712
"A2ml1",41690
"A3galt2",12289
"A4galt",3552
"A4gnt",6424
"AA926063",12537
"AABR07000046.1",13051
"AABR07000089.1",8653
"AABR07000137.1",2202
"AABR07000145.1",3088
"AABR07000147.1",19979
"AABR07000156.1",1036
"AABR07000158.1",2250
"AABR07000159.1",133
"AABR07000159.2",360
"AABR07000159.3",334
"AABR07000159.4",276
"AABR07000173.1",11503
"AABR07000200.1",28148
"AABR07000220.1",90
"AABR07000222.1",561
"AABR07000248.1",913
"AABR07000257.1",108
"AABR07000261.1",7543
"AABR07000276.1",498
"AABR07000292.1",759
"AABR07000325.1",1151
"AABR07000332.1",99
"AABR07000356.1",127
"AABR07000382.1",5224
"AABR07000385.1",261
"AABR07000385.2",6544
"AABR07000398.1",5104
"AABR07000402.1",49
"AABR07000404.1",49
"AABR07000411.1",130040
"AABR07000433.1",9545
"AABR07000436.1",2294
"AABR07000451.1",3074
"AABR07000452.1",37167
"AABR07000458.1",101
"AABR07000484.1",21757
"AABR07000493.1",12552
"AABR07000523.1",13932
"AABR07000533.1",9465
"AABR07000534.1",2101
"AABR07000544.1",376
"AABR07000574.1",103
"AABR07000581.1",723
"AABR07000583.1",672
"AABR07000595.1",964
"AABR07000629.1",474
"AABR07000629.2",581
"AABR07000629.3",5525
"AABR07000639.1",1550
"AABR07000658.1",1487
"AABR07000663.1",18259
"AABR07000714.1",966
"AABR07000714.2",4867
"AABR07000723.2",779
"AABR07000725.1",3115
"AABR07000733.1",3410
"AABR07000738.1",1504
"AABR07000740.1",2615
"AABR07000740.2",4312
"AABR07000747.1",784
"AABR07000765.1",1010
"AABR07000765.2",2125
"AABR07000765.3",1002
"AABR07000902.1",2958
"AABR07000968.1",98
"AABR07000968.2",1007
"AABR07000978.1",667
"AABR07000986.1",3875
"AABR07000989.1",336
"AABR07001001.1",1644
"AABR07001003.1",22799
"AABR07001006.1",971
"AABR07001010.1",6766
"AABR07001018.1",2497
"AABR07001018.2",13190
"AABR07001018.3",19977
"AABR07001018.4",5990
"AABR07001018.5",2900
"AABR07001019.1",1993
"AABR07001025.1",2562
"AABR07001035.1",331
"AABR07001037.1",5520
"AABR07001048.1",795
"AABR07001054.1",2633
"AABR07001054.2",73849
"AABR07001057.1",104
"AABR07001061.1",94580
"AABR07001064.1",2805
"AABR07001068.1",103178
"AABR07001099.1",8160
"AABR07001099.2",10204
"AABR07001100.1",1753
"AABR07001160.1",2461
"AABR07001207.1",20865
"AABR07001210.1",45632
"AABR07001233.1",140503
"AABR07001348.1",1598
"AABR07001358.1",23385
"AABR07001379.1",616
"AABR07001382.1",469118
"AABR07001382.2",688
"AABR07001389.1",1067
"AABR07001392.1",16592
"AABR07001408.1",404
"AABR07001416.1",3914
"AABR07001416.2",129
"AABR07001416.3",922
"AABR07001432.1",542
"AABR07001432.2",376
"AABR07001433.1",1360
"AABR07001435.1",1238
"AABR07001444.1",26591
"AABR07001448.1",45835
"AABR07001452.1",569
"AABR07001455.1",897
"AABR07001477.1",4343
"AABR07001493.1",24454
"AABR07001497.1",21071
"AABR07001512.1",552
"AABR07001516.1",5471
"AABR07001518.1",1698
"AABR07001519.1",554436
"AABR07001555.1",512
"AABR07001561.1",83
"AABR07001573.1",63923
"AABR07001591.1",2866
"AABR07001592.1",805
"AABR07001592.2",17510
"AABR07001599.1",1354
"AABR07001610.1",64171
"AABR07001623.1",481
"AABR07001634.1",1603
"AABR07001640.1",6981
"AABR07001662.1",3592
"AABR07001699.1",4053
"AABR07001700.1",138158
"AABR07001700.2",4721
"AABR07001734.1",46960
"AABR07001762.1",2545
"AABR07001764.1",13518
"AABR07001780.1",769
"AABR07001799.1",95114
"AABR07001807.1",5504
"AABR07001880.1",936
"AABR07001888.1",939
"AABR07001896.1",3212
"AABR07001902.1",522
"AABR07001905.1",31260
"AABR07001905.2",6507
"AABR07001910.1",2629
"AABR07001923.1",1876
"AABR07001926.1",1572
"AABR07001926.2",15760
"AABR07001926.3",2175
"AABR07001929.1",29257
"AABR07001942.1",31074
"AABR07001967.1",15041
"AABR07002001.1",3212
"AABR07002010.1",14192
"AABR07002025.1",1133
"AABR07002044.1",18055
"AABR07002065.1",797
"AABR07002065.2",22087
"AABR07002066.2",1968
"AABR07002068.1",99517
"AABR07002071.1",6813
"AABR07002093.1",23199
"AABR07002093.2",45663
"AABR07002094.1",925
"AABR07002129.1",953
"AABR07002134.1",5594
"AABR07002140.2",750
"AABR07002181.1",860
"AABR07002187.1",904
"AABR07002209.1",61488
"AABR07002241.1",24899
"AABR07002247.1",11197
"AABR07002258.1",16745
"AABR07002262.1",81
"AABR07002262.2",12761
"AABR07002267.1",969
"AABR07002337.1",17536
"AABR07002351.1",886
"AABR07002351.2",1468
