"Module","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"MEc1_HuAgeGBsplitRnaseq_62","-0.00583887369790104","0.0124469363251853","-0.0137018188631539","-0.00405299847601462","0.0172705499834366","-0.0338662938154295","0.0145519599150021","-0.035346259309487","-0.00475156138763064","0.908375700690845","0.806190285280936","0.787097809813359","0.936327450646466","0.733528934471926","0.504318632285341","0.774234598130546","0.48586092547178","0.925382614952616"
"MEc1_HuAgeGBsplitRnaseq_292","0.0393876564705866","-0.0121105326407209","0.00443996221001154","-0.0372633889735076","0.0891533796442268","0.03568706230013","0.0230124017260498","-0.041273516791401","-0.03249040624515","0.437366273879816","0.811328649856871","0.930263026390775","0.46250276186216","0.0782794617485423","0.48166269730351","0.650085086878736","0.41572237780065","0.521803125627217"
"MEc1_HuAgeGBsplitRnaseq_53","0.0507685119834446","-0.0250957148610494","-0.00539479279280972","-0.0395016120125007","0.049711177655027","0.0779288911451819","0.0382411969859357","-0.0343310215462841","-0.0344167149158111","0.316674981079163","0.620794398924876","0.915317070947074","0.436040347192864","0.326871910064343","0.123962881640974","0.450833864604742","0.498483288206678","0.497411200180103"
"MEc1_HuAgeGBsplitRnaseq_161","0.00331529269287601","0.0314873848658743","-0.0732832472297604","-0.0323634952935496","0.062080625616137","0.028403988361328","0.0323188877182023","-0.0200001136486341","-0.0278030551465414","0.94789854746851","0.534742238774036","0.148068304654792","0.523431386027065","0.220644414967397","0.575501746823582","0.524004314890456","0.693396541534908","0.58361250944576"
"MEc1_HuAgeGBsplitRnaseq_23","-0.00890675648832361","0.0318237885503387","-0.0797283536636481","-0.0177243067682431","0.0851858208642482","0.00764722763574215","-0.0157364217685488","-0.0240239132849307","-0.014447315029958","0.860640165241868","0.530384679196023","0.115490881976571","0.726803424562893","0.0925482237656608","0.880186965346307","0.75641605051051","0.635792610380847","0.775814696585322"
"MEc1_HuAgeGBsplitRnaseq_84","0.0474037373100779","-0.0324293151823748","-0.0386228970741864","-0.028794436934074","0.0714160580396163","0.0291322957552082","0.0152287952598859","-0.0679297585502836","-0.0346093457828772","0.349853846807219","0.522586596492162","0.44632421496704","0.57026047783708","0.158705078452567","0.565743530050335","0.76403739565215","0.180091844219347","0.495005716420155"
"MEc1_HuAgeGBsplitRnaseq_964","0.0892160108247082","-0.027854225073658","-0.0134631112174543","-0.0840241027340942","0.23268565315522","0.186082539136392","-0.0201358515102936","-0.10963001458544","-0.0742270941094732","0.0780694036911648","0.58291980963385","0.790720215119395","0.0970987402893011","3.31432312306965e-06","0.000215488348487151","0.691421907901685","0.0302051747304759","0.142902294351132"
"MEc1_HuAgeGBsplitRnaseq_305","0.0931250872834724","-0.0212607128581544","-0.0254462350315715","-0.0947312778125209","0.226617622079959","0.189359922408853","0.0126906627165716","-0.133595790923986","-0.0850144226651752","0.0658368255814003","0.675139560046702","0.615922887420979","0.0612892555049433","6.01845930264614e-06","0.000165556510605465","0.802472696824676","0.00816680104354295","0.0932086689851373"
"MEc1_HuAgeGBsplitRnaseq_57","0.0910468441028636","-0.0145326391688651","-0.0284062098382459","-0.0982398436574291","0.242254471389287","0.182805155863931","0.0142135422425602","-0.133871414270836","-0.0893165120296515","0.0721283084735372","0.774526264236753","0.575471862337897","0.0522527838289769","1.25136061527216e-06","0.000279243454531302","0.779347909867671","0.00803485502608926","0.0777332893059346"
"MEc1_HuAgeGBsplitRnaseq_99","0.109008803020983","-0.185560272350601","-0.127040209041298","0.0335733455848973","0.0604469249420281","-0.0473399806022133","-0.115738843975133","0.0305887694016324","0.028894630059916","0.0311591660744639","0.000224640923562991","0.0119299544017972","0.508015388518171","0.233055656838753","0.350503026840471","0.0220818230952358","0.546469861056558","0.5689191776238"
"MEc1_HuAgeGBsplitRnaseq_16","0.108316055294113","-0.191682819407854","-0.12064284413655","0.0399250596144724","-0.0581130668361583","0.0444267510266925","-0.0901883097057688","-0.0168963638218746","0.0388472248583316","0.0322532778620406","0.000136975026953683","0.0170029773698637","0.431133607222151","0.251629058030075","0.380974484944451","0.0748666695314439","0.739090455526092","0.443685843261804"
