"Module","StudySRP027383","StudySRP091303","GenderM","DiseaseCON","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","Age","Tissueprefrontal_cortex","p.value.StudySRP027383","p.value.StudySRP091303","p.value.GenderM","p.value.DiseaseCON","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4","p.value.Age","p.value.Tissueprefrontal_cortex"
"MEc1_HuAgeGBsplitRnaseq_62","-1.14491749414469e-15","-2.25514051876985e-16","-8.41340885848751e-16","1.54704807991957e-15","-0.0218227338374626","-0.0372812445642525","0.0255586543927585","-2.56739074444567e-16","-5.03069808033274e-17","0.999999999999982","0.999999999999996","0.999999999999987","0.999999999999976","0.667060127425117","0.462288184516006","0.614364038081573","0.999999999999996","0.999999999999999"
"MEc1_HuAgeGBsplitRnaseq_292","5.16947595841089e-16","-1.11618613657383e-16","2.84494650060196e-16","-5.44703171456717e-16","0.00384482048635045","-0.035506199062629","0.0112107417917467","3.81639164714898e-16","3.12250225675825e-16","0.999999999999992","0.999999999999998","0.999999999999996","0.999999999999991","0.939591523200969","0.483888233856631","0.825111681815795","0.999999999999994","0.999999999999995"
"MEc1_HuAgeGBsplitRnaseq_53","1.11022302462516e-16","-9.54097911787244e-18","1.38777878078145e-17","-1.11022302462516e-16","0.0057915612445611","-0.0423088272564652","0.0138481267017665","3.57353036051222e-16","2.58473797920544e-16","0.999999999999998","1","1","0.999999999999998","0.909114913244634","0.404113063457636","0.784879838737479","0.999999999999994","0.999999999999996"
"MEc1_HuAgeGBsplitRnaseq_161","5.83083928362704e-16","-8.5868812060852e-17","2.53269627492614e-16","-6.36643515683488e-16","0.0132964588992597","-0.000314253342565574","-0.00530098928386995","3.46944695195361e-17","-1.50053580671994e-16","0.999999999999991","0.999999999999999","0.999999999999996","0.99999999999999","0.793251852947381","0.99505788448351","0.916784142574632","0.999999999999999","0.999999999999998"
"MEc1_HuAgeGBsplitRnaseq_23","5.42751607546244e-16","-9.71445146547012e-17","3.54019114370829e-16","-5.80265002714242e-16","0.0283436964752994","0.0245955095015941","-0.0186131564094083","-1.38777878078145e-17","-6.7762635780344e-17","0.999999999999991","0.999999999999998","0.999999999999994","0.999999999999991","0.576313104021997","0.627774970005506","0.713690060152463","1","0.999999999999999"
"MEc1_HuAgeGBsplitRnaseq_84","-2.10226801244939e-16","2.1163626406917e-16","2.22044604925031e-16","7.28583859910259e-17","0.0172484380749776","-0.0391119011983729","0.0102947581373896","3.08780778723872e-16","3.53883589099269e-16","0.999999999999997","0.999999999999997","0.999999999999996","0.999999999999999","0.733857199606494","0.440584364829997","0.839198111210423","0.999999999999995","0.999999999999994"
"MEc1_HuAgeGBsplitRnaseq_964","3.3133218391157e-16","-3.46944695195361e-18","2.22044604925031e-16","-4.28476698566271e-16","0.0827154713469109","0.0460528933785665","-0.0682259720641943","-5.55111512312578e-17","-8.50014503228635e-17","0.999999999999995","1","0.999999999999996","0.999999999999993","0.102436270234375","0.363770754235362","0.178195736607124","0.999999999999999","0.999999999999999"
"MEc1_HuAgeGBsplitRnaseq_305","3.23525928269675e-16","-1.04083408558608e-17","2.30718222304915e-16","-3.81639164714898e-16","0.0671796114570289","0.0516972257455007","-0.063211548815506","-9.71445146547012e-17","-2.08166817117217e-17","0.999999999999995","1","0.999999999999996","0.999999999999994","0.184960374244595","0.307891847318636","0.212333999534283","0.999999999999998","1"
"MEc1_HuAgeGBsplitRnaseq_57","2.85287472898826e-16","4.16333634234434e-17","3.22658566531686e-16","-3.95516952522712e-16","0.073626394772915","0.0508416144962796","-0.064926651531903","-6.93889390390723e-18","-3.81639164714898e-17","0.999999999999996","0.999999999999999","0.999999999999995","0.999999999999994","0.146173936300263","0.315977748314782","0.200164491544791","1","0.999999999999999"
"MEc1_HuAgeGBsplitRnaseq_99","1.66533453693773e-16","1.38777878078145e-17","1.52655665885959e-16","-2.37657116208823e-16","0.0664480478740224","-0.0330058036103916","-0.00644986672106177","1.73472347597681e-17","0","0.999999999999997","1","0.999999999999998","0.999999999999996","0.189801058118534","0.51521737803742","0.898836835012252","1","1"
