"Module","DiseaseGrade_2","DiseaseGrade_3","DiseaseGrade_4","p.value.DiseaseGrade_2","p.value.DiseaseGrade_3","p.value.DiseaseGrade_4"
"MEc1_HuAgeGBsplitRnaseq_1513","0.186241876848411","0.223954523618163","0.107786028672748","0.000212766202921744","7.77985350406053e-06","0.0331123819643435"
"MEc1_HuAgeGBsplitRnaseq_163","0.198377938998934","0.229416829072264","0.117092514664901","7.83371322910144e-05","4.57976182283727e-06","0.0205629915018358"
"MEc1_HuAgeGBsplitRnaseq_24","0.196977624135412","0.218128064467121","0.115062008630249","8.81853127896074e-05","1.34957760062196e-05","0.0228770386119612"
"MEc1_HuAgeGBsplitRnaseq_586","0.189042506575455","0.226867753193684","0.11167783190583","0.000169870369749969","5.87414428790644e-06","0.0272353777277344"
"MEc1_HuAgeGBsplitRnaseq_1177","-0.0357080290198081","-0.00400569066634113","-0.166163077168977","0.48140505945907","0.937069109509563","0.000973418415099551"
"MEc1_HuAgeGBsplitRnaseq_388","-0.0340743283456993","0.000728307393880205","-0.167685956694966","0.501702022267058","0.988546568740721","0.000872338173903303"
"MEc1_HuAgeGBsplitRnaseq_71","-0.0298733837551336","-0.0229416829072264","-0.169716462729617","0.55589605863073","0.651089223197087","0.000752614602147958"
"MEc1_HuAgeGBsplitRnaseq_8","-0.0347744857774602","-0.0258549124827473","-0.169039627384734","0.492948465516256","0.610264330086876","0.000790720499917638"
"MEc1_HuAgeGBsplitRnaseq_32","-0.0200711797104804","-0.0593570526012367","0.126906627165716","0.692362455017149","0.241604952598026","0.0120204223018497"
"MEc1_HuAgeGBsplitRnaseq_475","-0.167337626190866","-0.120170719990234","-0.136043904321648","0.000894563773438555","0.0174429697662639","0.00705965284396575"
"MEc1_HuAgeGBsplitRnaseq_95","-0.1685045552438","-0.116165029323893","-0.134013398286996","0.000822099164799288","0.0215934808247025","0.00796762941379509"
"MEc1_HuAgeGBsplitRnaseq_1364","-0.171305184970844","-0.113615953445312","-0.122845615096413","0.000669744698907762","0.0246594196529027","0.0150759184195717"
"MEc1_HuAgeGBsplitRnaseq_2024","-0.0324406276715904","0.00910384242350256","-0.157025800013046","0.522441472492056","0.857588928451104","0.00184328717843739"
"MEc1_HuAgeGBsplitRnaseq_79","0.272828012576181","0.170059776471028","0.196113041180086","4.2079723799093e-08","0.000733942139649861","9.48355898039685e-05"
"MEc1_HuAgeGBsplitRnaseq_175","-0.0296399979445466","0.0451550584205727","-0.109478117034958","0.558988250478383","0.373208703151507","0.0304361033982072"
"MEc1_HuAgeGBsplitRnaseq_193","0.0539121222455927","0.0571721304195961","0.162609691608337","0.28759894424547","0.259400634260972","0.00125268343473088"
"MEc1_HuAgeGBsplitRnaseq_103","-0.0427096033374176","-0.116893336717773","-0.0988179603530375","0.399671416761643","0.0207806143083232","0.0508760328343592"
"MEc1_HuAgeGBsplitRnaseq_25","-0.0490110202232661","-0.0298606031490884","-0.108462864017632","0.333739845581543","0.556065176895876","0.0320187118395384"
"MEc1_HuAgeGBsplitRnaseq_605","-0.0441099182009395","0.0309530642399087","-0.10812444634519","0.384383430651474","0.541700270782782","0.0325616293713938"
"MEc1_HuAgeGBsplitRnaseq_361","-0.12136062150523","-0.0360512159970701","-0.106093940310539","0.0163526374711838","0.477198636434714","0.0359867492457521"
