"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 4.481  ","1st Qu.: 4.334  ","1st Qu.: 4.492  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  "
"","Median : 7.057  ","Median : 7.033  ","Median : 7.151  ","Median : 4.653  ","Median : 4.565  ","Median : 4.555  "
"","Mean   : 6.947  ","Mean   : 6.921  ","Mean   : 7.004  ","Mean   : 5.346  ","Mean   : 5.205  ","Mean   : 5.252  "
"","3rd Qu.: 9.146  ","3rd Qu.: 9.188  ","3rd Qu.: 9.212  ","3rd Qu.: 7.444  ","3rd Qu.: 7.185  ","3rd Qu.: 7.257  "
"","Max.   :14.780  ","Max.   :14.858  ","Max.   :14.858  ","Max.   :14.103  ","Max.   :13.708  ","Max.   :14.284  "
