"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 4.524  ","1st Qu.: 4.334  ","1st Qu.: 4.492  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  "
"","Median : 7.062  ","Median : 7.033  ","Median : 7.162  ","Median : 4.653  ","Median : 4.565  ","Median : 4.555  "
"","Mean   : 6.953  ","Mean   : 6.926  ","Mean   : 7.009  ","Mean   : 5.352  ","Mean   : 5.215  ","Mean   : 5.259  "
"","3rd Qu.: 9.150  ","3rd Qu.: 9.188  ","3rd Qu.: 9.216  ","3rd Qu.: 7.452  ","3rd Qu.: 7.195  ","3rd Qu.: 7.257  "
"","Max.   :14.780  ","Max.   :14.858  ","Max.   :14.858  ","Max.   :14.103  ","Max.   :13.708  ","Max.   :14.284  "
