"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 4.481  ","1st Qu.: 4.334  ","1st Qu.: 4.415  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  "
"","Median : 7.048  ","Median : 7.024  ","Median : 7.142  ","Median : 4.653  ","Median : 4.565  ","Median : 4.555  "
"","Mean   : 6.945  ","Mean   : 6.917  ","Mean   : 6.997  ","Mean   : 5.348  ","Mean   : 5.213  ","Mean   : 5.257  "
"","3rd Qu.: 9.148  ","3rd Qu.: 9.185  ","3rd Qu.: 9.209  ","3rd Qu.: 7.454  ","3rd Qu.: 7.195  ","3rd Qu.: 7.265  "
"","Max.   :14.780  ","Max.   :14.858  ","Max.   :14.858  ","Max.   :14.103  ","Max.   :13.708  ","Max.   :14.284  "
