"","M_PSVZ_GSM2652134","M_PSVZ_GSM2652135","M_PSVZ_GSM2652136","M_QSVZ_GSM2652126","M_QSVZ_GSM2652127","M_QSVZ_GSM2652129"
"","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  ","Min.   : 2.322  "
"","1st Qu.: 4.899  ","1st Qu.: 4.755  ","1st Qu.: 4.899  ","1st Qu.: 2.807  ","1st Qu.: 2.807  ","1st Qu.: 2.807  "
"","Median : 7.254  ","Median : 7.276  ","Median : 7.359  ","Median : 4.858  ","Median : 4.700  ","Median : 4.750  "
"","Mean   : 7.117  ","Mean   : 7.114  ","Mean   : 7.177  ","Mean   : 5.483  ","Mean   : 5.349  ","Mean   : 5.397  "
"","3rd Qu.: 9.192  ","3rd Qu.: 9.260  ","3rd Qu.: 9.270  ","3rd Qu.: 7.667  ","3rd Qu.: 7.440  ","3rd Qu.: 7.483  "
"","Max.   :14.780  ","Max.   :14.858  ","Max.   :14.858  ","Max.   :14.103  ","Max.   :13.708  ","Max.   :14.284  "
