"","DEG_edgeRnames","DEG_Limmanames","DEG_Simplenames"
"DEG_edgeRnames",0,0.0020832155853085,6.61418844830938e-272
"DEG_Limmanames",0.00208321558530853,0,1
"DEG_Simplenames",6.61418844830983e-272,1,0
