"","PGBObyQGBO","AveExpr","F","P.Value","adj.P.Val"
"VN1R108P",1.64007253283971,1.66907733293098,16.5452304710764,0.00141377214588047,0.999994892125812
"LENEP",1.22089349550885,0.762429941200575,10.7209286726078,0.00626208491833627,0.999994892125812
"HIST1H4A",1.63028139258612,2.05711752199618,10.3453779743434,0.00698900327392045,0.999994892125812
"RPL12P42",1.03901064203205,0.746408739856747,10.1103921295887,0.00749399555259857,0.999994892125812
"AC004233.4",1.2587175015597,0.726160870008555,10.07851922424,0.00756572516865403,0.999994892125812
"AC091825.1",-0.995361405177763,1.39527477548756,9.8899077762017,0.00800699413267939,0.999994892125812
"RN7SL644P",-1.31472765417173,2.01627985187052,9.61988083854806,0.00869222688643461,0.999994892125812
"RNU5B-1",-1.89849970529914,0.949249852649572,9.14437129852444,0.0100731002254272,0.999994892125812
"RNU6-45P",-1.75473184830222,0.877365924151107,8.84656364548191,0.0110687988118637,0.999994892125812
"DBIL5P",0.750682007470835,1.19884307470978,8.80939826518052,0.0112009777376709,0.999994892125812
"HYI-AS1",1.07231872417039,1.74178236193363,8.61613687904018,0.0119188612045164,0.999994892125812
"ITPR1-AS1",1.1210893112029,2.16753746572067,8.55203927904868,0.0121687652428524,0.999994892125812
"AC007849.2",-1.28606469183956,0.643032345919781,8.38494138930201,0.0128496648149419,0.999994892125812
"RPS27P16",-1.69470213024221,1.03475831018262,8.17343236421465,0.0137766374879296,0.999994892125812
"RPS7P14",-1.32381962258306,1.00506803848177,8.13092709822886,0.0139722642712271,0.999994892125812
"LINC00324",0.675453302625707,1.06181427271305,8.0968514148241,0.0141314507068149,0.999994892125812
"AL391840.1",1.98136074766228,2.37859878710346,8.02517871113456,0.0144732709230885,0.999994892125812
"IGLV1-51",1.68803941745595,1.65936239025038,7.75597658319052,0.0158468465878026,0.999994892125812
"RNU6-529P",1.96548851640826,2.39231837400011,7.61894228475741,0.0166045879387692,0.999994892125812
"AL356512.1",0.854949179968331,1.42213110191119,7.59554685328639,0.0167381682257411,0.999994892125812
"AC073352.1",1.06253170417108,0.963774012901886,7.26659696456715,0.0187568540849767,0.999994892125812
"AC008785.1",0.699832371200057,0.755580880319173,6.87412803638329,0.0215520525101716,0.999994892125812
"RN7SL18P",-0.876878679371128,0.438439339685564,6.71599756078054,0.0228150875616723,0.999994892125812
"AC078842.1",0.85256348771944,1.7485787970985,6.68448571524347,0.0230770936281252,0.999994892125812
"AC073389.3",1.08128725319274,2.62132669313333,6.6374346753163,0.0234749317865725,0.999994892125812
"ACTG1P15",-0.830466415648049,0.642840472249332,6.46217737520417,0.025029735195967,0.999994892125812
"AC008759.2",-0.830824961368285,0.930440911566448,6.12018825033711,0.0284281796167575,0.999994892125812
"AC092171.4",0.665384442830773,3.74557514059853,6.05098281533774,0.0291806528816316,0.999994892125812
"AC104118.1",1.07321794503263,1.91438566441982,6.03356218601178,0.0293737615939567,0.999994892125812
"AC133552.4",0.916688018140028,0.668077463228701,5.98946721736372,0.0298693484777774,0.999994892125812
"AL008707.1",0.96580244063641,0.482901220318205,5.97051509107401,0.0300853869174024,0.999994892125812
"LAG3",-0.69189517599452,2.17507671255511,5.95620103389548,0.0302497807492437,0.999994892125812
"TAF9P3",1.4876964934828,1.36411751128454,5.93101188182044,0.0305416599694887,0.999994892125812
"LINC01293",-0.895075277278284,1.15983840847499,5.89013162818206,0.0310224825051386,0.999994892125812
"AC098614.1",0.622502335344072,3.9022378490373,5.88691772435299,0.0310606618712033,0.999994892125812
"AC023983.2",-1.56420364028358,1.70045956200896,5.78274289171687,0.0323288571755119,0.999994892125812
"AC005355.2",1.33673670006049,1.34169148878352,5.70972029502436,0.0332544283804695,0.999994892125812
"SNX18P7",-0.848110646886392,3.33007894575317,5.65978370372231,0.0339054716895465,0.999994892125812
"AC010186.3",0.730322321580054,4.30650112655868,5.61638148253431,0.0344836198874499,0.999994892125812
"GPR182",-0.583360590587513,0.452974992061608,5.53809418121461,0.0355562868130741,0.999994892125812
"RNA5SP490",1.80573044452943,0.902865222264715,5.52121532530722,0.0357927115550475,0.999994892125812
"PGLYRP1",-0.550329822969044,0.401432824548531,5.49832127930938,0.0361163780330877,0.999994892125812
"RN7SL769P",-0.777417519550407,0.388708759775203,5.49242087422747,0.0362003573035778,0.999994892125812
"LINC02577",0.806199263932764,3.95734083809384,5.49216755715138,0.0362039678961481,0.999994892125812
"PPIAP65",-0.817691148534005,0.637356090508998,5.4904004753488,0.036229166446814,0.999994892125812
"TAS2R6P",-1.0072050883993,1.19215369703786,5.42967122012322,0.0371079451948825,0.999994892125812
"AL390037.1",-0.746888079013693,0.924345060450837,5.37664122773315,0.0378960623224348,0.999994892125812
"USP46-AS1",0.72412018131077,1.87849731473013,5.37521456750739,0.0379175378755997,0.999994892125812
"AC062029.1",0.722010795079203,2.42702680595582,5.33101131758641,0.0385901459352646,0.999994892125812
"MIR3193",1.45738053375867,0.728690266879333,5.28986375034934,0.0392290248297389,0.999994892125812
"MRPS18CP6",1.31647559128062,0.910388711109921,5.28058618145577,0.0393748039372336,0.999994892125812
"AC021106.1",-0.731241943372296,1.86396779081284,5.24744853593109,0.0399007791106943,0.999994892125812
"MIR30D",-1.40205939695636,0.701029698478179,5.21169736472898,0.0404776267430723,0.999994892125812
"RN7SL585P",-0.939263437125148,1.84841304980838,5.20609880695272,0.0405688547706338,0.999994892125812
"AC112220.4",0.823562380398379,2.62721564319678,5.19050067323526,0.0408243168348756,0.999994892125812
"RPL12P8",0.90500927072677,0.586662788664896,5.18215879546916,0.0409617224675392,0.999994892125812
"AP000866.2",0.589250541326501,0.603202607952435,5.1798577856338,0.0409997208977962,0.999994892125812
"TMEM191C",-0.592751485034077,0.762129534045658,5.17547226724144,0.0410722585987252,0.999994892125812
"RPL21P119",-1.14548877861215,0.572744389306072,5.15472535086416,0.0414174935007022,0.999994892125812
"RPS2P4",1.12428474410777,1.38469608975955,5.04691369905181,0.0432680763666377,0.999994892125812
"AC023141.8",-0.962961893313264,0.481480946656632,5.00200159884746,0.0440679185939153,0.999994892125812
"NDUFA5P6",-2.09642199919216,3.08113738628193,4.98879801388038,0.0443064013510396,0.999994892125812
"AC069213.2",-0.920635329694639,0.460317664847319,4.94583959969158,0.0450930189864656,0.999994892125812
"AP002364.1",0.611197285743924,1.158768990993,4.940774634136,0.0451868561725967,0.999994892125812
"CYP4V2",0.48647740587161,2.71638130941312,4.9285534231536,0.0454142344316092,0.999994892125812
"MTMR11",0.669397324939735,2.55688226854761,4.8542815810523,0.0468257701185717,0.999994892125812
"RNA5SP69",-1.25308131815624,0.626540659078118,4.78706360358697,0.0481485347442372,0.999994892125812
"RXFP4",-0.867531403049984,0.674929302090932,4.76682923471231,0.048555415588449,0.999994892125812
"SUGT1P1",0.54768718549059,1.4152047141309,4.74336426700974,0.049032406528842,0.999994892125812
"AC008403.3",-1.29761956160589,1.00294277968209,4.70226471780886,0.0498814146893795,0.999994892125812
"AC032011.1",0.689843315631106,0.592305626584636,4.66613847273364,0.0506422129901705,0.999994892125812
"RNU6-1266P",-1.21624150495634,0.60812075247817,4.63835432539509,0.0512367697116662,0.999994892125812
"AC025423.3",1.40195149144237,2.12629913815497,4.59609060859639,0.0521572464791704,0.999994892125812
"AC008972.2",1.32654350843683,1.64160998661363,4.58738862201625,0.0523492154365294,0.999994892125812
"RPL29P19",1.25976860172762,0.881718665296522,4.57128478284845,0.0527067039310851,0.999994892125812
"RPL37AP8",-1.44563058010126,1.15984730190972,4.54140256832405,0.0533778203654901,0.999994892125812
"IFITM5",0.995482983246441,1.12677962088533,4.54061357720375,0.0533956780779139,0.999994892125812
"MEG3",0.730497392731168,3.5076296697087,4.53579087596242,0.0535049885937875,0.999994892125812
"AL732618.1",0.845142668147121,1.23170033237833,4.490202478227,0.0545516205132122,0.999994892125812
"NUAK2",-0.717502501946353,1.54024423825135,4.46854250840644,0.0550574704943592,0.999994892125812
"AC107214.1",0.545604772346739,1.21753641074466,4.4367400458663,0.0558103993123538,0.999994892125812
"RF00432",0.565122800727871,0.282561400363935,4.42427739045571,0.0561088118631262,0.999994892125812
"AC104187.1",0.627344958435114,0.555514057050622,4.4139818672823,0.0563567750785446,0.999994892125812
"ARX",-0.845280728766934,1.06487750430083,4.4083293095538,0.0564934723465409,0.999994892125812
"AC104066.1",-0.684634494997071,0.98179138397461,4.40742605386056,0.0565153527832391,0.999994892125812
"OR1L3",-0.776181821306945,0.388090910653473,4.39855572291663,0.056730767418274,0.999994892125812
"FRG2",0.749779186875962,0.722423415370163,4.35133619652802,0.0578941770905559,0.999994892125812
"NEFM",-0.585726966260088,0.451280325068244,4.33001246938031,0.0584289152448231,0.999994892125812
"HTR1D",-1.05928263474811,1.27202012784288,4.31248478078422,0.0588728965993318,0.999994892125812
"TSSK3",0.514895401959353,1.6301562171623,4.29998312539021,0.0591920390609044,0.999994892125812
"ERICD",0.924230377145637,1.54877850063541,4.28203851932426,0.0596537623490531,0.999994892125812
"MTCO2P17",0.838154584631425,0.475628721135553,4.26353432802339,0.0601344144572939,0.999994892125812
"HLA-S",-0.998226954193133,0.499113477096566,4.18577443388444,0.0622057371957088,0.999994892125812
"AC015660.2",-0.66323206413716,0.52517755391638,4.1838789594919,0.0622572875421277,0.999994892125812
"AL451107.1",0.686061014396482,0.343030507198241,4.18343542125249,0.0622693576517694,0.999994892125812
"AC140113.3",-1.21912190756875,0.609560953784372,4.14040158399285,0.0634539274751444,0.999994892125812
"TRBV7-3",0.697095530805615,0.483616969953556,4.1320833064272,0.0636860114004887,0.999994892125812
"UBE2FP3",0.855563560658349,2.45549696060032,4.11737307586298,0.064098935382204,0.999994892125812
"AL353608.2",0.831691364503467,0.744844516806619,4.09623300383918,0.0646979970916439,0.999994892125812
"AC019103.1",-0.698877782482334,0.650092894914573,4.09133575909417,0.064837732450679,0.999994892125812
"TMPOP2",0.776511331591369,0.711020667973074,4.06604062610387,0.0655652938250795,0.999994892125812
"AL157414.3",-0.698115392468022,0.425412377174375,4.03793694020853,0.0663851827782052,0.999994892125812
"AC018558.2",0.937968021666417,0.847075167412853,4.00693937928494,0.0673038452461913,0.999994892125812
"AC131235.4",0.732356746669665,0.489024566481109,4.00679465455111,0.0673081701420128,0.999994892125812
"THBS1",0.653697965840901,0.879356917778065,4.00165451882529,0.067461993009018,0.999994892125812
"AL359641.1",-0.665413525026657,0.654691298948605,3.93898753470099,0.0693718149894644,0.999994892125812
"AC063943.1",-1.32930754070878,1.55310972662309,3.92835770311134,0.0697021922744786,0.999994892125812
"AL355297.3",0.966440893171348,2.05689333315264,3.90758970997736,0.0703531525978858,0.999994892125812
"AC108704.1",-0.753353236832451,1.00043720097165,3.90135541056478,0.0705499910337598,0.999994892125812
"AF131216.5",-0.595301532493606,0.670017808748038,3.87948780522602,0.0712456954052378,0.999994892125812
"AL031777.1",-1.42956651445774,2.19311094792142,3.87159291239101,0.0714988966944686,0.999994892125812
