"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.839378342857733,0.959507710129532,0.959507710129532,0.959507710129532,NA,0,0,0,0
"QSVZ",0.839378342857733,1,0.958497765671257,0.958497765671257,0.958497765671257,0,NA,0,0,0
"M",0.959507710129532,0.958497765671257,1,1,1,0,0,NA,0,0
"No_data",0.959507710129532,0.958497765671257,1,1,1,0,0,0,NA,0
"subventricular_zone",0.959507710129532,0.958497765671257,1,1,1,0,0,0,0,NA
