"","PSVZ","QSVZ","M","No_data","subventricular_zone"
"Atp6v0d1",9.23600331219502,11.015105673811,10.125554493003,10.125554493003,10.125554493003
"Golga7",10.0136005897759,10.5139536379931,10.2637771138845,10.2637771138845,10.2637771138845
"Psenen",9.71026878635452,11.3604288577297,10.5353488220421,10.5353488220421,10.5353488220421
"Mrpl43",8.34101800938464,7.53111584067544,7.93606692503004,7.93606692503004,7.93606692503004
"Psap",6.55277337828824,12.1351985004844,9.34398593938631,9.34398593938631,9.34398593938631
"Ube2g1",5.87649015487606,8.91520175797878,7.39584595642742,7.39584595642742,7.39584595642742
"Zkscan3",5.98488346711037,8.76045711656016,7.37267029183527,7.37267029183527,7.37267029183527
"Dlg1",7.25977950209634,8.70369736660308,7.98173843434971,7.98173843434971,7.98173843434971
"Canx",9.68255774638168,10.9520544080235,10.3173060772026,10.3173060772026,10.3173060772026
"Derl1",7.62794752194063,10.4934108858944,9.0606792039175,9.0606792039175,9.0606792039175
"G3bp2",8.32728345149043,9.35921833386623,8.84325089267833,8.84325089267833,8.84325089267833
"Golm1",8.03830093943002,7.85223307989756,7.94526700966379,7.94526700966379,7.94526700966379
"Ssr3",12.4426593314157,12.8999111378023,12.671285234609,12.671285234609,12.671285234609
"Copa",10.7425082848241,11.4994877715865,11.1209980282053,11.1209980282053,11.1209980282053
"Gbf1",8.36773365260838,9.66260211157017,9.01516788208927,9.01516788208927,9.01516788208927
"Zranb1",9.14624670536574,10.5955356329376,9.87089116915167,9.87089116915167,9.87089116915167
"Ddx24",6.49785346072723,7.4800954130037,6.98897443686547,6.98897443686547,6.98897443686547
"Tmem129",6.00322690732742,9.6807397009445,7.84198330413596,7.84198330413596,7.84198330413596
"Sap30l",5.99208830027619,8.98034553857946,7.48621691942782,7.48621691942782,7.48621691942782
"Vta1",8.19926180531587,8.36688478649645,8.28307329590616,8.28307329590616,8.28307329590616
"Apoa1bp",8.76457463472757,9.49242308821411,9.12849886147084,9.12849886147084,9.12849886147084
"Pabpn1",9.47956614592674,9.59912809842113,9.53934712217393,9.53934712217393,9.53934712217393
"Abhd16a",5.92346510581755,8.62589642074915,7.27468076328335,7.27468076328335,7.27468076328335
"Rab7",10.4308191311024,11.4834069843219,10.9571130577121,10.9571130577121,10.9571130577121
"Tmem165",8.36775322684388,10.0550469387851,9.21140008281449,9.21140008281449,9.21140008281449
"Aup1",8.13257313863551,8.54954173430318,8.34105743646935,8.34105743646935,8.34105743646935
"Dscr3",6.95837026453358,9.44601918781736,8.20219472617547,8.20219472617547,8.20219472617547
"Riok3",4.69293236881215,6.35251800190893,5.52272518536054,5.52272518536054,5.52272518536054
"BC031181",8.90086254919972,9.66725194011024,9.28405724465498,9.28405724465498,9.28405724465498
"Fryl",7.65175560300863,9.1305420246321,8.39114881382037,8.39114881382037,8.39114881382037
"Zbed6",6.55291251265092,8.59873180855101,7.57582216060096,7.57582216060096,7.57582216060096
"Aldh3a2",5.74968810510154,7.93334036035292,6.84151423272723,6.84151423272723,6.84151423272723
"Vps35",8.92327272214035,9.85814393041895,9.39070832627965,9.39070832627965,9.39070832627965
"Rbck1",4.38275196291495,4.87855381505039,4.63065288898267,4.63065288898267,4.63065288898267
"Dazap2",9.75202248025969,11.2663159784218,10.5091692293407,10.5091692293407,10.5091692293407
"Ddr1",9.05573560068633,10.1394496793328,9.59759264000957,9.59759264000957,9.59759264000957
"Gja1",12.2915150109651,14.156683111001,13.224099060983,13.224099060983,13.224099060983
"Slc16a1",8.04986186810357,9.54682812756387,8.79834499783372,8.79834499783372,8.79834499783372
"Cx3cl1",2.40960623016529,4.12265356988053,3.26612990002291,3.26612990002291,3.26612990002291
"Plat",2.58496250072116,4.15904193686104,3.3720022187911,3.3720022187911,3.3720022187911
"Gsn",2.8715699480384,7.65811385401817,5.26484190102828,5.26484190102828,5.26484190102828
"Atp6v1b2",8.90347287237216,9.60327562112488,9.25337424674852,9.25337424674852,9.25337424674852
"Anxa6",5.18410295301344,7.66199238548159,6.42304766924752,6.42304766924752,6.42304766924752
"Nptn",7.78150350939367,10.8184706812933,9.2999870953435,9.2999870953435,9.2999870953435
"Scd2",11.8204026476036,13.2481760715621,12.5342893595829,12.5342893595829,12.5342893595829
"Serp1",8.41336578889893,8.77076363014682,8.59206470952287,8.59206470952287,8.59206470952287
"Dusp6",6.14434543541424,9.22657481673945,7.68546012607684,7.68546012607684,7.68546012607684
"Serinc1",10.4084621956541,12.7641199787406,11.5862910871974,11.5862910871974,11.5862910871974
"Elovl5",11.1855057651772,13.2896629320699,12.2375843486235,12.2375843486235,12.2375843486235
"Rasa3",7.4940070716633,9.12495233612797,8.30947970389563,8.30947970389563,8.30947970389563
"Bpgm",8.07399870629417,10.6592240329441,9.36661136961916,9.36661136961916,9.36661136961916
"Unc45a",3.59503728279525,3.63337068765915,3.6142039852272,3.6142039852272,3.6142039852272
"Spry1",2.32192809488736,2.66321034220548,2.49256921854642,2.49256921854642,2.49256921854642
"Lamp1",11.4288792104634,13.1344120121101,12.2816456112868,12.2816456112868,12.2816456112868
"Ghitm",9.24493206720732,9.61515106646093,9.43004156683413,9.43004156683413,9.43004156683413
"Chgb",5.83063038144513,6.70322748753717,6.26692893449115,6.26692893449115,6.26692893449115
"Suclg1",8.19879105578827,9.07853289951807,8.63866197765317,8.63866197765317,8.63866197765317
"Sgpl1",5.43075456948106,5.56229904937966,5.49652680943036,5.49652680943036,5.49652680943036
"Enpp2",3.52811206502389,5.14701044398331,4.3375612545036,4.3375612545036,4.3375612545036
"Snrpn",8.97798275836355,9.60077833986178,9.28938054911267,9.28938054911267,9.28938054911267
"Mgst1",6.44095568128566,10.464845888915,8.45290078510031,8.45290078510031,8.45290078510031
"Aldh7a1",2.65909330783331,4.53083847844496,3.59496589313913,3.59496589313913,3.59496589313913
"Lpl",4.46127017498095,4.28780398631388,4.37453708064742,4.37453708064742,4.37453708064742
"Tspyl1",6.87613748327147,8.05525001819817,7.46569375073482,7.46569375073482,7.46569375073482
"Ciapin1",7.11402353254967,8.53914918052956,7.82658635653962,7.82658635653962,7.82658635653962
"Impact",4.24206910550856,5.13667953338358,4.68937431944607,4.68937431944607,4.68937431944607
"Tpi1",7.50478272380104,8.90337298993172,8.20407785686638,8.20407785686638,8.20407785686638
"Npdc1",6.45260285686556,9.1793240766069,7.81596346673623,7.81596346673623,7.81596346673623
"Cstf2t",7.65264034947432,8.79026204759102,8.22145119853267,8.22145119853267,8.22145119853267
"Actc1",2.58496250072116,3.62805683970281,3.10650967021199,3.10650967021199,3.10650967021199
"Map1lc3b",11.219701268256,11.9079185151126,11.5638098916843,11.5638098916843,11.5638098916843
"Igf2",4.34569643957841,6.47480776543035,5.41025210250438,5.41025210250438,5.41025210250438
"Atp9a",4.93846109860451,6.59388228267645,5.76617169064048,5.76617169064048,5.76617169064048
"Bcar3",6.7248533477468,8.46531421362421,7.5950837806855,7.5950837806855,7.5950837806855
"Pdcd6ip",5.68489842730715,6.52370725868193,6.10430284299454,6.10430284299454,6.10430284299454
"Pigq",5.54956939164827,6.45447766102969,6.00202352633898,6.00202352633898,6.00202352633898
"Creg1",6.21033706974666,8.79956141053858,7.50494924014262,7.50494924014262,7.50494924014262
"Cpe",12.5997728203461,13.6285481160786,13.1141604682123,13.1141604682123,13.1141604682123
"Fkbp10",4.22782734335432,9.0899048470925,6.65886609522341,6.65886609522341,6.65886609522341
"Prm1",7.85484897225221,8.47149546887817,8.16317222056519,8.16317222056519,8.16317222056519
"Itm2c",10.6829822539622,13.3179557629117,12.000469008437,12.000469008437,12.000469008437
"Scd1",6.74089096865413,10.6797569656828,8.71032396716845,8.71032396716845,8.71032396716845
"Map2k2",6.84669786032111,7.21838177757949,7.0325398189503,7.0325398189503,7.0325398189503
"Herpud2",8.16136929942608,9.44001694451775,8.80069312197192,8.80069312197192,8.80069312197192
"Acadm",6.67658943624861,8.50512155223789,7.59085549424325,7.59085549424325,7.59085549424325
"Clcn4-2",7.96695857682532,9.30902681214832,8.63799269448682,8.63799269448682,8.63799269448682
"Vcam1",7.55316332856125,10.7239210535002,9.13854219103074,9.13854219103074,9.13854219103074
