"","PSVZ","QSVZ"
"Atp6v0d1",9.23600331219502,11.015105673811
"Golga7",10.0136005897759,10.5139536379931
"Psenen",9.71026878635452,11.3604288577297
"Mrpl43",8.34101800938464,7.53111584067544
"Psap",6.55277337828824,12.1351985004844
"Ube2g1",5.87649015487606,8.91520175797878
"Zkscan3",5.98488346711037,8.76045711656016
"Dlg1",7.25977950209634,8.70369736660308
"Canx",9.68255774638168,10.9520544080235
"Derl1",7.62794752194063,10.4934108858944
"G3bp2",8.32728345149043,9.35921833386623
"Golm1",8.03830093943002,7.85223307989756
"Ssr3",12.4426593314157,12.8999111378023
"Copa",10.7425082848241,11.4994877715865
"Gbf1",8.36773365260838,9.66260211157017
"Zranb1",9.14624670536574,10.5955356329376
"Ddx24",6.49785346072723,7.4800954130037
"Tmem129",6.00322690732742,9.6807397009445
"Sap30l",5.99208830027619,8.98034553857946
"Vta1",8.19926180531587,8.36688478649645
"Apoa1bp",8.76457463472757,9.49242308821411
"Pabpn1",9.47956614592674,9.59912809842113
"Abhd16a",5.92346510581755,8.62589642074915
"Rab7",10.4308191311024,11.4834069843219
"Tmem165",8.36775322684388,10.0550469387851
"Aup1",8.13257313863551,8.54954173430318
"Dscr3",6.95837026453358,9.44601918781736
"Riok3",4.69293236881215,6.35251800190893
"BC031181",8.90086254919972,9.66725194011024
"Fryl",7.65175560300863,9.1305420246321
"Zbed6",6.55291251265092,8.59873180855101
"Aldh3a2",5.74968810510154,7.93334036035292
"Vps35",8.92327272214035,9.85814393041895
"Rbck1",4.38275196291495,4.87855381505039
"Dazap2",9.75202248025969,11.2663159784218
"Ddr1",9.05573560068633,10.1394496793328
"Gja1",12.2915150109651,14.156683111001
"Slc16a1",8.04986186810357,9.54682812756387
"Cx3cl1",2.40960623016529,4.12265356988053
"Plat",2.58496250072116,4.15904193686104
"Gsn",2.8715699480384,7.65811385401817
"Atp6v1b2",8.90347287237216,9.60327562112488
"Anxa6",5.18410295301344,7.66199238548159
"Nptn",7.78150350939367,10.8184706812933
"Scd2",11.8204026476036,13.2481760715621
"Serp1",8.41336578889893,8.77076363014682
"Dusp6",6.14434543541424,9.22657481673945
"Serinc1",10.4084621956541,12.7641199787406
"Elovl5",11.1855057651772,13.2896629320699
"Rasa3",7.4940070716633,9.12495233612797
"Bpgm",8.07399870629417,10.6592240329441
"Unc45a",3.59503728279525,3.63337068765915
"Spry1",2.32192809488736,2.66321034220548
"Lamp1",11.4288792104634,13.1344120121101
"Ghitm",9.24493206720732,9.61515106646093
"Chgb",5.83063038144513,6.70322748753717
"Suclg1",8.19879105578827,9.07853289951807
"Sgpl1",5.43075456948106,5.56229904937966
"Enpp2",3.52811206502389,5.14701044398331
"Snrpn",8.97798275836355,9.60077833986178
"Mgst1",6.44095568128566,10.464845888915
"Aldh7a1",2.65909330783331,4.53083847844496
"Lpl",4.46127017498095,4.28780398631388
"Tspyl1",6.87613748327147,8.05525001819817
"Ciapin1",7.11402353254967,8.53914918052956
"Impact",4.24206910550856,5.13667953338358
"Tpi1",7.50478272380104,8.90337298993172
"Npdc1",6.45260285686556,9.1793240766069
"Cstf2t",7.65264034947432,8.79026204759102
"Actc1",2.58496250072116,3.62805683970281
"Map1lc3b",11.219701268256,11.9079185151126
"Igf2",4.34569643957841,6.47480776543035
"Atp9a",4.93846109860451,6.59388228267645
"Bcar3",6.7248533477468,8.46531421362421
"Pdcd6ip",5.68489842730715,6.52370725868193
"Pigq",5.54956939164827,6.45447766102969
"Creg1",6.21033706974666,8.79956141053858
"Cpe",12.5997728203461,13.6285481160786
"Fkbp10",4.22782734335432,9.0899048470925
"Prm1",7.85484897225221,8.47149546887817
"Itm2c",10.6829822539622,13.3179557629117
"Scd1",6.74089096865413,10.6797569656828
"Map2k2",6.84669786032111,7.21838177757949
"Herpud2",8.16136929942608,9.44001694451775
"Acadm",6.67658943624861,8.50512155223789
"Clcn4-2",7.96695857682532,9.30902681214832
"Vcam1",7.55316332856125,10.7239210535002
"Vdac2",10.5084837518265,12.046617012944
