"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.881387103717723,0.966321055070315,0.966321055070315,0.966321055070315,NA,0,0,0,0
"QSVZ",0.881387103717723,1,0.973268737804825,0.973268737804825,0.973268737804825,0,NA,0,0,0
"M",0.966321055070315,0.973268737804825,1,1,1,0,0,NA,0,0
"No_data",0.966321055070315,0.973268737804825,1,1,1,0,0,0,NA,0
"subventricular_zone",0.966321055070315,0.973268737804825,1,1,1,0,0,0,0,NA
