"","subventricular_zone"
"Atp6v0d1",10.125554493003
"Golga7",10.2637771138845
"Psenen",10.5353488220421
"Mrpl43",7.93606692503004
"Psap",9.34398593938631
"Ube2g1",7.39584595642742
"Zkscan3",7.37267029183527
"Dlg1",7.98173843434971
"Canx",10.3173060772026
"Derl1",9.0606792039175
"G3bp2",8.84325089267833
"Golm1",7.94526700966379
"Ssr3",12.671285234609
"Copa",11.1209980282053
"Gbf1",9.01516788208927
"Zranb1",9.87089116915167
"Ddx24",6.98897443686547
"Tmem129",7.84198330413596
"Sap30l",7.48621691942782
"Vta1",8.28307329590616
"Apoa1bp",9.12849886147084
"Pabpn1",9.53934712217393
"Abhd16a",7.27468076328335
"Rab7",10.9571130577121
"Tmem165",9.21140008281449
"Aup1",8.34105743646935
"Dscr3",8.20219472617547
"Riok3",5.52272518536054
"BC031181",9.28405724465498
"Fryl",8.39114881382037
"Zbed6",7.57582216060096
"Aldh3a2",6.84151423272723
"Vps35",9.39070832627965
"Rbck1",4.63065288898267
"Dazap2",10.5091692293407
"Ddr1",9.59759264000957
"Gja1",13.224099060983
"Slc16a1",8.79834499783372
"Cx3cl1",3.26612990002291
"Plat",3.3720022187911
"Gsn",5.26484190102828
"Atp6v1b2",9.25337424674852
"Anxa6",6.42304766924752
"Nptn",9.2999870953435
"Scd2",12.5342893595829
"Serp1",8.59206470952287
"Dusp6",7.68546012607684
"Serinc1",11.5862910871974
"Elovl5",12.2375843486235
"Rasa3",8.30947970389563
"Bpgm",9.36661136961916
"Unc45a",3.6142039852272
"Spry1",2.49256921854642
"Lamp1",12.2816456112868
"Ghitm",9.43004156683413
"Chgb",6.26692893449115
"Suclg1",8.63866197765317
"Sgpl1",5.49652680943036
"Enpp2",4.3375612545036
"Snrpn",9.28938054911267
"Mgst1",8.45290078510031
"Aldh7a1",3.59496589313913
"Lpl",4.37453708064742
"Tspyl1",7.46569375073482
"Ciapin1",7.82658635653962
"Impact",4.68937431944607
"Tpi1",8.20407785686638
"Npdc1",7.81596346673623
"Cstf2t",8.22145119853267
"Actc1",3.10650967021199
"Map1lc3b",11.5638098916843
"Igf2",5.41025210250438
"Atp9a",5.76617169064048
"Bcar3",7.5950837806855
"Pdcd6ip",6.10430284299454
"Pigq",6.00202352633898
"Creg1",7.50494924014262
"Cpe",13.1141604682123
"Fkbp10",6.65886609522341
"Prm1",8.16317222056519
"Itm2c",12.000469008437
"Scd1",8.71032396716845
"Map2k2",7.0325398189503
"Herpud2",8.80069312197192
"Acadm",7.59085549424325
"Clcn4-2",8.63799269448682
"Vcam1",9.13854219103074
"Vdac2",11.2775503823852
"Pigo",5.10963244359237
"Sqle",9.5500014336138
"Hey1",10.1071053930904
"Gm21399",11.6935762532258
"Cldn11",9.72188613110099
"Tspan3",11.3381831402311
"Ehd1",9.13087914413198
"Pld3",8.57983356582693
"Fabp5",13.044042355889
"Pdcd6",8.68937879280483
"Snd1",8.86235980239606
"Cyr61",7.77652901376066
"Sgk1",5.00778811185116
"Flii",7.35894244386295
"Fuca2",4.85781446321487
"Gldc",9.34129874560036
"Scarb1",3.57810636393175
"Lrrn1",10.5796254856342
"Ndufb11",12.9815492008737
"Cd9",9.23296064056907
"Pfkp",8.07872691765116
"Arpc1a",8.44101102820402
"Adam15",4.47003201124994
"Zfand5",9.79685569181424
"Tpst2",7.15525660348543
"Vipas39",6.18647186652675
"Lrrc4",5.83574997382676
"Syngr3",3.42006346837152
"Hist1h1c",10.2272730383547
"Mpdu1",7.77229570784625
"Kti12",4.98202445878686
"Tmed3",8.17959779502958
"Fuca1",8.91206724622777
"Slc35a4",7.8850299832424
"Fkbp8",7.72952826545857
"Sparcl1",12.1361753885634
"Errfi1",3.5640290910253
"Prnp",10.5459415293797
"Aplp1",8.6000962077394
"Anxa7",3.40314837750833
"Laptm4b",9.01920963194513
"Olig1",9.26713845782422
"Vcl",9.02789839422514
"Fbln5",3.19120082082371
"Rab31",9.30749985571617
"Plekhb1",9.1123762019297
"Ldhb",12.5392644583916
"Pnrc2",11.0768681053409
"Gm2a",8.89473545077323
"Sec61a1",13.6576591981177
"Inpp5k",3.01594471655693
"Kifc3",4.21577906206701
"Il33",6.86740625453255
"Glb1",4.97526042308113
"Taz",5.94330298935841
"Glud1",11.71991258464
"Imp3",7.85055345879015
"Ptn",13.5853641458262
"Surf4",9.50659732779613
"Spcs1",10.4007288351395
"Fstl1",6.62913254982202
"Nsdhl",8.6212965976908
"Sh3bp5l",3.80822682998554
"Ass1",5.6173328900663
"Capn2",10.3561940901401
"Pex12",3.99256119687052
"Tmem19",7.55781622497165
"Abcb9",5.61677575149406
"Ets2",3.57355783222811
"Perp",3.33557558934224
"Tnfaip2",3.58322031336671
"Ctns",6.83114713564801
"Slc26a6",5.80943156979322
"Ndufc1",9.66807829895488
"Rgs4",4.81215759771808
"Plod1",7.60012248375784
"Prdx3",7.32272650839178
"Scamp3",7.15421137290959
"Slc25a3",11.1283194431798
"Ebf1",3.8699314074706
"Litaf",7.09095808416804
"Mllt11",4.61780185491806
"Abhd4",8.57173912477627
"Serpinb1a",4.91327104717338
"Adk",8.77058496648426
"Prelp",7.03562863159665
"Crip1",6.15945090822745
"Atp6v0e",9.70861410021301
"Cyfip1",9.09731484074203
"Cd81",13.0742185906569
"Uqcrb",10.1318579876161
"Prkcsh",8.74605862951503
"Man2b1",4.66811922997765
"Polr2c",7.46221446661499
"Tnc",6.24678088705923
"Lamp2",9.78218575318208
"Tecr",11.9664745457688
"Mcam",3.05570057329058
"Snx18",8.94446302481461
"1110001J03Rik",8.7223894386542
"Gsta4",8.13968701514595
"Hiatl1",7.66826770731657
"Zscan21",8.69252423030237
"Apod",9.8365352038695
"Ptdss1",9.05130439299452
"Ap3m1",7.99672759301397
"Tmem97",8.0187564288451
"Pnkp",2.82668962025349
"Prdx5",10.1810303258128
"Ctsc",3.45347275493843
"M6pr",8.13373452156259
"Pip4k2c",7.09965124664082
"Atp6v0c",10.3687227680388
"Emg1",9.95251623240325
"Mesdc1",3.47597515311468
"Hmox2",9.20943213362918
"Cd82",3.4563281789054
"Abcb10",5.94243294829283
"Pea15a",10.8308954317199
"Acox1",9.28150908443437
"Gstm2",3.03503578707801
"Gstm1",12.4150234803851
"Gabarapl1",9.7085344672652
"Thap11",7.43743107835924
"Cat",10.735766909725
"Pfkfb3",5.60304139172301
"Ltbr",4.96229659710256
"Uqcc1",5.34204396373877
"Mapk8ip3",5.93264240249972
"Cd164",9.7933077970193
"Cpq",6.03675603965666
"Elovl2",10.7352653893744
"Tmem30a",9.18793903312188
"Taf8",3.14437476851853
"Oat",10.0471491431654
"Acta2",6.50710979117884
"Cryab",7.24008623555494
"Vapa",11.2704611720808
"Aldh1a1",5.16871028800217
"Rpn1",10.0404031093805
"Cept1",6.74358906243024
"Syap1",6.29474787082416
"Igdcc4",11.1239140009585
"Yap1",4.30076684090922
"Ddost",9.17804713981102
"Pdia4",9.35160898683296
"Dctn6",10.3351164077344
"Sacm1l",7.88002733453828
"Lxn",9.4036213624733
"Ulk1",3.95435585974842
"Nr4a1",2.86352537614426
"Cnpy2",3.21711144504351
"Cdc42ep4",9.12035657767466
"Lamb2",8.63326425265868
"Pnpla6",7.19190462126574
"Trrap",7.87180718262596
"Mum1",5.71568645756501
"Creld1",5.80961769778374
"Siae",5.03399454084139
"Clpb",6.78923406920241
"Phf1",3.67833951073663
"Nfe2l2",8.64645392228671
"Zdhhc7",6.61160088412264
"Ndufb3",11.0581179482652
"Slc35b4",4.14909497628038
"Atp2a2",10.2858078363671
"Tspan31",11.2730811373461
"Slc13a3",4.26746840360058
"Gad1",3.86817058538414
"Traf4",4.43335090194753
"Mmp14",8.17655513096708
"Pofut2",5.18833935567648
"Bad",7.64457330031807
"Man2b2",6.50234582059071
"Ptprn",3.44475934871473
"Sparc",10.7633941399874
"Rab34",6.71193176854576
"Glrx",7.04901817095957
"Glis2",7.38234725593199
"Cyc1",10.0055061946337
"4931406C07Rik",7.6849072432849
"BC004004",11.8056832970572
"Scamp2",7.12517193050765
"Clpp",6.52461943331133
"Acss1",8.67956308578713
"4632428N05Rik",3.35605171397315
"Thbs3",4.49941225171394
"Tmem223",9.77004990776014
"Id3",9.94285803234128
"Ap4b1",3.01098682599126
"Me1",6.94560972954266
"Smpdl3a",9.6182987594374
"Rheb",9.72874857879848
"Slc4a2",6.58133553397189
"Sall2",9.58022859517971
"Bckdha",5.10821319457364
"Znhit2",4.96483933259383
"Aspn",3.49161065775299
"Stxbp3a",9.59129676997239
"C1galt1c1",8.11520373447047
"Sardh",5.49156003754764
"Serpine2",11.6604107715067
"Ebp",4.61234089868612
"Emc2",8.0910142864802
"Bace2",2.94809635951929
"Plcd1",5.45840363982059
"Abcd3",10.6441996904966
"Plod2",4.0815145788824
"Gtpbp2",5.5496067466151
"D17Wsu104e",8.05172209732216
"1110008F13Rik",7.54116792629142
"Serpini1",3.51469681933697
"Gramd1a",8.02120541734112
"Ngrn",6.23761034045409
"Tmem35",4.22134640962036
"Pepd",5.39887359484558
"Tppp3",7.00951375183006
"Bcan",9.59585444278438
"Cyb5a",9.15637905304778
"Mkln1",8.37273634880157
"Asah1",10.5762956074669
"Gys1",6.4133635946286
"LOC102642017",3.16340095878526
"Mfsd5",6.39255333465471
"Htra1",11.1086830422609
"Sigmar1",4.11771505913844
"Prkar1b",4.06753548288671
"Mical1",7.19922986313574
"Galnt16",4.96024181969071
"S100a10",5.501994537584
"Marc2",10.3033327287984
"Smim14",12.0617360229784
"Atp6v0b",8.0459710581575
"Cpt2",5.86400502144134
"Crym",10.6375503788467
"Pfkm",9.60092465653976
"Tac1",4.61303367160803
"Acvr1",7.33579784383213
"Atl2",8.54944276059592
"Nid1",3.84567823597627
"Ctla2a",3.98441865488289
"Osbpl1a",6.96270680297992
"Snta1",4.61382587856188
"Med20",7.25085722876649
"Snap25",9.17038191767248
"0610031J06Rik",6.61697206254765
"Neu1",3.12452399969779
"Slc39a8",4.25277152081527
"Ndufb2",8.43059998949137
"Lrp10",8.4377454996984
"Mut",7.37760139961663
"Mid1ip1",10.5170324665918
"Gstm5",12.1881642923427
"Pde6d",8.8698820260285
"Tmem132a",5.35345338765277
"Pdzrn3",4.60225151582223
"Ncdn",9.86743094261623
"Sdf2",10.5627124704023
"Abhd8",5.13724647798843
"Bet1",6.96868099674662
"Clptm1",9.25299806576437
"Numb",6.66663252131561
"Hspbp1",4.83602971513475
"Cers1",5.83808735468491
"Npc2",11.4724321070472
"Nucb1",8.59285178910967
"Pigyl",8.33355195487418
"Akirin1",9.27588676550168
"Dlg3",7.40517281449249
"Aldoa",11.421572644333
"Cog2",6.28651246319771
"Por",6.63396400656415
"Mtm1",3.44956888672852
"Aatk",4.76339492448178
"Gabarap",11.2084059747182
"Erap1",3.08818549765065
"Acaa1a",4.313187286223
"Slc39a7",7.8700758467708
"Tnfaip8",4.27297610285016
"Ctgf",2.75162916738783
"Nr1d2",8.68041267667244
"B3gat3",4.94072139122701
"Ubac1",7.9762147315835
"Pcsk1n",5.22423100558873
"Slc22a8",3.27715079387105
"Sox2",11.2652724916427
"Hsd3b7",3.65400329830089
"Fcgrt",6.40615801726198
