"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.873167830670698,0.963717151825689,0.963717151825689,0.963717151825689,NA,0,0,0,0
"QSVZ",0.873167830670698,1,0.971591581501183,0.971591581501183,0.971591581501183,0,NA,0,0,0
"M",0.963717151825689,0.971591581501183,1,1,1,0,0,NA,0,0
"No_data",0.963717151825689,0.971591581501183,1,1,1,0,0,0,NA,0
"subventricular_zone",0.963717151825689,0.971591581501183,1,1,1,0,0,0,0,NA
