"","PSVZ","QSVZ","M","No_data","subventricular_zone","PSVZ","QSVZ","M","No_data","subventricular_zone"
"PSVZ",1,0.873402944426436,0.963786065489158,0.963786065489158,0.963786065489158,NA,0,0,0,0
"QSVZ",0.873402944426436,1,0.971644635257084,0.971644635257084,0.971644635257084,0,NA,0,0,0
"M",0.963786065489158,0.971644635257084,1,1,1,0,0,NA,0,0
"No_data",0.963786065489158,0.971644635257084,1,1,1,0,0,0,NA,0
"subventricular_zone",0.963786065489158,0.971644635257084,1,1,1,0,0,0,0,NA
