"","     NA.1","    NA.10","    NA.11","     NA.2","     NA.3","     NA.4","     NA.5","     NA.6","     NA.7","     NA.8","     NA.9","     NA."
"","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   :0.00000  ","Min.   : 0.0000  ","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   :0.00000  ","Min.   : 0.000  ","Min.   :0.0000  ","Min.   : 0.000  ","Min.   :0.0000  ","Min.   : 0.0000  "
"","1st Qu.:0.0000  ","1st Qu.: 0.6636  ","1st Qu.:0.04431  ","1st Qu.: 0.6822  ","1st Qu.:0.2678  ","1st Qu.: 0.5113  ","1st Qu.:0.09026  ","1st Qu.: 1.860  ","1st Qu.:0.1001  ","1st Qu.: 1.022  ","1st Qu.:0.2246  ","1st Qu.: 0.8222  "
"","Median :0.7476  ","Median : 1.7018  ","Median :0.78644  ","Median : 1.6580  ","Median :1.0109  ","Median : 1.5539  ","Median :0.77717  ","Median : 2.878  ","Median :0.9075  ","Median : 2.207  ","Median :0.8726  ","Median : 2.0370  "
"","Mean   :1.2393  ","Mean   : 2.6401  ","Mean   :1.29547  ","Mean   : 2.6000  ","Mean   :1.4284  ","Mean   : 2.5120  ","Mean   :1.24879  ","Mean   : 3.568  ","Mean   :1.4155  ","Mean   : 2.989  ","Mean   :1.3140  ","Mean   : 2.9432  "
"","3rd Qu.:1.8702  ","3rd Qu.: 4.1834  ","3rd Qu.:1.89893  ","3rd Qu.: 4.1153  ","3rd Qu.:2.0669  ","3rd Qu.: 4.0223  ","3rd Qu.:1.83788  ","3rd Qu.: 4.870  ","3rd Qu.:2.1251  ","3rd Qu.: 4.605  ","3rd Qu.:1.9282  ","3rd Qu.: 4.6206  "
"","Max.   :9.0650  ","Max.   :12.5518  ","Max.   :9.43933  ","Max.   :12.4330  ","Max.   :9.2757  ","Max.   :12.5213  ","Max.   :9.24530  ","Max.   :13.095  ","Max.   :9.4792  ","Max.   :12.867  ","Max.   :8.7094  ","Max.   :13.1505  "
