"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","H3K9me3 Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","7/251",0.227253542122987,1,0,0,1.41565716828119,2.0975635961784,"SPAG6;RPL27A;HARBI1;KCNA3;C2ORF16;ATG13;C11ORF58",7
"2","H3K9me3 Chondrocytes from Bone Marrow Derived Mesenchymal Stem Cell Cultured Cells","4/129",0.249953147578497,1,0,0,1.57399756030378,2.18231895229889,"RASSF10;KCNA3;MIR382;C2ORF16",4
"3","H2BK12ac IMR90","57/2712",0.319023018535397,1,0,0,1.06688827995148,1.21891134648409,"VIT;CARS;KDM5B;TMEM41B;TNC;APIP;BMI1;TMEM220;ALKBH5;SMPD1;FBXO3;METTL15;TRIM66;PGM1;PDHX;CARD10;USP47;CCDC34;SWAP70;TALDO1;SLC39A13;SIGIRR;ST7L;RCN1;ADORA2B;TRAF6;MADD;CRY2;FJX1;LRRC56;CD151;FLII;LY96;SLC9A1;RIC8A;DEAF1;PDGFD;XIRP1;TSPAN4;TRIM44;POLR2L;GSTM4;KCNF1;OSBPL5;SAAL1;GTF2H1;PARVA;HPS5;TTC19;HIPK3;UEVLD;COPS3;PSMC3;MIR382;RNF141;NUCB2;LINC00346",57
"4","H3K27me3 CD4 Naive Primary Cells","13/634",0.481282839871555,1,0,0,1.04084933305577,0.761173280691767,"EHF;SPAG6;SDC3;COMMD3;PAX6;DGKZ;CTTNBP2NL;STK33;MAP1B;RPS6KA2;FAM3B;DCHS1;LGR4",13
"5","H3K9me3 CD4+ CD25- IL17+ PMA-Ionomcyin stimulated Th17 Primary Cells","1/37",0.521377896078279,1,0,0,1.37193030594046,0.893511005332749,"PARVA",1
"6","H3K9me3 Colon Smooth Muscle","2/92",0.543779851093124,1,0,0,1.10350915912602,0.672269697113272,"RASSF10;C2ORF16",2
"7","H3K9me3 Adipose Nuclei","2/105",0.615723411533445,1,0,0,0.96688421561518,0.468897678059907,"PRLHR;LINC00346",2
"8","H3K9me3 Adult Kidney","2/108",0.63103979476181,1,0,0,0.940026320736981,0.432775288819306,"SPAG6;C2ORF16",2
"9","H3K9me3 Skeletal Muscle","2/108",0.63103979476181,1,0,0,0.940026320736981,0.432775288819306,"SPAG6;C2ORF16",2
"10","H3K9me3 Fetal Brain","2/115",0.664920900663943,1,0,0,0.882807327300817,0.360262363073029,"MIR382;C2ORF16",2
"11","H2AK5ac H9","34/1829",0.665691524826171,1,0,0,0.943624015786275,0.383987874904215,"KDM5B;FLII;CSTF3;MRPL17;LDLRAD3;PIK3C2A;NUP160;PTDSS2;AKAP10;RASSF10;DEAF1;DHRS7B;TSPAN4;ARFIP2;POLR2L;FNBP4;TUB;ZNF143;RRM1;KRTAP5-6;TALDO1;GTF2H1;PARVA;HPS5;ARFGAP2;NAP1L4;SIGIRR;MOB2;RPL27A;CAPRIN1;NDUFS3;EIF3F;C11ORF58;LINC00346",34
"12","H3K9me3 Adipose Derived Mesenchymal Stem Cell Cultured Cells","4/247",0.720094808429461,1,0,0,0.822047308822623,0.269937645464659,"RIC3;SPAG6;MIR382;C2ORF16",4
