"","Gene","Category"
"150","AC073349.2","QGBCbyPGBC"
"151","SLC25A29","QGBCbyPGBC"
"152","AP003119.3","QGBCbyPGBC"
"153","MT-TM","QGBCbyPGBC"
"154","AF131216.2","QGBCbyPGBC"
"155","AC242988.1","QGBCbyPGBC"
"156","AKAP8L","QGBCbyPGBC"
"157","GPR35","QGBCbyPGBC"
"158","CYP4V2","QGBCbyPGBC"
"159","Z98257.1","QGBCbyPGBC"
"160","AL359771.1","QGBCbyPGBC"
"161","AC010531.1","QGBCbyPGBC"
"162","AL390195.2","QGBCbyPGBC"
"163","BAALC-AS2","QGBCbyPGBC"
"164","SLC49A3","QGBCbyPGBC"
"165","GLUL","QGBCbyPGBC"
"166","AP001029.2","QGBCbyPGBC"
"167","GRIN2C","QGBCbyPGBC"
"168","AC138907.10","QGBCbyPGBC"
"169","PDIA2","QGBCbyPGBC"
"170","AC008737.2","QGBCbyPGBC"
"171","TRAPPC5","QGBCbyPGBC"
"172","Z97653.1","QGBCbyPGBC"
"173","TMEM8B","QGBCbyPGBC"
"174","KAZALD1","QGBCbyPGBC"
"175","CDKN1A","QGBCbyPGBC"
"176","DUSP8","QGBCbyPGBC"
"177","AC104590.1","QGBCbyPGBC"
"178","ADGRG1","QGBCbyPGBC"
"179","AC005753.1","QGBCbyPGBC"
"180","RNU6-921P","QGBCbyPGBC"
"181","NOXA1","QGBCbyPGBC"
"182","AC005332.3","QGBCbyPGBC"
"183","AC092611.2","QGBCbyPGBC"
"184","ANKRD24","QGBCbyPGBC"
"185","CCDC78","QGBCbyPGBC"
"186","AL031432.5","QGBCbyPGBC"
"187","AC136475.5","QGBCbyPGBC"
"188","STKLD1","QGBCbyPGBC"
"189","RNA5SP228","QGBCbyPGBC"
"190","DICER1-AS1","QGBCbyPGBC"
"191","VWA5B2","QGBCbyPGBC"
"192","C10orf142","QGBCbyPGBC"
"193","KRTAP5-AS1","QGBCbyPGBC"
"194","TRIM54","QGBCbyPGBC"
"195","AL355974.2","QGBCbyPGBC"
"196","SLC30A3","QGBCbyPGBC"
"197","SLC25A25-AS1","QGBCbyPGBC"
"198","AL589743.6","QGBCbyPGBC"
"199","MEIS1-AS3","QGBCbyPGBC"
"200","KRT8P26","QGBCbyPGBC"
"201","DUSP7","QGBCbyPGBC"
"202","GZMM","QGBCbyPGBC"
"203","ATXN7L2","QGBCbyPGBC"
"204","TMEM59L","QGBCbyPGBC"
"205","AC025048.2","QGBCbyPGBC"
"206","CYP2D7","QGBCbyPGBC"
"207","PLK5","QGBCbyPGBC"
"208","RNF39","QGBCbyPGBC"
"209","LEAP2","QGBCbyPGBC"
"210","GRIN3B","QGBCbyPGBC"
"211","MTURN","QGBCbyPGBC"
"212","TRIM7","QGBCbyPGBC"
"213","AP001453.4","QGBCbyPGBC"
"214","RNF224","QGBCbyPGBC"
"215","FAM166A","QGBCbyPGBC"
"216","TFAP2E","QGBCbyPGBC"
"217","RNU6-947P","QGBCbyPGBC"
"218","LRRC3C","QGBCbyPGBC"
"219","ACBD4","QGBCbyPGBC"
"220","BNIPL","QGBCbyPGBC"
"221","CDIPT-AS1","QGBCbyPGBC"
"222","LRRC75A","QGBCbyPGBC"
"223","IFITM4P","QGBCbyPGBC"
"224","UBE2FP3","QGBCbyPGBC"
"225","DCST2","QGBCbyPGBC"
"226","RANP4","QGBCbyPGBC"
"227","PRAM1","QGBCbyPGBC"
"228","AC093734.1","QGBCbyPGBC"
"229","FDXR","QGBCbyPGBC"
"230","SLC25A47","QGBCbyPGBC"
"231","IGKV1OR-2","QGBCbyPGBC"
"232","RAB3A","QGBCbyPGBC"
"233","PGPEP1","QGBCbyPGBC"
"234","PLIN4","QGBCbyPGBC"
"235","LMBR1L","QGBCbyPGBC"
"236","AL583810.2","QGBCbyPGBC"
"237","SNN","QGBCbyPGBC"
"238","LTA","QGBCbyPGBC"
"239","STK19B","QGBCbyPGBC"
"240","RPS26P49","QGBCbyPGBC"
"241","AC080080.1","QGBCbyPGBC"
"242","AL022069.1","QGBCbyPGBC"
"243","TMEM198B","QGBCbyPGBC"
"244","AC009084.1","QGBCbyPGBC"
"245","CCDC17","QGBCbyPGBC"
"246","GAPDHP58","QGBCbyPGBC"
"247","LMTK3","QGBCbyPGBC"
"248","DIP2A","QGBCbyPGBC"
"249","LMO4","QGBCbyPGBC"
"250","TMPRSS6","QGBCbyPGBC"
"251","RNU6-912P","QGBCbyPGBC"
"252","MIR320D1","QGBCbyPGBC"
"253","LONP2","QGBCbyPGBC"
"254","AC133552.4","QGBCbyPGBC"
"255","ASIC3","QGBCbyPGBC"
"256","AC004839.1","QGBCbyPGBC"
"257","AC097359.3","QGBCbyPGBC"
"258","ANO7L1","QGBCbyPGBC"
"259","CRYAB","QGBCbyPGBC"
"260","ST6GALNAC4P1","QGBCbyPGBC"
"261","AC107294.1","QGBCbyPGBC"
"262","AC008443.4","QGBCbyPGBC"
"263","ANKRD16","QGBCbyPGBC"
"264","CCDC88B","QGBCbyPGBC"
"265","CBX3P2","QGBCbyPGBC"
"266","OCEL1","QGBCbyPGBC"
"267","LINC00898","QGBCbyPGBC"
"268","AC009159.1","QGBCbyPGBC"
"269","ENTHD1","QGBCbyPGBC"
"270","AL161785.3","QGBCbyPGBC"
"271","UNC5CL","QGBCbyPGBC"
"272","AL391422.3","QGBCbyPGBC"
"273","AC106881.1","QGBCbyPGBC"
"274","LTBP4","QGBCbyPGBC"
"275","N4BP2L1","QGBCbyPGBC"
"276","ZBTB1","QGBCbyPGBC"
"277","MAMDC4","QGBCbyPGBC"
"278","SLC34A3","QGBCbyPGBC"
"279","SCNN1D","QGBCbyPGBC"
"280","LCAT","QGBCbyPGBC"
"281","BTAF1","QGBCbyPGBC"
"282","SIGLEC1","QGBCbyPGBC"
"283","AL158151.1","QGBCbyPGBC"
"284","CLDN4","QGBCbyPGBC"
"285","ARHGDIG","QGBCbyPGBC"
"286","EPS15L1","QGBCbyPGBC"
"287","RNU7-54P","QGBCbyPGBC"
"288","ZNF555","QGBCbyPGBC"
"289","RNA5SP41","QGBCbyPGBC"
"290","UPK3B","QGBCbyPGBC"
"291","PGGHG","QGBCbyPGBC"
"292","AL583839.1","QGBCbyPGBC"
"293","SCML2P2","QGBCbyPGBC"
"294","AC021755.2","QGBCbyPGBC"
"295","TCP11L2","QGBCbyPGBC"
"296","AC067930.5","QGBCbyPGBC"
"297","SEC1P","QGBCbyPGBC"
"298","MAFK","QGBCbyPGBC"
"299","GAPDHP22","QGBCbyPGBC"
"300","AL133355.1","QGBCbyPGBC"
"301","MROH6","QGBCbyPGBC"
"302","AC008443.3","QGBCbyPGBC"
"303","AC007663.3","QGBCbyPGBC"
"304","AC097359.1","QGBCbyPGBC"
"305","UBL4B","QGBCbyPGBC"
"306","KANK2","QGBCbyPGBC"
"307","AL355596.1","QGBCbyPGBC"
"308","SIDT2","QGBCbyPGBC"
"309","AC067852.1","QGBCbyPGBC"
"310","PSD","QGBCbyPGBC"
"311","LINC01287","QGBCbyPGBC"
"312","PRRT1","QGBCbyPGBC"
"313","KCNK15","QGBCbyPGBC"
"314","AC004453.2","QGBCbyPGBC"
"315","AL136317.2","QGBCbyPGBC"
"316","AC026471.4","QGBCbyPGBC"
"317","RNU6-1096P","QGBCbyPGBC"
"318","AC102953.2","QGBCbyPGBC"
"319","MLN","QGBCbyPGBC"
"320","AC004832.2","QGBCbyPGBC"
"321","ENPP5","QGBCbyPGBC"
"322","RN7SL567P","QGBCbyPGBC"
"323","FAIM2","QGBCbyPGBC"
"324","AC009407.1","QGBCbyPGBC"
"325","RNU6-1150P","QGBCbyPGBC"
"326","SSSCA1-AS1","QGBCbyPGBC"
"327","RNU6ATAC17P","QGBCbyPGBC"
"328","NSUN5P1","QGBCbyPGBC"
"329","AC021739.3","QGBCbyPGBC"
"330","P2RX7","QGBCbyPGBC"
"331","AL590004.3","QGBCbyPGBC"
"332","ZMAT3","QGBCbyPGBC"
"333","RNU6-1273P","QGBCbyPGBC"
"334","GIPR","QGBCbyPGBC"
"335","CFD","QGBCbyPGBC"
"336","TMPRSS3","QGBCbyPGBC"
"337","FAM43B","QGBCbyPGBC"
"338","HSD3BP2","QGBCbyPGBC"
"339","LINC01786","QGBCbyPGBC"
"340","RNA5SP379","QGBCbyPGBC"
"341","RF02110","QGBCbyPGBC"
"342","PLA2G2A","QGBCbyPGBC"
"343","ARHGAP27","QGBCbyPGBC"
"344","ZNF337","QGBCbyPGBC"
"345","AC106786.1","QGBCbyPGBC"
"346","RBM5","QGBCbyPGBC"
"347","RPL39P40","QGBCbyPGBC"
"348","LUC7L","QGBCbyPGBC"
"349","AL451123.1","QGBCbyPGBC"
"350","AC114956.1","QGBCbyPGBC"
"351","AL162497.1","QGBCbyPGBC"
"352","MTRNR2L9","QGBCbyPGBC"
"353","FP236315.1","QGBCbyPGBC"
"354","WNT8B","QGBCbyPGBC"
"355","AL645608.8","QGBCbyPGBC"
"356","AC113208.2","QGBCbyPGBC"
"357","AMY2B","QGBCbyPGBC"
"358","TMEM256-PLSCR3","QGBCbyPGBC"
"359","RPL26P6","QGBCbyPGBC"
"360","AC100803.2","QGBCbyPGBC"
"361","AP001767.2","QGBCbyPGBC"
"362","MT3","QGBCbyPGBC"
"363","CCER2","QGBCbyPGBC"
"364","LYPD2","QGBCbyPGBC"
"365","NR1I3","QGBCbyPGBC"
"366","MIR30B","QGBCbyPGBC"
"367","RNA5SP441","QGBCbyPGBC"
"368","MISP3","QGBCbyPGBC"
"369","RN7SL569P","QGBCbyPGBC"
"370","AC005329.1","QGBCbyPGBC"
"371","CD72","QGBCbyPGBC"
"372","PCSK4","QGBCbyPGBC"
"373","GALR3","QGBCbyPGBC"
"374","RNA5SP64","QGBCbyPGBC"
"375","AC015983.2","QGBCbyPGBC"
"376","CCNB1IP1","QGBCbyPGBC"
"377","WDR86","QGBCbyPGBC"
"378","LPCAT4","QGBCbyPGBC"
"379","TNXB","QGBCbyPGBC"
"380","SNORA3C","QGBCbyPGBC"
"381","ZNF774","QGBCbyPGBC"
"382","C14orf178","QGBCbyPGBC"
"383","ZP3","QGBCbyPGBC"
"384","MIR193A","QGBCbyPGBC"
"385","U73166.1","QGBCbyPGBC"
"386","BX470102.1","QGBCbyPGBC"
"387","CNN2P2","QGBCbyPGBC"
"388","CR769776.2","QGBCbyPGBC"
"389","RNU6-1313P","QGBCbyPGBC"
"390","LINC01058","QGBCbyPGBC"
"391","BCAM","QGBCbyPGBC"
"392","KIF17","QGBCbyPGBC"
"393","SRP14-AS1","QGBCbyPGBC"
"394","AL645608.1","QGBCbyPGBC"
"395","GDPD3","QGBCbyPGBC"
"396","NOP53","QGBCbyPGBC"
"397","VPREB3","QGBCbyPGBC"
"398","AC132872.1","QGBCbyPGBC"
"399","YPEL3","QGBCbyPGBC"
"400","LINC01198","QGBCbyPGBC"
"401","RNU6-716P","QGBCbyPGBC"
"402","AC090844.2","QGBCbyPGBC"
"403","AL359955.1","QGBCbyPGBC"
"404","STPG3-AS1","QGBCbyPGBC"
"405","EN2","QGBCbyPGBC"
"406","AC004918.1","QGBCbyPGBC"
"407","C1orf21","QGBCbyPGBC"
"408","C10orf90","QGBCbyPGBC"
"409","C11orf71","QGBCbyPGBC"
"410","CNR1","QGBCbyPGBC"
"411","HMGN1P26","QGBCbyPGBC"
"412","AC007566.1","QGBCbyPGBC"
"413","AL356512.1","QGBCbyPGBC"
"414","EPX","QGBCbyPGBC"
"415","AMIGO1","QGBCbyPGBC"
"416","RN7SL523P","QGBCbyPGBC"
"417","RPL12P50","QGBCbyPGBC"
"418","CERS4","QGBCbyPGBC"
"419","CCDC154","QGBCbyPGBC"
"420","AP002373.2","QGBCbyPGBC"
