"","Gene","Category"
"1","RNU5B-1","QGBObyPGBO"
"2","RNU6-45P","QGBObyPGBO"
"3","RPS27P16","QGBObyPGBO"
"4","MIR30D","QGBObyPGBO"
"5","CTBP2P1","QGBObyPGBO"
"6","AC007849.2","QGBObyPGBO"
"7","RNU6-1266P","QGBObyPGBO"
"8","RNA5SP69","QGBObyPGBO"
"9","AC140113.3","QGBObyPGBO"
"10","RNU7-155P","QGBObyPGBO"
"11","RPL21P119","QGBObyPGBO"
"12","RNA5SP361","QGBObyPGBO"
"13","DYNLT3P2","QGBObyPGBO"
"14","RPS7P14","QGBObyPGBO"
"15","RNU6-304P","QGBObyPGBO"
"16","RN7SL58P","QGBObyPGBO"
"17","MIR376A1","QGBObyPGBO"
"18","HLA-S","QGBObyPGBO"
"19","AL021997.1","QGBObyPGBO"
"20","AC023141.8","QGBObyPGBO"
"21","HMGN2P22","QGBObyPGBO"
"22","RNMTL1P1","QGBObyPGBO"
"23","AC096638.1","QGBObyPGBO"
"24","AC025166.1","QGBObyPGBO"
"25","AC021087.4","QGBObyPGBO"
"26","RN7SKP185","QGBObyPGBO"
"27","AC069213.2","QGBObyPGBO"
"28","PRSS3P4","QGBObyPGBO"
"29","AC008403.3","QGBObyPGBO"
"30","RNU6-1251P","QGBObyPGBO"
"31","AC026585.1","QGBObyPGBO"
"32","MTCO3P39","QGBObyPGBO"
"33","RN7SL18P","QGBObyPGBO"
"34","AC012640.5","QGBObyPGBO"
"35","ACTG1P24","QGBObyPGBO"
"36","PRELID3BP7","QGBObyPGBO"
"37","AC004832.6","QGBObyPGBO"
"38","ATP5F1CP1","QGBObyPGBO"
"39","PCK1","QGBObyPGBO"
"40","AC011416.2","QGBObyPGBO"
"41","SUMO2P4","QGBObyPGBO"
"42","OR1L3","QGBObyPGBO"
"43","AC104581.1","QGBObyPGBO"
"44","TUBB4BP3","QGBObyPGBO"
"45","AC026741.1","QGBObyPGBO"
"46","HLA-Z","QGBObyPGBO"
"47","AC069218.2","QGBObyPGBO"
"48","AC128657.1","QGBObyPGBO"
"49","RN7SL769P","QGBObyPGBO"
"50","DYNLL1P3","QGBObyPGBO"
"51","AL031773.1","QGBObyPGBO"
"52","AC007952.5","QGBObyPGBO"
"53","AL031679.1","QGBObyPGBO"
"54","RNU1-36P","QGBObyPGBO"
"55","AC128713.1","QGBObyPGBO"
"56","RPLP0P1","QGBObyPGBO"
"57","AL136301.1","QGBObyPGBO"
"58","RN7SL644P","QGBObyPGBO"
"59","TAS2R6P","QGBObyPGBO"
"60","LDHAP5","QGBObyPGBO"
"61","RN7SL753P","QGBObyPGBO"
"62","AC135776.4","QGBObyPGBO"
"63","OR5B21","QGBObyPGBO"
"64","MIR8070","QGBObyPGBO"
"65","CHCHD2P3","QGBObyPGBO"
"66","MRPL40P1","QGBObyPGBO"
"67","AL357078.3","QGBObyPGBO"
"68","CEACAMP7","QGBObyPGBO"
"69","RF02272","QGBObyPGBO"
"70","AC027124.1","QGBObyPGBO"
"71","AL450990.1","QGBObyPGBO"
"72","MTND4LP22","QGBObyPGBO"
"73","H2AFZP2","QGBObyPGBO"
"74","AC092132.1","QGBObyPGBO"
"75","PPP1R2P1","QGBObyPGBO"
"76","AC091825.1","QGBObyPGBO"
"77","AP001630.1","QGBObyPGBO"
"78","AC002504.1","QGBObyPGBO"
"79","LINC01873","QGBObyPGBO"
"80","AC106789.1","QGBObyPGBO"
"81","HNRNPA1P63","QGBObyPGBO"
"82","AC105129.2","QGBObyPGBO"
"83","OR52M1","QGBObyPGBO"
"84","HMGN1P17","QGBObyPGBO"
"85","AC012629.3","QGBObyPGBO"
"86","OR6V1","QGBObyPGBO"
"87","AL451142.1","QGBObyPGBO"
"88","HMGN2P21","QGBObyPGBO"
"89","RNU6-520P","QGBObyPGBO"
"90","ARL5AP1","QGBObyPGBO"
"91","AC073534.1","QGBObyPGBO"
"92","AL162588.1","QGBObyPGBO"
"93","AC004847.1","QGBObyPGBO"
"94","RPL17P34","QGBObyPGBO"
"95","AP005212.1","QGBObyPGBO"
"96","IFNA20P","QGBObyPGBO"
"97","AC063943.1","QGBObyPGBO"
"98","AL359837.1","QGBObyPGBO"
"99","AC073352.2","QGBObyPGBO"
"100","TAS2R39","QGBObyPGBO"
"101","OR2W6P","QGBObyPGBO"
"102","AC233266.2","QGBObyPGBO"
"103","GAPDHP37","QGBObyPGBO"
"104","HMGB1P45","QGBObyPGBO"
"105","AC023538.1","QGBObyPGBO"
"106","RN7SL251P","QGBObyPGBO"
"107","AC010139.1","QGBObyPGBO"
"108","ACTG1P15","QGBObyPGBO"
"109","EEF1GP7","QGBObyPGBO"
"110","SLC32A1","QGBObyPGBO"
"111","PPIAP65","QGBObyPGBO"
"112","AL669983.1","QGBObyPGBO"
"113","AC137590.2","QGBObyPGBO"
"114","RN7SL43P","QGBObyPGBO"
"115","RN7SL837P","QGBObyPGBO"
"116","BX284613.1","QGBObyPGBO"
"117","AL138995.1","QGBObyPGBO"
"118","AC007622.1","QGBObyPGBO"
"119","HTR1D","QGBObyPGBO"
"120","PPM1AP1","QGBObyPGBO"
"121","RXFP4","QGBObyPGBO"
"122","AC013410.1","QGBObyPGBO"
"123","AL157414.3","QGBObyPGBO"
"124","AC093510.1","QGBObyPGBO"
"125","LINC01293","QGBObyPGBO"
"126","AC138907.8","QGBObyPGBO"
"127","AC104306.1","QGBObyPGBO"
"128","RPL36AP39","QGBObyPGBO"
"129","KCNA3","QGBObyPGBO"
"130","AC023983.2","QGBObyPGBO"
"131","AC233280.2","QGBObyPGBO"
"132","RNA5SP243","QGBObyPGBO"
"133","AL110115.2","QGBObyPGBO"
"134","AC091807.1","QGBObyPGBO"
"135","RSL24D1P3","QGBObyPGBO"
"136","HADHAP2","QGBObyPGBO"
"137","RPL23AP59","QGBObyPGBO"
"138","ADH5P2","QGBObyPGBO"
"139","AC138907.9","QGBObyPGBO"
"140","YBX2P1","QGBObyPGBO"
"141","AC245008.1","QGBObyPGBO"
"142","CR848007.3","QGBObyPGBO"
"143","AL034379.1","QGBObyPGBO"
"144","AC008494.2","QGBObyPGBO"
"145","AL732292.2","QGBObyPGBO"
"146","MFNG","QGBObyPGBO"
"147","AF111169.2","QGBObyPGBO"
"148","OR7E15P","QGBObyPGBO"
"149","AP000221.1","QGBObyPGBO"
"150","RPL39P40","QGBObyPGBO"
"151","RPL37AP8","QGBObyPGBO"
"152","RPS4XP1","QGBObyPGBO"
"153","MYL6P3","QGBObyPGBO"
"154","CHCHD2P9","QGBObyPGBO"
"155","AL161911.1","QGBObyPGBO"
"156","AP002373.2","QGBObyPGBO"
"157","AL590560.3","QGBObyPGBO"
"158","MTCO1P17","QGBObyPGBO"
"159","TOMM20P4","QGBObyPGBO"
"160","AL133270.1","QGBObyPGBO"
"161","AC080080.2","QGBObyPGBO"
"162","AC008494.3","QGBObyPGBO"
"163","SOX5P1","QGBObyPGBO"
"164","RN7SKP66","QGBObyPGBO"
"165","AP002982.1","QGBObyPGBO"
"166","AC068138.1","QGBObyPGBO"
"167","AL139125.2","QGBObyPGBO"
"168","MYCL","QGBObyPGBO"
"169","HNRNPA1P41","QGBObyPGBO"
"170","AC034236.3","QGBObyPGBO"
"171","AL358613.2","QGBObyPGBO"
"172","MIR331","QGBObyPGBO"
"173","AL096711.1","QGBObyPGBO"
"174","AC072052.1","QGBObyPGBO"
"175","LYPLA1P3","QGBObyPGBO"
"176","CDK2AP2P2","QGBObyPGBO"
"177","RNU2-62P","QGBObyPGBO"
"178","AC073610.1","QGBObyPGBO"
"179","AC002540.1","QGBObyPGBO"
"180","AC010631.1","QGBObyPGBO"
"181","LINC00896","QGBObyPGBO"
"182","ARX","QGBObyPGBO"
"183","MRPL30P1","QGBObyPGBO"
"184","LINC01960","QGBObyPGBO"
"185","HNRNPA1P60","QGBObyPGBO"
"186","RPL7P44","QGBObyPGBO"
"187","AC008759.2","QGBObyPGBO"
"188","AC092162.3","QGBObyPGBO"
"189","LMO1","QGBObyPGBO"
"190","AP006287.1","QGBObyPGBO"
"191","AC007952.7","QGBObyPGBO"
"192","RN7SL586P","QGBObyPGBO"
"193","AC091962.1","QGBObyPGBO"
"194","AC008549.2","QGBObyPGBO"
"195","ATCAY","QGBObyPGBO"
"196","RPSAP45","QGBObyPGBO"
"197","RNA5SP103","QGBObyPGBO"
"198","AC025754.2","QGBObyPGBO"
"199","RNA5SP75","QGBObyPGBO"
"200","TRBV20OR9-2","QGBObyPGBO"
"201","MTCO1P1","QGBObyPGBO"
"202","AC007992.1","QGBObyPGBO"
"203","AC008507.3","QGBObyPGBO"
"204","AC019103.1","QGBObyPGBO"
"205","AL359641.1","QGBObyPGBO"
"206","AL009176.1","QGBObyPGBO"
"207","AC015911.1","QGBObyPGBO"
"208","HMX2","QGBObyPGBO"
"209","SHD","QGBObyPGBO"
"210","AL359711.2","QGBObyPGBO"
"211","AC015660.2","QGBObyPGBO"
"212","AC022098.3","QGBObyPGBO"
"213","AL390037.1","QGBObyPGBO"
"214","STC1","QGBObyPGBO"
"215","RPL36AP26","QGBObyPGBO"
"216","PRDX4P1","QGBObyPGBO"
"217","SELENBP1","QGBObyPGBO"
"218","AC079089.2","QGBObyPGBO"
"219","PDSS1P2","QGBObyPGBO"
"220","AC018641.1","QGBObyPGBO"
"221","AC019129.1","QGBObyPGBO"
"222","RPSAP49","QGBObyPGBO"
"223","VN1R28P","QGBObyPGBO"
"224","AC234782.5","QGBObyPGBO"
"225","AP001264.1","QGBObyPGBO"
"226","Z97653.1","QGBObyPGBO"
"227","PPIAP43","QGBObyPGBO"
"228","CES3","QGBObyPGBO"
"229","HIST1H2BO","QGBObyPGBO"
"230","NUAK2","QGBObyPGBO"
"231","EIF4A1P9","QGBObyPGBO"
"232","AC005332.8","QGBObyPGBO"
"233","AL158063.1","QGBObyPGBO"
"234","RNU6-1064P","QGBObyPGBO"
"235","AC126768.3","QGBObyPGBO"
"236","AL023806.3","QGBObyPGBO"
"237","FAM220CP","QGBObyPGBO"
"238","RPL12P10","QGBObyPGBO"
"239","AC083906.1","QGBObyPGBO"
"240","AC016717.3","QGBObyPGBO"
"241","AC124947.2","QGBObyPGBO"
"242","DAP3P2","QGBObyPGBO"
"243","REXO1L1P","QGBObyPGBO"
"244","AC100771.1","QGBObyPGBO"
"245","AC008121.2","QGBObyPGBO"
"246","PPIAP77","QGBObyPGBO"
"247","RPS18P6","QGBObyPGBO"
"248","CXCR4","QGBObyPGBO"
"249","SIGLEC31P","QGBObyPGBO"
"250","AC093014.1","QGBObyPGBO"
"251","AC092814.1","QGBObyPGBO"
"252","AC021106.1","QGBObyPGBO"
"253","TUFMP1","QGBObyPGBO"
"254","RNA5SP242","QGBObyPGBO"
"255","NACAP7","QGBObyPGBO"
"256","AC087072.2","QGBObyPGBO"
"257","AP001059.3","QGBObyPGBO"
"258","NEFM","QGBObyPGBO"
"259","AL627223.1","QGBObyPGBO"
"260","AC005740.1","QGBObyPGBO"
"261","AL589765.7","QGBObyPGBO"
"262","RNA5SP99","QGBObyPGBO"
"263","EPO","QGBObyPGBO"
"264","BMPR1APS2","QGBObyPGBO"
"265","AP000343.1","QGBObyPGBO"
"266","AC013553.4","QGBObyPGBO"
"267","AC066615.1","QGBObyPGBO"
"268","AC099063.4","QGBObyPGBO"
"269","AC009220.1","QGBObyPGBO"
"270","OR4F17","QGBObyPGBO"
"271","LRCOL1","QGBObyPGBO"
"272","LINC01326","QGBObyPGBO"
"273","RPL21P120","QGBObyPGBO"
"274","RIMS4","QGBObyPGBO"
"275","AF131216.5","QGBObyPGBO"
"276","AC125494.2","QGBObyPGBO"
"277","AC017079.1","QGBObyPGBO"
"278","AC005906.1","QGBObyPGBO"
"279","HMGB1P37","QGBObyPGBO"
"280","CCT4P2","QGBObyPGBO"
"281","AC068448.1","QGBObyPGBO"
"282","RNU6-322P","QGBObyPGBO"
"283","ARMC10P1","QGBObyPGBO"
"284","GRIP2","QGBObyPGBO"
"285","OR10K1","QGBObyPGBO"
"286","PPIAP58","QGBObyPGBO"
"287","AP003041.1","QGBObyPGBO"
"288","AC136443.3","QGBObyPGBO"
"289","Z98752.4","QGBObyPGBO"
"290","AK4P4","QGBObyPGBO"
"291","AC108704.1","QGBObyPGBO"
"292","AC093582.1","QGBObyPGBO"
"293","AC245100.3","QGBObyPGBO"
"294","PPIAP89","QGBObyPGBO"
"295","RGR","QGBObyPGBO"
"296","BX005266.3","QGBObyPGBO"
"297","AL354877.1","QGBObyPGBO"
"298","RNASE2","QGBObyPGBO"
"299","GPR182","QGBObyPGBO"
"300","RNU6-62P","QGBObyPGBO"
"301","JADRR","QGBObyPGBO"
"302","AL672207.1","QGBObyPGBO"
"303","AL591926.3","QGBObyPGBO"
"304","AL589987.1","QGBObyPGBO"
"305","AF186192.3","QGBObyPGBO"
"306","TTR","QGBObyPGBO"
"307","AC092184.1","QGBObyPGBO"
"308","RN7SL525P","QGBObyPGBO"
"309","AC022743.1","QGBObyPGBO"
"310","ZCCHC12","QGBObyPGBO"
"311","RN7SL585P","QGBObyPGBO"
"312","HMGB1P1","QGBObyPGBO"
"313","SMOC1","QGBObyPGBO"
"314","FABP6","QGBObyPGBO"
"315","RNU1-47P","QGBObyPGBO"
"316","TRBV8-2","QGBObyPGBO"
"317","LAG3","QGBObyPGBO"
"318","AC010326.1","QGBObyPGBO"
"319","RSL24D1P1","QGBObyPGBO"
"320","AC016405.2","QGBObyPGBO"
"321","AL157777.1","QGBObyPGBO"
"322","AC091305.1","QGBObyPGBO"
"323","RPS4XP13","QGBObyPGBO"
"324","AC006033.1","QGBObyPGBO"
"325","RBMX2P5","QGBObyPGBO"
"326","PGLYRP1","QGBObyPGBO"
"327","AL451064.1","QGBObyPGBO"
"328","FOXC2","QGBObyPGBO"
"329","AC005695.3","QGBObyPGBO"
"330","AL023773.1","QGBObyPGBO"
"331","SETP20","QGBObyPGBO"
"332","LINC01804","QGBObyPGBO"
"333","AL583856.1","QGBObyPGBO"
"334","HSPE1P6","QGBObyPGBO"
"335","AC021106.3","QGBObyPGBO"
"336","RAB3A","QGBObyPGBO"
"337","AC010904.2","QGBObyPGBO"
"338","METTL7A","QGBObyPGBO"
"339","FAM180B","QGBObyPGBO"
"340","AC106872.8","QGBObyPGBO"
"341","C15orf59-AS1","QGBObyPGBO"
"342","MCHR1","QGBObyPGBO"
"343","AC093072.1","QGBObyPGBO"
"344","FSCN1P1","QGBObyPGBO"
"345","NUDT9P1","QGBObyPGBO"
"346","NDUFA5P6","QGBObyPGBO"
"347","AC237221.2","QGBObyPGBO"
"348","TMEM191C","QGBObyPGBO"
"349","AL162431.1","QGBObyPGBO"
"350","SNX18P25","QGBObyPGBO"
"351","NCAN","QGBObyPGBO"
"352","RNU6-1004P","QGBObyPGBO"
"353","HNRNPA1P39","QGBObyPGBO"
"354","AL358942.1","QGBObyPGBO"
"355","AC233263.6","QGBObyPGBO"
"356","AL365366.1","QGBObyPGBO"
"357","HMGN2P31","QGBObyPGBO"
"358","AC008543.4","QGBObyPGBO"
"359","AC103724.4","QGBObyPGBO"
"360","RPS15AP38","QGBObyPGBO"
"361","AC021739.5","QGBObyPGBO"
"362","AC068944.1","QGBObyPGBO"
"363","GAL3ST3","QGBObyPGBO"
"364","TNFAIP3","QGBObyPGBO"
"365","AL121890.5","QGBObyPGBO"
"366","AC018648.1","QGBObyPGBO"
"367","SSTR3","QGBObyPGBO"
"368","FGF23","QGBObyPGBO"
"369","SIX2","QGBObyPGBO"
"370","AP000432.2","QGBObyPGBO"
"371","CNOT6LP1","QGBObyPGBO"
"372","TAGLN3","QGBObyPGBO"
"373","RPL21P17","QGBObyPGBO"
"374","AC127024.1","QGBObyPGBO"
"375","AC011816.2","QGBObyPGBO"
"376","TMEM86B","QGBObyPGBO"
"377","AL627230.4","QGBObyPGBO"
"378","HIGD1AP18","QGBObyPGBO"
"379","MIR1299","QGBObyPGBO"
"380","AC098590.1","QGBObyPGBO"
"381","BST2","QGBObyPGBO"
"382","RN7SL70P","QGBObyPGBO"
"383","AC117490.1","QGBObyPGBO"
"384","RN7SL208P","QGBObyPGBO"
"385","OR10H1","QGBObyPGBO"
"386","DMRT3","QGBObyPGBO"
"387","AC060766.4","QGBObyPGBO"
"388","AC027338.1","QGBObyPGBO"
"389","AC104066.1","QGBObyPGBO"
"390","ASB9","QGBObyPGBO"
"391","MTND4P30","QGBObyPGBO"
"392","C10orf82","QGBObyPGBO"
"393","RPS10P3","QGBObyPGBO"
"394","AC012508.1","QGBObyPGBO"
"395","SNX18P7","QGBObyPGBO"
"396","AL450326.2","QGBObyPGBO"
"397","RNU6-1011P","QGBObyPGBO"
"398","AC079328.1","QGBObyPGBO"
"399","SOWAHD","QGBObyPGBO"
"400","RPSAP72","QGBObyPGBO"
"401","CDRT15L2","QGBObyPGBO"
"402","AC008549.3","QGBObyPGBO"
"403","AC147876.1","QGBObyPGBO"
"404","AL031121.1","QGBObyPGBO"
"405","RN7SL371P","QGBObyPGBO"
"406","AC009967.1","QGBObyPGBO"
"407","RN7SL191P","QGBObyPGBO"
"408","AP005671.1","QGBObyPGBO"
"409","AC027688.2","QGBObyPGBO"
"410","FAM241A","QGBObyPGBO"
"411","AC004069.1","QGBObyPGBO"
"412","ZAR1","QGBObyPGBO"
"413","AL021408.2","QGBObyPGBO"
"414","SOWAHB","QGBObyPGBO"
"415","RN7SL592P","QGBObyPGBO"
"416","PPIAP48","QGBObyPGBO"
"417","CR769775.4","QGBObyPGBO"
"418","RPL12P35","QGBObyPGBO"
"419","SULT1A2","QGBObyPGBO"
"420","AC022167.4","QGBObyPGBO"
"421","SUB1P1","QGBObyPGBO"
"422","SLC43A2","QGBObyPGBO"
"423","AL365356.5","QGBObyPGBO"
"424","CFH","QGBObyPGBO"
"425","AC008072.1","QGBObyPGBO"
"426","PLA2G3","QGBObyPGBO"
"427","AP003717.2","QGBObyPGBO"
"428","BTG1P1","QGBObyPGBO"
"429","AC122710.3","QGBObyPGBO"
"430","RPSAP12","QGBObyPGBO"
"431","AC010733.1","QGBObyPGBO"
"432","AC233279.1","QGBObyPGBO"
"433","YTHDF2P1","QGBObyPGBO"
"434","IER3-AS1","QGBObyPGBO"
"435","RN7SL156P","QGBObyPGBO"
"436","AC019322.4","QGBObyPGBO"
"437","BOLA2P3","QGBObyPGBO"
"438","AC080013.6","QGBObyPGBO"
"439","AC100847.1","QGBObyPGBO"
"440","AC020558.3","QGBObyPGBO"
"441","AC009533.2","QGBObyPGBO"
"442","AL445991.1","QGBObyPGBO"
"443","AC005479.2","QGBObyPGBO"
"444","VN1R20P","QGBObyPGBO"
"445","TRH","QGBObyPGBO"
"446","DLL1","QGBObyPGBO"
"447","AC006946.2","QGBObyPGBO"
"448","APOL4","QGBObyPGBO"
"449","LHB","QGBObyPGBO"
"450","CDK7P1","QGBObyPGBO"
"451","RPS18P12","QGBObyPGBO"
"452","RN7SL697P","QGBObyPGBO"
"453","LINC01563","QGBObyPGBO"
"454","RPL17P33","QGBObyPGBO"
"455","SCDP1","QGBObyPGBO"
"456","AL357515.1","QGBObyPGBO"
"457","CYP51A1P1","QGBObyPGBO"
"458","AC016877.3","QGBObyPGBO"
"459","MIR548A3","QGBObyPGBO"
"460","AC092954.2","QGBObyPGBO"
"461","AP000253.1","QGBObyPGBO"
"462","PA2G4P2","QGBObyPGBO"
"463","AC099518.6","QGBObyPGBO"
"464","AL021937.4","QGBObyPGBO"
"465","H2BFM","QGBObyPGBO"
"466","AC022968.1","QGBObyPGBO"
"467","PGDP1","QGBObyPGBO"
"468","HAUS1P2","QGBObyPGBO"
"469","AP000542.3","QGBObyPGBO"
"470","PCDH8","QGBObyPGBO"
"471","AL713866.1","QGBObyPGBO"
"472","AC137695.1","QGBObyPGBO"
"473","LINC01666","QGBObyPGBO"
"474","ATP5MC2P4","QGBObyPGBO"
"475","AC134878.1","QGBObyPGBO"
"476","OR5AS1","QGBObyPGBO"
"477","LINC01659","QGBObyPGBO"
"478","AC005899.6","QGBObyPGBO"
"479","LINC01649","QGBObyPGBO"
"480","AP000542.2","QGBObyPGBO"
"481","AC094104.2","QGBObyPGBO"
"482","LINC02080","QGBObyPGBO"
"483","AC009159.4","QGBObyPGBO"
"484","LNCPRESS1","QGBObyPGBO"
"485","AC015726.2","QGBObyPGBO"
"486","NME2P1","QGBObyPGBO"
"487","AC244452.3","QGBObyPGBO"
"488","OR52I1","QGBObyPGBO"
"489","AC092175.1","QGBObyPGBO"
"490","AC012313.4","QGBObyPGBO"
"491","PCMTD1P1","QGBObyPGBO"
"492","PDZRN3","QGBObyPGBO"
"493","TH","QGBObyPGBO"
