"","Gene","Category"
"1","RNASEK-C17orf49","PSVZbyQSVZ"
"2","C11orf58","PSVZbyQSVZ"
"3","KIAA0391","PSVZbyQSVZ"
"4","C9orf16","PSVZbyQSVZ"
"5","CXorf40A","PSVZbyQSVZ"
"6","C8orf33","PSVZbyQSVZ"
"7","C9orf85","PSVZbyQSVZ"
"8","KIAA1143","PSVZbyQSVZ"
"9","C12orf73","PSVZbyQSVZ"
"10","C2orf40","PSVZbyQSVZ"
"11","C19orf24","PSVZbyQSVZ"
"12","C1orf21","PSVZbyQSVZ"
"13","C19orf44","PSVZbyQSVZ"
"14","C20orf27","PSVZbyQSVZ"
"15","C14orf119","PSVZbyQSVZ"
"16","C11orf98","PSVZbyQSVZ"
"17","CXorf38","PSVZbyQSVZ"
"18","C4orf3","PSVZbyQSVZ"
"19","C9orf64","PSVZbyQSVZ"
"20","C1orf53","PSVZbyQSVZ"
"21","C10orf95","PSVZbyQSVZ"
"22","C6orf226","PSVZbyQSVZ"
"23","C12orf49","PSVZbyQSVZ"
"24","C3orf70","PSVZbyQSVZ"
"25","SMIM30","PSVZbyQSVZ"
"26","C11orf95","PSVZbyQSVZ"
"27","C1orf131","PSVZbyQSVZ"
"28","KIAA1671","PSVZbyQSVZ"
"29","C15orf40","PSVZbyQSVZ"
"30","C7orf50","PSVZbyQSVZ"
"31","C5orf34","PSVZbyQSVZ"
"32","KIAA1191","PSVZbyQSVZ"
"33","C7orf31","PSVZbyQSVZ"
"34","C16orf87","PSVZbyQSVZ"
"35","C18orf54","PSVZbyQSVZ"
"36","C16orf96","PSVZbyQSVZ"
"37","C4orf46","PSVZbyQSVZ"
"38","KIAA1109","PSVZbyQSVZ"
"39","C1orf43","PSVZbyQSVZ"
"40","C1orf216","PSVZbyQSVZ"
"41","C17orf75","PSVZbyQSVZ"
"42","ERMARD","PSVZbyQSVZ"
"43","C8orf76","PSVZbyQSVZ"
"44","C1orf159","PSVZbyQSVZ"
"45","C5orf15","PSVZbyQSVZ"
"46","KIAA0895","PSVZbyQSVZ"
"47","KIAA2026","PSVZbyQSVZ"
"48","C1orf109","PSVZbyQSVZ"
"49","C1orf74","PSVZbyQSVZ"
"50","C1orf174","PSVZbyQSVZ"
"51","AAAS","PSVZbyQSVZ"
"52","AAMP","PSVZbyQSVZ"
"53","AARD","PSVZbyQSVZ"
"54","AARSD1","PSVZbyQSVZ"
"55","AASDH","PSVZbyQSVZ"
"56","AATF","PSVZbyQSVZ"
"57","ABCB7","PSVZbyQSVZ"
"58","ABCC1","PSVZbyQSVZ"
"59","ABCE1","PSVZbyQSVZ"
"60","ABCF1","PSVZbyQSVZ"
"61","ABCF2","PSVZbyQSVZ"
"62","ABHD11","PSVZbyQSVZ"
"63","ABHD13","PSVZbyQSVZ"
"64","ABHD17B","PSVZbyQSVZ"
"65","ABHD17C","PSVZbyQSVZ"
"66","ABHD2","PSVZbyQSVZ"
"67","ABRACL","PSVZbyQSVZ"
"68","ABT1","PSVZbyQSVZ"
"69","ACAD10","PSVZbyQSVZ"
"70","ACAD10","PSVZbyQSVZ"
"71","ACADS","PSVZbyQSVZ"
"72","ACAN","PSVZbyQSVZ"
"73","ACAT1","PSVZbyQSVZ"
"74","ACBD3","PSVZbyQSVZ"
"75","ACBD4","PSVZbyQSVZ"
"76","ACBD6","PSVZbyQSVZ"
"77","ACCS","PSVZbyQSVZ"
"78","ACIN1","PSVZbyQSVZ"
"79","ACKR3","PSVZbyQSVZ"
"80","ACLY","PSVZbyQSVZ"
"81","ACO1","PSVZbyQSVZ"
"82","ACOT1","PSVZbyQSVZ"
"83","ACOT7","PSVZbyQSVZ"
"84","ACSF3","PSVZbyQSVZ"
"85","ACSM3","PSVZbyQSVZ"
"86","ACSM5","PSVZbyQSVZ"
"87","ACTL6A","PSVZbyQSVZ"
"88","ACTR1B","PSVZbyQSVZ"
"89","ACTR2","PSVZbyQSVZ"
"90","ACTR3","PSVZbyQSVZ"
"91","ACTR5","PSVZbyQSVZ"
"92","ACTR6","PSVZbyQSVZ"
"93","ACTR8","PSVZbyQSVZ"
"94","ACVR2B","PSVZbyQSVZ"
"95","ACYP1","PSVZbyQSVZ"
"96","ADA","PSVZbyQSVZ"
"97","ADAM12","PSVZbyQSVZ"
"98","ADAM9","PSVZbyQSVZ"
"99","ADAMTS16","PSVZbyQSVZ"
"100","ADAMTS18","PSVZbyQSVZ"
"101","ADAMTS3","PSVZbyQSVZ"
"102","ADAMTS6","PSVZbyQSVZ"
"103","ADAMTSL1","PSVZbyQSVZ"
"104","ADAT2","PSVZbyQSVZ"
"105","ADCK5","PSVZbyQSVZ"
"106","ADCY3","PSVZbyQSVZ"
"107","ADCY6","PSVZbyQSVZ"
