PSID Gene Module kTotal kWithin kOut kDiff rank
LRRC74A LRRC74A darkgrey 18.8880051891655 7.85999857603401 11.0280066131314 -3.16800803709744 1
AL391095.2 AL391095.2 darkgrey 16.9293320969688 6.24039528162124 10.6889368153476 -4.44854153372636 2
TEX41 TEX41 darkgrey 18.1918217068361 6.09500193396228 12.0968197728738 -6.00181783891157 3
AC012081.1 AC012081.1 darkgrey 19.1399098544309 5.87449887171084 13.26541098272 -7.39091211100918 4
CYP2A13 CYP2A13 darkgrey 16.1872567291214 5.38653698437664 10.8007197447447 -5.41418276036811 5
PLA2G4D PLA2G4D darkgrey 15.726114210441 4.49119990229989 11.2349143081411 -6.74371440584122 6
OVOL2 OVOL2 darkgrey 15.8249635648475 4.4109893456349 11.4139742192126 -7.00298487357768 7
PADI1 PADI1 darkgrey 14.000711473174 3.38174181136778 10.6189696618062 -7.23722785043843 8
CACNG3 CACNG3 darkgrey 13.3112666633884 3.36973281295444 9.94153385043399 -6.57180103747955 9
NR5A1 NR5A1 darkgrey 14.3680518603918 3.3033560289021 11.0646958314897 -7.76133980258764 10
AC084211.1 AC084211.1 darkgrey 13.2692295956428 3.04344124322426 10.2257883524185 -7.18234710919423 11
R3HDML R3HDML darkgrey 16.6844715512568 2.98354108027009 13.7009304709867 -10.7173893907166 12
LINC02520 LINC02520 darkgrey 13.27241053437 2.84734572164404 10.425064812726 -7.57771909108192 13
LINC01076 LINC01076 darkgrey 13.1122884528062 2.67597547194969 10.4363129808565 -7.76033750890685 14
EVPL EVPL darkgrey 13.2258456192695 2.67248955489293 10.5533560643765 -7.88086650948362 15
AL513318.1 AL513318.1 darkgrey 13.1243665847864 2.65002180933878 10.4743447754477 -7.82432296610889 16
LHFPL5 LHFPL5 darkgrey 13.8813422983376 2.61883132769914 11.2625109706384 -8.6436796429393 17
AL117382.1 AL117382.1 darkgrey 18.0616219114207 2.57652325437522 15.4850986570455 -12.9085754026703 18
AC092573.2 AC092573.2 darkgrey 14.9350502367836 2.48520588611255 12.4498443506711 -9.96463846455851 19
CATSPERD CATSPERD darkgrey 15.8448416390188 2.38933823722323 13.4555034017956 -11.0661651645724 20
