PSID Gene Module kTotal kWithin kOut kDiff rank
MICU2 MICU2 grey60 13.2861509059788 2.69214173415999 10.5940091718188 -7.90186743765885 1
MED4 MED4 grey60 12.7808618182146 2.65221003661492 10.1286517815997 -7.47644174498476 2
UFM1 UFM1 grey60 13.1056114235922 2.52021770573644 10.5853937178557 -8.06517601211928 3
MRPS31 MRPS31 grey60 12.3255636135647 2.5096335019126 9.81593011165208 -7.30629660973948 4
WBP4 WBP4 grey60 12.6766923884468 2.46308620458609 10.2136061838607 -7.75051997927464 5
COG3 COG3 grey60 12.9776733623139 2.40454322456662 10.5731301377472 -8.16858691318062 6
GTF2F2 GTF2F2 grey60 12.5436227701288 2.39851415109295 10.1451086190359 -7.74659446794296 7
N4BP2L2 N4BP2L2 grey60 12.3882004153962 2.38956994565357 9.99863046974261 -7.60906052408904 8
DIS3 DIS3 grey60 12.4647591926188 2.33817983409617 10.1265793585227 -7.78839952442648 9
SUPT20H SUPT20H grey60 12.6550372624853 2.32906466009974 10.3259726023855 -7.99690794228578 10
GTF3A GTF3A grey60 12.8373506676996 2.32818047294158 10.509170194758 -8.18098972181639 11
PAN3 PAN3 grey60 12.6868418308189 2.31932667866359 10.3675151521553 -8.04818847349174 12
KPNA3 KPNA3 grey60 12.2080631995041 2.31217248558396 9.89589071392018 -7.58371822833622 13
POMP POMP grey60 12.2462085806898 2.23236505837779 10.013843522312 -7.78147846393423 14
RNF6 RNF6 grey60 12.9128743735143 2.2216201840588 10.6912541894555 -8.4696340053967 15
SPART SPART grey60 12.3554960968379 2.19362847769951 10.1618676191384 -7.96823914143886 16
EXOSC8 EXOSC8 grey60 12.6300446037341 2.16535814852312 10.464686455211 -8.29932830668788 17
PROSER1 PROSER1 grey60 12.6645591641034 2.09780276585912 10.5667563982443 -8.46895363238519 18
UTP14C UTP14C grey60 11.9166678966551 2.07097907373404 9.84568882292102 -7.77470974918698 19
NUP58 NUP58 grey60 11.7995518895688 2.07008670002323 9.72946518954555 -7.65937848952233 20
ALG5 ALG5 grey60 12.8593567437593 2.05857043698437 10.8007863067749 -8.74221586979051 21
NUFIP1 NUFIP1 grey60 12.4002036951685 2.03115013240062 10.3690535627678 -8.33790343036723 22
HMGB1 HMGB1 grey60 12.4328200111449 2.01485612747485 10.4179638836701 -8.40310775619525 23
XPO4 XPO4 grey60 11.9829174867249 2.0003942335781 9.98252325314678 -7.98212901956868 24
ZC3H13 ZC3H13 grey60 12.2781640038039 1.97874335485334 10.2994206489505 -8.32067729409718 25
CDADC1 CDADC1 grey60 11.6274183135195 1.92429028063269 9.70312803288683 -7.77883775225415 26
MTRF1 MTRF1 grey60 11.7706487093656 1.87663385745818 9.89401485190742 -8.01738099444924 27
AKAP11 AKAP11 grey60 11.5887468824043 1.84688386870598 9.7418630136983 -7.89497914499232 28
