"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"A2M",5.86829810669922,4.98960509333655,5.42895160001788,5.42895160001788,5.42895160001788
"ABCA1",0.883930856822668,0.609550138639516,0.746740497731092,0.746740497731092,0.746740497731092
"ABCA4",0.725833312511977,0.504671773705111,0.615252543108544,0.615252543108544,0.615252543108544
"ABCC3",1.53818930650603,1.07561435527821,1.30690183089212,1.30690183089212,1.30690183089212
"ABHD17C",2.82663502319334,2.46655711214788,2.64659606767061,2.64659606767061,2.64659606767061
"ABHD2",2.82237844423312,2.46017466368628,2.6412765539597,2.6412765539597,2.6412765539597
"ABHD4",3.37916651769948,2.91788767018582,3.14852709394265,3.14852709394265,3.14852709394265
"ABTB1",4.18827455565325,3.46699357457257,3.82763406511291,3.82763406511291,3.82763406511291
"AC002069.1",1.40476944327201,0.800697778487732,1.10273361087987,1.10273361087987,1.10273361087987
"AC002069.2",0.538300091450723,0.335927200512389,0.437113645981556,0.437113645981556,0.437113645981556
"AC002384.1",3.95088412791451,3.17250116161924,3.56169264476688,3.56169264476688,3.56169264476688
"AC002451.1",0.843402081771173,0.68232637823985,0.762864230005512,0.762864230005512,0.762864230005512
"AC003084.1",0.698953604929278,0.304116613190707,0.501535109059993,0.501535109059993,0.501535109059993
"AC003965.1",0.964321393120249,0.26882349039214,0.616572441756194,0.616572441756194,0.616572441756194
"AC004233.4",1.3555196207884,0.0968021192287072,0.726160870008555,0.726160870008555,0.726160870008555
"AC004771.3",1.66629259706527,0.916354222507411,1.29132340978634,1.29132340978634,1.29132340978634
"AC004812.2",3.59345585027639,3.18043464975018,3.38694525001329,3.38694525001329,3.38694525001329
"AC004816.1",2.04125781069988,1.62785166787271,1.8345547392863,1.8345547392863,1.8345547392863
"AC004816.2",0.622547645802935,0.261629696963707,0.442088671383321,0.442088671383321,0.442088671383321
"AC004854.1",0.570741917472015,0.0681670970635925,0.319454507267804,0.319454507267804,0.319454507267804
"AC004854.2",2.28821242640195,1.46277068546046,1.8754915559312,1.8754915559312,1.8754915559312
"AC004865.2",1.30942477729599,1.04916447941561,1.1792946283558,1.1792946283558,1.1792946283558
"AC004918.1",2.55625505551683,2.14597080880254,2.35111293215968,2.35111293215968,2.35111293215968
"AC005013.1",1.60997791993199,0.806690628391503,1.20833427416175,1.20833427416175,1.20833427416175
"AC005014.2",1.99037751712919,1.81520325740223,1.90279038726571,1.90279038726571,1.90279038726571
"AC005076.1",2.75867370425409,2.31821864631527,2.53844617528468,2.53844617528468,2.53844617528468
"AC005180.2",0.770140977518917,0.420637463201206,0.595389220360061,0.595389220360061,0.595389220360061
"AC005261.5",5.28753484152464,5.00998365648258,5.14875924900361,5.14875924900361,5.14875924900361
"AC005332.1",2.30595646169355,2.03616173212105,2.1710590969073,2.1710590969073,2.1710590969073
"AC005355.2",2.01005983881377,0.673323138753276,1.34169148878352,1.34169148878352,1.34169148878352
"AC005363.2",1.35135359117535,0.313662809041235,0.832508200108292,0.832508200108292,0.832508200108292
