"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.987318733654887,0.996902942655644,0.996902942655644,0.996902942655644,NA,0,0,0,0
"QGBO",0.987318733654887,1,0.996745365354608,0.996745365354608,0.996745365354608,0,NA,0,0,0
"No_data",0.996902942655644,0.996745365354608,1,1,1,0,0,NA,0,0
"No_data",0.996902942655644,0.996745365354608,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.996902942655644,0.996745365354608,1,1,1,0,0,0,0,NA
