"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.98763064917522,0.996965592964194,0.996965592964194,0.996965592964194,NA,0,0,0,0
"QGBO",0.98763064917522,1,0.996839498667525,0.996839498667525,0.996839498667525,0,NA,0,0,0
"No_data",0.996965592964194,0.996839498667525,1,1,1,0,0,NA,0,0
"No_data",0.996965592964194,0.996839498667525,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.996965592964194,0.996839498667525,1,1,1,0,0,0,0,NA
