"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"A1BG",0.894856437467387,1.03678410890635,0.96582027318687,0.96582027318687,0.96582027318687
"A2M",5.86829810669922,4.98960509333655,5.42895160001788,5.42895160001788,5.42895160001788
"AAAS",4.7635212802837,4.78799942349675,4.77576035189022,4.77576035189022,4.77576035189022
"AACS",1.90591818099303,2.02494639997576,1.96543229048439,1.96543229048439,1.96543229048439
"AADAT",3.36929669550076,3.20809260019968,3.28869464785022,3.28869464785022,3.28869464785022
"AAED1",2.94945214384039,2.92153656164202,2.9354943527412,2.9354943527412,2.9354943527412
"AAGAB",2.54145588928836,2.58679859909373,2.56412724419105,2.56412724419105,2.56412724419105
"AAK1",1.78471846522342,1.70290484696851,1.74381165609596,1.74381165609596,1.74381165609596
"AAMP",4.97988830304509,4.99103091959059,4.98545961131784,4.98545961131784,4.98545961131784
"AAR2",2.90099113090917,2.95174550499868,2.92636831795392,2.92636831795392,2.92636831795392
"AARS",6.20965533063101,5.98663210056973,6.09814371560037,6.09814371560037,6.09814371560037
"AASDH",1.90235483122552,1.84054365159761,1.87144924141156,1.87144924141156,1.87144924141156
"AASDHPPT",1.11774442960435,1.21309472014395,1.16541957487415,1.16541957487415,1.16541957487415
"AASS",2.14941177357362,2.07190922181222,2.11066049769292,2.11066049769292,2.11066049769292
"AATBC",0.861917519717291,0.879905591174218,0.870911555445754,0.870911555445754,0.870911555445754
"AATF",2.44348749694859,2.58935911015933,2.51642330355396,2.51642330355396,2.51642330355396
"AATK",0.67511010475075,0.54486178651916,0.609985945634955,0.609985945634955,0.609985945634955
"ABCA1",0.883930856822668,0.609550138639516,0.746740497731092,0.746740497731092,0.746740497731092
"ABCA2",4.48711683621883,4.26023863753791,4.37367773687837,4.37367773687837,4.37367773687837
"ABCA3",3.28997301991009,3.43317571785378,3.36157436888194,3.36157436888194,3.36157436888194
"ABCA4",0.725833312511977,0.504671773705111,0.615252543108544,0.615252543108544,0.615252543108544
"ABCA7",1.47631764981749,1.38518673123195,1.43075219052472,1.43075219052472,1.43075219052472
"ABCB10",2.83582897078825,2.77322304380208,2.80452600729517,2.80452600729517,2.80452600729517
"ABCB7",1.26985348804266,1.40572787126558,1.33779067965412,1.33779067965412,1.33779067965412
"ABCB8",2.6695441187092,2.70423269556219,2.6868884071357,2.6868884071357,2.6868884071357
"ABCB9",1.85154464721256,2.08436051828785,1.9679525827502,1.9679525827502,1.9679525827502
"ABCC1",2.04509604097543,2.20777337683859,2.12643470890701,2.12643470890701,2.12643470890701
"ABCC10",2.6947785016511,2.6169996277609,2.655889064706,2.655889064706,2.655889064706
"ABCC3",1.53818930650603,1.07561435527821,1.30690183089212,1.30690183089212,1.30690183089212
"ABCC4",0.832018796955336,0.857603441711082,0.844811119333209,0.844811119333209,0.844811119333209
"ABCC5",2.32615661647623,2.35202687779074,2.33909174713348,2.33909174713348,2.33909174713348
"ABCC6P2",1.0592333032808,1.05926640659663,1.05924985493871,1.05924985493871,1.05924985493871
"ABCD1",1.44453274658425,1.56641114047585,1.50547194353005,1.50547194353005,1.50547194353005
"ABCD3",1.83517788818833,1.709426604794,1.77230224649117,1.77230224649117,1.77230224649117
"ABCD4",3.86496564327523,3.70003543067289,3.78250053697406,3.78250053697406,3.78250053697406
"ABCE1",1.7676159251497,1.64484362584742,1.70622977549856,1.70622977549856,1.70622977549856
"ABCF1",4.15927279726365,4.23861067905685,4.19894173816025,4.19894173816025,4.19894173816025
"ABCF2",5.20670579376453,5.33213936074702,5.26942257725577,5.26942257725577,5.26942257725577
"ABCF3",4.52144902099094,4.51378169057764,4.51761535578429,4.51761535578429,4.51761535578429
"ABHD1",1.86910507478691,1.92493620768135,1.89702064123413,1.89702064123413,1.89702064123413
"ABHD10",3.99504679570336,4.16160189822199,4.07832434696268,4.07832434696268,4.07832434696268
"ABHD11",4.5908710377691,4.47179403935299,4.53133253856105,4.53133253856105,4.53133253856105
"ABHD11-AS1",0.780119338812599,0.79869332833931,0.789406333575954,0.789406333575954,0.789406333575954
"ABHD12",1.6600659127868,1.68536358514333,1.67271474896507,1.67271474896507,1.67271474896507
"ABHD13",2.23295832151762,2.06333075838954,2.14814453995358,2.14814453995358,2.14814453995358
"ABHD17A",3.87453855980935,3.50247552630333,3.68850704305634,3.68850704305634,3.68850704305634
"ABHD17B",2.42948341397276,2.32876807830846,2.37912574614061,2.37912574614061,2.37912574614061
"ABHD17C",2.82663502319334,2.46655711214788,2.64659606767061,2.64659606767061,2.64659606767061
"ABHD18",1.27034078089199,1.26966422122411,1.27000250105805,1.27000250105805,1.27000250105805
"ABHD2",2.82237844423312,2.46017466368628,2.6412765539597,2.6412765539597,2.6412765539597
"ABHD3",1.35265781778634,1.24195082134225,1.2973043195643,1.2973043195643,1.2973043195643
"ABHD4",3.37916651769948,2.91788767018582,3.14852709394265,3.14852709394265,3.14852709394265
"ABHD5",1.78032656144576,1.64230532907254,1.71131594525915,1.71131594525915,1.71131594525915
"ABHD6",1.35282721743964,1.26631575192304,1.30957148468134,1.30957148468134,1.30957148468134
