"","PGBO","QGBO"
"A2M",5.86829810669922,4.98960509333655
"ABCA1",0.883930856822668,0.609550138639516
"ABCA4",0.725833312511977,0.504671773705111
"ABCC3",1.53818930650603,1.07561435527821
"ABHD17C",2.82663502319334,2.46655711214788
"ABHD2",2.82237844423312,2.46017466368628
"ABHD4",3.37916651769948,2.91788767018582
"ABTB1",4.18827455565325,3.46699357457257
"AC002069.1",1.40476944327201,0.800697778487732
"AC002069.2",0.538300091450723,0.335927200512389
"AC002384.1",3.95088412791451,3.17250116161924
"AC002451.1",0.843402081771173,0.68232637823985
"AC003084.1",0.698953604929278,0.304116613190707
"AC003965.1",0.964321393120249,0.26882349039214
"AC004233.4",1.3555196207884,0.0968021192287072
"AC004771.3",1.66629259706527,0.916354222507411
"AC004812.2",3.59345585027639,3.18043464975018
"AC004816.1",2.04125781069988,1.62785166787271
"AC004816.2",0.622547645802935,0.261629696963707
"AC004854.1",0.570741917472015,0.0681670970635925
"AC004854.2",2.28821242640195,1.46277068546046
"AC004865.2",1.30942477729599,1.04916447941561
"AC004918.1",2.55625505551683,2.14597080880254
"AC005013.1",1.60997791993199,0.806690628391503
"AC005014.2",1.99037751712919,1.81520325740223
"AC005076.1",2.75867370425409,2.31821864631527
"AC005180.2",0.770140977518917,0.420637463201206
"AC005261.5",5.28753484152464,5.00998365648258
"AC005332.1",2.30595646169355,2.03616173212105
"AC005355.2",2.01005983881377,0.673323138753276
"AC005363.2",1.35135359117535,0.313662809041235
"AC005593.1",1.83837875788678,1.04945442665679
"AC005674.2",2.17958153552056,1.36645909772622
"AC005776.1",1.9432025372269,1.29846468748474
"AC005822.1",1.78080980297921,1.38047437656942
"AC005829.1",0.719876534462635,0.436754344208654
"AC005840.1",0.945390009362312,0.787442456363995
"AC005972.2",0.440260660834895,0.179663714062243
"AC006011.2",0.35557412065076,0.260337281405558
"AC006012.1",1.75538555246335,0.924517434911635
"AC006026.1",0.60675704854346,0.391025235444329
"AC006058.1",3.13667026894649,2.5942597680045
"AC006058.2",1.29274065582516,1.16770035677536
"AC006058.4",3.30776730154353,2.73594545298333
"AC006210.2",1.05166164122108,0.577184304224431
"AC006252.1",1.47431224729794,0.933685272919221
"AC006273.1",2.20044285758305,1.75695132756433
"AC006329.2",0.543433777579435,0.178371681901848
"AC006480.2",2.60423962253812,2.21937459291795
"AC006538.2",0.681178317280092,0.462457072189435
"AC006987.1",0.641293750849729,0.363772050122499
"AC006987.2",1.52321953832203,1.20601750972975
"AC007114.1",1.33401055298456,0.966546606929977
"AC007325.4",0.742559134433618,0.599596837254214
"AC007391.1",0.676281647143401,0.425026061805422
"AC007450.2",1.27700504939282,0.888273291523223
"AC007541.1",2.77830044109483,2.39637683576844
"AC007613.1",0.701959488059942,0.412275490316721
"AC007823.1",3.57902704098427,3.13666015983687
"AC007952.4",0.811939179688656,0.120263809044302
"AC008074.3",1.74917428114406,1.29178825678755
"AC008115.1",2.70617539732541,1.99805584529865
"AC008269.1",0.260448457692182,0.168395880535295
"AC008429.2",0.714371806559957,0.450825543971041
"AC008443.4",1.1352099968636,0.522805161166486
"AC008494.1",0.87251028999077,0.414144381370228
"AC008507.1",2.87142989822331,2.33639368290189
"AC008537.1",1.25340811308489,1.06444891716355
"AC008555.8",2.43522242214662,1.72857280818042
"AC008608.2",2.13051548111035,1.77483300201283
"AC008610.1",2.02783668466094,1.7258599196349
"AC008622.2",1.10226007147916,0.601753883025112
"AC008736.2",0.44408075822245,0.247428599465848
"AC008750.3",1.45854588653551,0.892565951652217
"AC008771.1",2.06579160373343,1.64711263676344
"AC008785.1",1.1054970659192,0.405664694719145
"AC008806.1",0.567864997025362,0.157443781036351
"AC008969.1",3.02094000791882,2.57081955941195
"AC008972.1",0.538226165687825,0.227978268051641
"AC008972.2",2.30488174083204,0.978338232395218
"AC009097.3",0.831784709305325,0.244632111367949
"AC009108.3",1.1912903225401,0.738161475285115
"AC009159.3",0.802123143231851,0.282121001013115
"AC009163.2",0.59692089205382,0.469623037569778
"AC009414.2",3.27127195655482,2.5088887690797
"AC009486.1",3.13373510929821,2.41424494276863
"AC009518.1",2.78098213102887,2.46810121829782
"AC009570.1",1.48043840895534,0.27473995686349
"AC009812.1",2.46683286857321,2.17784463087438
"AC009955.2",1.94755002927861,1.82863504471489
"AC010186.3",4.67166228734871,3.94133996576865
"AC010201.1",3.81886078392692,3.25470450051139
"AC010201.2",4.27060696014814,3.79669939908074
"AC010203.2",0.66351960994763,0.513349223417119
"AC010245.2",2.96807341945808,2.4065251158514
"AC010327.4",0.46739532091949,0.27873765991736
"AC010422.2",1.43064363877549,1.29059083541969
"AC010491.1",1.07608818151119,0.634289581346029
"AC010615.1",2.32188497825726,2.0067706688065
"AC010618.3",1.43922695413774,1.15079381205268
"AC010654.1",1.7089336689939,1.13077913406994
"AC010719.1",2.86299222876559,2.34924721731025
"AC010883.1",1.79184949353039,1.37203913007134
"AC010894.5",0.541168260127887,0.268321157990871
"AC012213.1",1.44238838624687,0.922143959767389
"AC012254.3",0.770669213974283,0.50296157090255
