"","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture","PGBO","QGBO","No_data","No_data","GBM_cells_in_3D_organoid_culture"
"PGBO",1,0.987837154982166,0.997014574841006,0.997014574841006,0.997014574841006,NA,0,0,0,0
"QGBO",0.987837154982166,1,0.996894133995383,0.996894133995383,0.996894133995383,0,NA,0,0,0
"No_data",0.997014574841006,0.996894133995383,1,1,1,0,0,NA,0,0
"No_data",0.997014574841006,0.996894133995383,1,1,1,0,0,0,NA,0
"GBM_cells_in_3D_organoid_culture",0.997014574841006,0.996894133995383,1,1,1,0,0,0,0,NA
