"","PGBO","QGBO"
"A1BG",0.894856437467387,1.03678410890635
"A2M",5.86829810669922,4.98960509333655
"AAAS",4.7635212802837,4.78799942349675
"AACS",1.90591818099303,2.02494639997576
"AADAT",3.36929669550076,3.20809260019968
"AAED1",2.94945214384039,2.92153656164202
"AAGAB",2.54145588928836,2.58679859909373
"AAK1",1.78471846522342,1.70290484696851
"AAMP",4.97988830304509,4.99103091959059
"AAR2",2.90099113090917,2.95174550499868
"AARS",6.20965533063101,5.98663210056973
"AASDH",1.90235483122552,1.84054365159761
"AASDHPPT",1.11774442960435,1.21309472014395
"AASS",2.14941177357362,2.07190922181222
"AATBC",0.861917519717291,0.879905591174218
"AATF",2.44348749694859,2.58935911015933
"AATK",0.67511010475075,0.54486178651916
"ABCA1",0.883930856822668,0.609550138639516
"ABCA2",4.48711683621883,4.26023863753791
"ABCA3",3.28997301991009,3.43317571785378
"ABCA4",0.725833312511977,0.504671773705111
"ABCA7",1.47631764981749,1.38518673123195
"ABCB10",2.83582897078825,2.77322304380208
"ABCB7",1.26985348804266,1.40572787126558
"ABCB8",2.6695441187092,2.70423269556219
"ABCB9",1.85154464721256,2.08436051828785
"ABCC1",2.04509604097543,2.20777337683859
"ABCC10",2.6947785016511,2.6169996277609
"ABCC3",1.53818930650603,1.07561435527821
"ABCC4",0.832018796955336,0.857603441711082
"ABCC5",2.32615661647623,2.35202687779074
"ABCC6P2",1.0592333032808,1.05926640659663
"ABCD1",1.44453274658425,1.56641114047585
"ABCD3",1.83517788818833,1.709426604794
"ABCD4",3.86496564327523,3.70003543067289
"ABCE1",1.7676159251497,1.64484362584742
"ABCF1",4.15927279726365,4.23861067905685
"ABCF2",5.20670579376453,5.33213936074702
"ABCF3",4.52144902099094,4.51378169057764
"ABHD1",1.86910507478691,1.92493620768135
"ABHD10",3.99504679570336,4.16160189822199
"ABHD11",4.5908710377691,4.47179403935299
"ABHD11-AS1",0.780119338812599,0.79869332833931
"ABHD12",1.6600659127868,1.68536358514333
"ABHD13",2.23295832151762,2.06333075838954
"ABHD17A",3.87453855980935,3.50247552630333
"ABHD17B",2.42948341397276,2.32876807830846
"ABHD17C",2.82663502319334,2.46655711214788
"ABHD18",1.27034078089199,1.26966422122411
"ABHD2",2.82237844423312,2.46017466368628
"ABHD3",1.35265781778634,1.24195082134225
"ABHD4",3.37916651769948,2.91788767018582
"ABHD5",1.78032656144576,1.64230532907254
"ABHD6",1.35282721743964,1.26631575192304
"ABI1",1.90624222411862,1.83038059555787
"ABI2",1.32808795171425,1.29476924056963
"ABL1",2.38094506042372,2.32691926591575
"ABL2",2.42196642454297,2.23238966586095
"ABR",2.44504832420909,2.2667787255504
"ABRA",0.689218299808718,0.75141636448989
"ABRACL",2.74316350266938,2.92201983724921
"ABRAXAS2",2.07087787424077,2.16971688500367
"ABT1",4.03963752904518,3.92288769900961
"ABTB1",4.18827455565325,3.46699357457257
"ABTB2",0.718032370131128,0.816331483657742
"AC000068.1",1.39330889899847,1.51994104349022
"AC002056.1",2.64712682248173,2.91015350011842
"AC002069.1",1.40476944327201,0.800697778487732
"AC002069.2",0.538300091450723,0.335927200512389
"AC002310.4",1.81943382813682,1.72764154675317
"AC002347.1",0.946368454305924,1.31577160505905
"AC002384.1",3.95088412791451,3.17250116161924
"AC002451.1",0.843402081771173,0.68232637823985
"AC002451.2",0.908897189515097,1.09465933201614
"AC002454.1",1.6628699343417,1.69356394496295
"AC002467.1",2.77182873627702,2.70717406414518
"AC002504.1",0,0.678619615930092
"AC002519.2",1.01386471660043,0.802332205482916
"AC002524.1",5.18114717951591,5.52122344485558
"AC002540.1",0,0.49315806912692
"AC003002.2",0.707729183224892,0.600325706082551
"AC003005.2",0.466371945350849,0.60313483035018
"AC003084.1",0.698953604929278,0.304116613190707
"AC003092.2",0.245655016401988,0.389320975720894
"AC003101.2",0.216872228857913,0.480019627708291
"AC003102.1",3.86172498953548,3.83210483034749
"AC003682.1",0.660206509029757,0.633547852044303
"AC003965.1",0.964321393120249,0.26882349039214
"AC003986.3",1.22044513725242,1.32393510656921
"AC004012.1",1.01649351562449,1.09283399452461
"AC004023.1",0.266805924766202,0.639305892165518
"AC004069.1",0.597579999295461,1.08266978808216
"AC004076.1",1.31699839117714,1.2839321234088
"AC004080.2",0.958915970205002,0.96499161282871
"AC004080.4",0.310418456802112,0.629600414931176
"AC004112.1",1.13267224651556,1.36887546800865
"AC004130.1",1.82152328679327,2.12118879401144
"AC004156.1",1.42860344490299,1.27684732043858
"AC004221.1",0.897062577765989,0.905554604648744
"AC004233.3",0.839792364012136,0.981264132447411
"AC004233.4",1.3555196207884,0.0968021192287072
"AC004257.1",2.6178809435439,2.50738192982487
"AC004264.2",1.14394285870748,1.13877001718129
"AC004383.1",1.68428668284666,2.06893007208111
"AC004477.1",2.87015251467783,2.68710715528538
"AC004477.3",3.31527993440318,3.50516201530198
"AC004528.1",1.21666621744213,1.03806050917884
"AC004540.1",0.934881963351663,0.993867447923951
"AC004656.1",3.93895600879828,4.00290204605409
"AC004771.3",1.66629259706527,0.916354222507411
"AC004775.1",0.586587259171599,0.359111178270643
"AC004801.6",3.03469483237401,2.82508626693288
"AC004801.7",1.11334797424394,1.22872001957349
"AC004812.2",3.59345585027639,3.18043464975018
"AC004816.1",2.04125781069988,1.62785166787271
"AC004816.2",0.622547645802935,0.261629696963707
"AC004817.3",1.55696347092236,1.50051465043323
"AC004817.4",1.56257610738854,1.90380331434012
"AC004825.2",1.46733675549359,1.46005537012456
"AC004832.6",0.195670369639356,1.12932151084859
"AC004836.1",0.602360776051825,0.678939378199948
"AC004839.1",2.19661739439865,2.20146728327923
"AC004847.1",0,0.637920497673627
"AC004854.1",0.570741917472015,0.0681670970635925
"AC004854.2",2.28821242640195,1.46277068546046
"AC004865.2",1.30942477729599,1.04916447941561
"AC004890.1",2.19903785833892,2.62520225552526
"AC004910.1",0.62965889719561,0.91003507314975
"AC004918.1",2.55625505551683,2.14597080880254
"AC004941.1",0.663740058713189,1.03482313758014
"AC004947.1",0.527816225323076,0.715572410378051
"AC004948.1",0.948125860939769,1.02145691656372
"AC004980.1",1.40173195250303,1.35284810574925
"AC004980.2",2.93026477667306,2.96543739156134
"AC004982.1",1.09050353259606,0.970313331102602
"AC004982.2",0.815597448876829,1.00057845980888
"AC004990.1",0.627262607844542,0.966472989970231
"AC005000.1",3.80160976118002,3.69485364063144
"AC005005.4",0.957168111770913,1.07660689479169
"AC005013.1",1.60997791993199,0.806690628391503
"AC005014.2",1.99037751712919,1.81520325740223
"AC005020.1",0.942196969655661,0.887738654221606
"AC005034.4",1.52867216704941,1.40299290337235
"AC005076.1",2.75867370425409,2.31821864631527
"AC005083.1",0.434003496966061,0.39054276259419
"AC005154.1",2.80809016555139,2.60394252492835
"AC005180.1",0.531668229926102,0.495776627958018
"AC005180.2",0.770140977518917,0.420637463201206
"AC005224.1",1.72856034487022,1.61721320528411
"AC005225.4",2.52620883491098,2.70912109178261
"AC005229.4",3.29368933010749,3.33691192501623
"AC005261.1",6.06701900060874,5.78002515453573
