"","InputCategories","X","UserDefinedCategories","Type","NumOverlap","Pvalues","CorrectedPvalues","Freq"
"1","black",1,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",8,0.339980720620048,1,724
"2","blue",2,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",81,0.0832182860111808,1,7732
"3","brown",3,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,1234
"4","cyan",4,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.940132046342035,1,492
"5","darkgreen",5,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.824032988276623,1,345
"6","darkgrey",6,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",4,0.316950472848895,1,312
"7","darkmagenta",7,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",1,0.810020112904033,1,181
"8","darkolivegreen",8,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,199
"9","darkorange",9,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,303
"10","darkred",10,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,365
"11","darkturquoise",11,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,321
"12","green",12,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",8,0.456873440102827,1,809
"13","greenyellow",13,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",7,0.279984293668682,1,581
"14","grey60",14,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",1,0.979312898502083,1,421
"15","lightcyan",15,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",5,0.456597053443752,1,487
"16","lightgreen",16,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",9,0.0105587114362381,0.401231034577049,394
"17","lightyellow",17,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",6,0.152134318186298,1,394
"18","magenta",18,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",5,0.699129348244667,1,643
"19","midnightblue",19,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",5,0.458358976288028,1,488
"20","orange",20,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,305
"21","paleturquoise",21,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,219
"22","pink",22,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",11,0.0455121231945769,1,673
"23","plum1",23,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.275015938618849,1,113
"24","purple",24,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",3,0.927680796755939,1,629
"25","red",25,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",11,0.0705189662301112,1,727
"26","royalblue",26,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",1,0.970027169982756,1,381
"27","saddlebrown",27,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.648882779578301,1,242
"28","salmon",28,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",5,0.467144237067807,1,493
"29","sienna3",29,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,161
"30","skyblue",30,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,246
"31","skyblue3",31,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,121
"32","steelblue",32,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.630712559890807,1,234
"33","tan",33,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",2,0.941926265240842,1,496
"34","turquoise",34,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",91,0.00808846019366277,0.307361487359185,7969
"35","violet",35,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,204
"36","white",36,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",7,0.00809920448130586,0.307769770289623,249
"37","yellow",37,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",1,0.999835891559795,1,938
"38","yellowgreen",38,"SWIM_StemLike_inGB_Differentiated_State_Hu__","User",0,1,1,121
