"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"HuAgeGBsplit_03","c1_HuAgeGBsplitRnaseq_180__","User",0
"HuAgeGBsplit_03","c1_HuAgeGBsplitRnaseq_26__","User",0
"HuAgeGBsplit_04","c1_HuAgeGBsplitRnaseq_21__","User",0
"HuAgeGBsplit_05","c1_HuAgeGBsplitRnaseq_13__","User",0
"HuAgeGBsplit_05","c1_HuAgeGBsplitRnaseq_450__","User",0
"HuAgeGBsplit_05","c1_HuAgeGBsplitRnaseq_87__","User",0
"HuAgeGBsplit_06","c1_HuAgeGBsplitRnaseq_37__","User",0
"HuAgeGBsplit_08","c1_HuAgeGBsplitRnaseq_1513__","User",0
"HuAgeGBsplit_08","c1_HuAgeGBsplitRnaseq_163__","User",0
"HuAgeGBsplit_08","c1_HuAgeGBsplitRnaseq_24__","User",0
"HuAgeGBsplit_08","c1_HuAgeGBsplitRnaseq_586__","User",0
"HuAgeGBsplit_09","c1_HuAgeGBsplitRnaseq_124__","User",0
"HuAgeGBsplit_09","c1_HuAgeGBsplitRnaseq_20__","User",0
"HuAgeGBsplit_09","c1_HuAgeGBsplitRnaseq_528__","User",0
"HuAgeGBsplit_11","c1_HuAgeGBsplitRnaseq_22__","User",0
"HuAgeGBsplit_16","c1_HuAgeGBsplitRnaseq_1177__","User",0
"HuAgeGBsplit_16","c1_HuAgeGBsplitRnaseq_388__","User",0
"HuAgeGBsplit_16","c1_HuAgeGBsplitRnaseq_71__","User",0
"HuAgeGBsplit_16","c1_HuAgeGBsplitRnaseq_8__","User",0
"HuAgeGBsplit_18","c1_HuAgeGBsplitRnaseq_32__","User",0
"HuAgeGBsplit_19","c1_HuAgeGBsplitRnaseq_43__","User",0
"HuAgeGBsplit_22","c1_HuAgeGBsplitRnaseq_28__","User",0
"HuAgeGBsplit_20","c1_HuAgeGBsplitRnaseq_10__","User",7.38082197994009e-317
"HuAgeGBsplit_15","c1_HuAgeGBsplitRnaseq_29__","User",8.89325455782851e-311
"HuAgeGBsplit_07","c1_HuAgeGBsplitRnaseq_36__","User",5.54961407351489e-306
"HuAgeGBsplit_29","c1_HuAgeGBsplitRnaseq_501__","User",1.73321129568733e-290
"HuAgeGBsplit_12","c1_HuAgeGBsplitRnaseq_59__","User",4.11374976268237e-284
"HuAgeGBsplit_21","c1_HuAgeGBsplitRnaseq_65__","User",1.71424653465078e-278
"HuAgeGBsplit_21","c1_HuAgeGBsplitRnaseq_343__","User",3.65300711508869e-274
"HuAgeGBsplit_29","c1_HuAgeGBsplitRnaseq_100__","User",2.46776865622629e-266
"HuAgeGBsplit_09","c1_HuAgeGBsplitRnaseq_1421__","User",9.94117155534063e-264
"HuAgeGBsplit_24","c1_HuAgeGBsplitRnaseq_475__","User",4.53786071653057e-260
"HuAgeGBsplit_24","c1_HuAgeGBsplitRnaseq_95__","User",2.14949480246472e-255
"HuAgeGBsplit_28","c1_HuAgeGBsplitRnaseq_90__","User",4.99996244165963e-255
"HuAgeGBsplit_22","c1_HuAgeGBsplitRnaseq_185__","User",7.51980276177835e-246
"HuAgeGBsplit_24","c1_HuAgeGBsplitRnaseq_1364__","User",3.99951765294679e-243
"HuAgeGBsplit_29","c1_HuAgeGBsplitRnaseq_17__","User",1.23350382489322e-239
"HuAgeGBsplit_05","c1_HuAgeGBsplitRnaseq_1293__","User",4.2294947293285e-233
"HuAgeGBsplit_21","c1_HuAgeGBsplitRnaseq_1047__","User",6.26526230214972e-224
"HuAgeGBsplit_13","c1_HuAgeGBsplitRnaseq_294__","User",1.09070341317179e-222
"HuAgeGBsplit_21","c1_HuAgeGBsplitRnaseq_6__","User",1.93236683677877e-222
"HuAgeGBsplit_29","c1_HuAgeGBsplitRnaseq_1398__","User",7.22498953590544e-222
"HuAgeGBsplit_03","c1_HuAgeGBsplitRnaseq_628__","User",1.23616968378357e-220
"HuAgeGBsplit_26","c1_HuAgeGBsplitRnaseq_98__","User",6.29250113557259e-215
"HuAgeGBsplit_28","c1_HuAgeGBsplitRnaseq_459__","User",1.00338013972207e-214
