"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_395__"
"1","AC025578.1"
"2","AC026741.1"
"3","AC068305.2"
"4","AC073342.3"
"5","AC073387.2"
"6","AC079341.2"
"7","AC083805.3"
"8","AC091953.2"
"9","AC093536.2"
"10","AC106872.10"
"11","AC136632.2"
"12","AC245047.3"
"13","ACER2"
"14","ADH1B"
"15","ADI1P2"
"16","AGAP10P"
"17","AGAP7P"
"18","AL121985.3"
"19","AL133163.3"
"20","AL136099.1"
"21","AL158206.1"
"22","AL354928.1"
"23","AL391903.3"
"24","AL590240.4"
"25","AP003062.1"
"26","BMP6"
"27","CDKN1B"
"28","CR383656.3"
"29","CYP4A26P"
"30","DNAJA1P1"
"31","FRMD4B"
"32","HMGB3P11"
"33","INSM2"
"34","KRT8P1"
"35","MTND1P28"
"36","MYBPC3"
"37","MYRF"
"38","OR10T1P"
"39","PLD1"
"40","PRKG2"
"41","RN7SL43P"
"42","RNA5SP214"
"43","RNA5SP326"
"44","RNA5SP495"
"45","RPS11P1"
"46","RPS29P30"
"47","TRAF6P1"
"48","TRAV15"
"49","TRBV13"
