"","Var1","Freq"
"1","c1_HuAgeGBsplitRnaseq_10",1407
"2","c1_HuAgeGBsplitRnaseq_100",455
"3","c1_HuAgeGBsplitRnaseq_101",167
"4","c1_HuAgeGBsplitRnaseq_103",125
"5","c1_HuAgeGBsplitRnaseq_1032",117
"6","c1_HuAgeGBsplitRnaseq_1047",286
"7","c1_HuAgeGBsplitRnaseq_105",160
"8","c1_HuAgeGBsplitRnaseq_106",183
"9","c1_HuAgeGBsplitRnaseq_107",119
"10","c1_HuAgeGBsplitRnaseq_1081",100
"11","c1_HuAgeGBsplitRnaseq_11",1070
"12","c1_HuAgeGBsplitRnaseq_1105",204
"13","c1_HuAgeGBsplitRnaseq_1106",179
"14","c1_HuAgeGBsplitRnaseq_1114",304
"15","c1_HuAgeGBsplitRnaseq_1118",152
"16","c1_HuAgeGBsplitRnaseq_1129",121
"17","c1_HuAgeGBsplitRnaseq_1132",106
"18","c1_HuAgeGBsplitRnaseq_1147",105
"19","c1_HuAgeGBsplitRnaseq_1177",339
"20","c1_HuAgeGBsplitRnaseq_1195",136
"21","c1_HuAgeGBsplitRnaseq_12",443
"22","c1_HuAgeGBsplitRnaseq_1211",126
"23","c1_HuAgeGBsplitRnaseq_124",612
"24","c1_HuAgeGBsplitRnaseq_1245",132
"25","c1_HuAgeGBsplitRnaseq_1247",108
"26","c1_HuAgeGBsplitRnaseq_125",105
"27","c1_HuAgeGBsplitRnaseq_128",101
"28","c1_HuAgeGBsplitRnaseq_1293",303
"29","c1_HuAgeGBsplitRnaseq_1297",129
"30","c1_HuAgeGBsplitRnaseq_13",1483
"31","c1_HuAgeGBsplitRnaseq_130",108
"32","c1_HuAgeGBsplitRnaseq_1353",106
"33","c1_HuAgeGBsplitRnaseq_1359",134
"34","c1_HuAgeGBsplitRnaseq_1364",234
"35","c1_HuAgeGBsplitRnaseq_1398",217
"36","c1_HuAgeGBsplitRnaseq_14",447
"37","c1_HuAgeGBsplitRnaseq_1417",140
"38","c1_HuAgeGBsplitRnaseq_1421",255
"39","c1_HuAgeGBsplitRnaseq_15",907
"40","c1_HuAgeGBsplitRnaseq_151",155
"41","c1_HuAgeGBsplitRnaseq_1513",288
"42","c1_HuAgeGBsplitRnaseq_153",110
"43","c1_HuAgeGBsplitRnaseq_155",126
"44","c1_HuAgeGBsplitRnaseq_156",196
"45","c1_HuAgeGBsplitRnaseq_158",147
"46","c1_HuAgeGBsplitRnaseq_159",125
"47","c1_HuAgeGBsplitRnaseq_1590",136
"48","c1_HuAgeGBsplitRnaseq_16",799
"49","c1_HuAgeGBsplitRnaseq_160",180
"50","c1_HuAgeGBsplitRnaseq_161",137
"51","c1_HuAgeGBsplitRnaseq_1614",123
"52","c1_HuAgeGBsplitRnaseq_162",160
"53","c1_HuAgeGBsplitRnaseq_163",412
"54","c1_HuAgeGBsplitRnaseq_164",119
"55","c1_HuAgeGBsplitRnaseq_17",622
"56","c1_HuAgeGBsplitRnaseq_174",268
"57","c1_HuAgeGBsplitRnaseq_175",217
"58","c1_HuAgeGBsplitRnaseq_178",117
"59","c1_HuAgeGBsplitRnaseq_179",227
"60","c1_HuAgeGBsplitRnaseq_18",571
"61","c1_HuAgeGBsplitRnaseq_180",1182
"62","c1_HuAgeGBsplitRnaseq_181",100
"63","c1_HuAgeGBsplitRnaseq_185",208
"64","c1_HuAgeGBsplitRnaseq_186",383
"65","c1_HuAgeGBsplitRnaseq_188",500
"66","c1_HuAgeGBsplitRnaseq_189",162
"67","c1_HuAgeGBsplitRnaseq_1895",100
"68","c1_HuAgeGBsplitRnaseq_19",517
"69","c1_HuAgeGBsplitRnaseq_1905",254
"70","c1_HuAgeGBsplitRnaseq_191",223
"71","c1_HuAgeGBsplitRnaseq_192",166
"72","c1_HuAgeGBsplitRnaseq_193",133
"73","c1_HuAgeGBsplitRnaseq_1954",129
"74","c1_HuAgeGBsplitRnaseq_1955",132
"75","c1_HuAgeGBsplitRnaseq_20",719
"76","c1_HuAgeGBsplitRnaseq_2024",184
"77","c1_HuAgeGBsplitRnaseq_2034",102
"78","c1_HuAgeGBsplitRnaseq_21",875
"79","c1_HuAgeGBsplitRnaseq_2103",185
"80","c1_HuAgeGBsplitRnaseq_212",140
"81","c1_HuAgeGBsplitRnaseq_214",162
"82","c1_HuAgeGBsplitRnaseq_215",190
"83","c1_HuAgeGBsplitRnaseq_217",159
"84","c1_HuAgeGBsplitRnaseq_2184",114
"85","c1_HuAgeGBsplitRnaseq_22",899
"86","c1_HuAgeGBsplitRnaseq_223",323
"87","c1_HuAgeGBsplitRnaseq_228",105
"88","c1_HuAgeGBsplitRnaseq_23",602
"89","c1_HuAgeGBsplitRnaseq_24",708
"90","c1_HuAgeGBsplitRnaseq_2436",159
"91","c1_HuAgeGBsplitRnaseq_25",704
"92","c1_HuAgeGBsplitRnaseq_253",143
"93","c1_HuAgeGBsplitRnaseq_254",148
"94","c1_HuAgeGBsplitRnaseq_26",1409
"95","c1_HuAgeGBsplitRnaseq_27",223
"96","c1_HuAgeGBsplitRnaseq_277",147
"97","c1_HuAgeGBsplitRnaseq_28",293
"98","c1_HuAgeGBsplitRnaseq_287",134
"99","c1_HuAgeGBsplitRnaseq_29",479
"100","c1_HuAgeGBsplitRnaseq_291",177
"101","c1_HuAgeGBsplitRnaseq_292",201
"102","c1_HuAgeGBsplitRnaseq_293",141
"103","c1_HuAgeGBsplitRnaseq_294",228
"104","c1_HuAgeGBsplitRnaseq_295",111
"105","c1_HuAgeGBsplitRnaseq_30",663
"106","c1_HuAgeGBsplitRnaseq_303",127
"107","c1_HuAgeGBsplitRnaseq_305",221
"108","c1_HuAgeGBsplitRnaseq_306",221
"109","c1_HuAgeGBsplitRnaseq_31",259
"110","c1_HuAgeGBsplitRnaseq_32",302
"111","c1_HuAgeGBsplitRnaseq_329",218
"112","c1_HuAgeGBsplitRnaseq_33",345
"113","c1_HuAgeGBsplitRnaseq_331",143
"114","c1_HuAgeGBsplitRnaseq_332",192
"115","c1_HuAgeGBsplitRnaseq_338",207
"116","c1_HuAgeGBsplitRnaseq_339",167
"117","c1_HuAgeGBsplitRnaseq_34",256
"118","c1_HuAgeGBsplitRnaseq_341",126
"119","c1_HuAgeGBsplitRnaseq_342",106
"120","c1_HuAgeGBsplitRnaseq_343",567
"121","c1_HuAgeGBsplitRnaseq_349",110
"122","c1_HuAgeGBsplitRnaseq_35",267
"123","c1_HuAgeGBsplitRnaseq_352",198
"124","c1_HuAgeGBsplitRnaseq_356",113
"125","c1_HuAgeGBsplitRnaseq_358",101
"126","c1_HuAgeGBsplitRnaseq_36",353
"127","c1_HuAgeGBsplitRnaseq_360",487
"128","c1_HuAgeGBsplitRnaseq_361",105
"129","c1_HuAgeGBsplitRnaseq_362",338
"130","c1_HuAgeGBsplitRnaseq_364",347
"131","c1_HuAgeGBsplitRnaseq_367",138
"132","c1_HuAgeGBsplitRnaseq_368",124
"133","c1_HuAgeGBsplitRnaseq_37",421
"134","c1_HuAgeGBsplitRnaseq_372",157
"135","c1_HuAgeGBsplitRnaseq_38",528
"136","c1_HuAgeGBsplitRnaseq_384",144
"137","c1_HuAgeGBsplitRnaseq_388",389
"138","c1_HuAgeGBsplitRnaseq_39",257
"139","c1_HuAgeGBsplitRnaseq_395",198
"140","c1_HuAgeGBsplitRnaseq_398",280
"141","c1_HuAgeGBsplitRnaseq_40",127
"142","c1_HuAgeGBsplitRnaseq_405",108
"143","c1_HuAgeGBsplitRnaseq_408",205
"144","c1_HuAgeGBsplitRnaseq_41",175
"145","c1_HuAgeGBsplitRnaseq_411",124
"146","c1_HuAgeGBsplitRnaseq_42",201
"147","c1_HuAgeGBsplitRnaseq_428",166
"148","c1_HuAgeGBsplitRnaseq_43",293
"149","c1_HuAgeGBsplitRnaseq_44",110
"150","c1_HuAgeGBsplitRnaseq_440",838
"151","c1_HuAgeGBsplitRnaseq_446",204
"152","c1_HuAgeGBsplitRnaseq_45",260
"153","c1_HuAgeGBsplitRnaseq_450",969
"154","c1_HuAgeGBsplitRnaseq_451",145
"155","c1_HuAgeGBsplitRnaseq_456",114
"156","c1_HuAgeGBsplitRnaseq_459",122
"157","c1_HuAgeGBsplitRnaseq_46",152
"158","c1_HuAgeGBsplitRnaseq_47",150
"159","c1_HuAgeGBsplitRnaseq_470",111
"160","c1_HuAgeGBsplitRnaseq_473",170
"161","c1_HuAgeGBsplitRnaseq_475",307
"162","c1_HuAgeGBsplitRnaseq_477",157
"163","c1_HuAgeGBsplitRnaseq_48",241
"164","c1_HuAgeGBsplitRnaseq_49",202
"165","c1_HuAgeGBsplitRnaseq_5",804
"166","c1_HuAgeGBsplitRnaseq_50",194
"167","c1_HuAgeGBsplitRnaseq_501",320
"168","c1_HuAgeGBsplitRnaseq_51",182
"169","c1_HuAgeGBsplitRnaseq_515",115
"170","c1_HuAgeGBsplitRnaseq_518",151
"171","c1_HuAgeGBsplitRnaseq_52",106
"172","c1_HuAgeGBsplitRnaseq_528",484
"173","c1_HuAgeGBsplitRnaseq_53",519
"174","c1_HuAgeGBsplitRnaseq_54",405
"175","c1_HuAgeGBsplitRnaseq_55",215
"176","c1_HuAgeGBsplitRnaseq_553",105
"177","c1_HuAgeGBsplitRnaseq_56",164
"178","c1_HuAgeGBsplitRnaseq_57",524
"179","c1_HuAgeGBsplitRnaseq_576",108
"180","c1_HuAgeGBsplitRnaseq_58",228
"181","c1_HuAgeGBsplitRnaseq_583",130
"182","c1_HuAgeGBsplitRnaseq_586",308
"183","c1_HuAgeGBsplitRnaseq_59",224
"184","c1_HuAgeGBsplitRnaseq_597",131
"185","c1_HuAgeGBsplitRnaseq_6",1385
"186","c1_HuAgeGBsplitRnaseq_60",340
"187","c1_HuAgeGBsplitRnaseq_605",101
"188","c1_HuAgeGBsplitRnaseq_61",335
"189","c1_HuAgeGBsplitRnaseq_62",156
"190","c1_HuAgeGBsplitRnaseq_622",155
"191","c1_HuAgeGBsplitRnaseq_628",271
"192","c1_HuAgeGBsplitRnaseq_63",150
"193","c1_HuAgeGBsplitRnaseq_64",654
"194","c1_HuAgeGBsplitRnaseq_65",830
"195","c1_HuAgeGBsplitRnaseq_66",128
"196","c1_HuAgeGBsplitRnaseq_67",269
"197","c1_HuAgeGBsplitRnaseq_675",144
"198","c1_HuAgeGBsplitRnaseq_68",157
"199","c1_HuAgeGBsplitRnaseq_681",141
"200","c1_HuAgeGBsplitRnaseq_690",150
"201","c1_HuAgeGBsplitRnaseq_691",208
"202","c1_HuAgeGBsplitRnaseq_70",170
"203","c1_HuAgeGBsplitRnaseq_704",133
"204","c1_HuAgeGBsplitRnaseq_71",487
"205","c1_HuAgeGBsplitRnaseq_73",298
"206","c1_HuAgeGBsplitRnaseq_74",569
"207","c1_HuAgeGBsplitRnaseq_75",176
"208","c1_HuAgeGBsplitRnaseq_757",111
"209","c1_HuAgeGBsplitRnaseq_76",256
"210","c1_HuAgeGBsplitRnaseq_764",116
"211","c1_HuAgeGBsplitRnaseq_77",259
"212","c1_HuAgeGBsplitRnaseq_776",122
"213","c1_HuAgeGBsplitRnaseq_78",144
"214","c1_HuAgeGBsplitRnaseq_79",180
"215","c1_HuAgeGBsplitRnaseq_8",582
"216","c1_HuAgeGBsplitRnaseq_80",223
"217","c1_HuAgeGBsplitRnaseq_82",101
"218","c1_HuAgeGBsplitRnaseq_83",930
