"","HuAgeGBsplit_30....c1_HuAgeGBsplitRnaseq_291__"
"1","AC015936.1"
"2","AC099850.2"
"3","ARHGAP11A"
"4","ARHGEF39"
"5","ASF1B"
"6","ASPM"
"7","AUNIP"
"8","AURKA"
"9","AURKB"
"10","BIRC5"
"11","BUB1"
"12","BUB1B"
"13","C17orf53"
"14","CCNA2"
"15","CCNB1"
"16","CCNB2"
"17","CDC20"
"18","CDC25C"
"19","CDCA2"
"20","CDCA5"
"21","CDCA8"
"22","CDK1"
"23","CDT1"
"24","CENPE"
"25","CENPF"
"26","CENPI"
"27","CENPW"
"28","CEP55"
"29","CIP2A"
"30","CKAP2L"
"31","CLSPN"
"32","DEPDC1"
"33","DEPDC1B"
"34","DLGAP5"
"35","E2F1"
"36","E2F2"
"37","ECT2"
"38","ESCO2"
"39","ESPL1"
"40","FANCI"
"41","GAS2L3"
"42","GINS1"
"43","GINS2"
"44","HJURP"
"45","HMGB2"
"46","HMMR"
"47","IQGAP3"
"48","KIF11"
"49","KIF14"
"50","KIF15"
"51","KIF18A"
"52","KIF18B"
"53","KIF20A"
"54","KIF20B"
"55","KIF23"
"56","KIF2C"
"57","KIF4A"
"58","KIFC1"
"59","KNL1"
"60","MAD2L1"
"61","MELK"
"62","MKI67"
"63","MND1"
"64","MTFR2"
"65","MXD3"
"66","MYBL2"
"67","NCAPG"
"68","NCAPH"
"69","NDC80"
"70","NEIL3"
"71","NEK2"
"72","NUF2"
"73","NUSAP1"
"74","ORC1"
"75","ORC6"
"76","PBK"
"77","PIF1"
"78","PIMREG"
"79","PKMYT1"
"80","PLK1"
"81","PLK4"
"82","POLQ"
"83","PRR11"
"84","PTTG1"
"85","RACGAP1"
"86","RAD54L"
"87","RTKN2"
"88","SGO2"
"89","SHCBP1"
"90","SKA1"
"91","SKA3"
"92","SPC24"
"93","SPC25"
"94","STIL"
"95","TK1"
"96","TOP2A"
"97","TPX2"
"98","TROAP"
"99","TTK"
"100","UBE2C"
"101","UBE2T"
"102","ZGRF1"
"103","ZWILCH"
"104","ZWINT"
