"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_1293__"
"1","AC005740.1"
"2","AC009065.4"
"3","AC068987.1"
"4","AC079193.1"
"5","AC093775.1"
"6","AC097103.2"
"7","AC105760.2"
"8","AL023973.1"
"9","AL135999.3"
"10","AL355480.1"
"11","AL356580.1"
"12","AL359382.1"
"13","ASS1P10"
"14","CYP4F34P"
"15","EEF1A1P13"
"16","EML2"
"17","FOXP1"
"18","GOLGA8M"
"19","KCNJ6"
"20","LINC02347"
"21","MBL3P"
"22","MCF2L2"
"23","MTRNR2L12"
"24","NDUFA5P6"
"25","PKMP5"
"26","PLPPR4"
"27","TMCO4"
"28","TMEM177"
"29","ZNF877P"
