"","HuAgeGBsplit_03....c1_HuAgeGBsplitRnaseq_5__"
"1","ABBA01006766.1"
"2","AC007064.3"
"3","AC021504.1"
"4","AC026954.1"
"5","AC068587.1"
"6","AC073873.1"
"7","AC087664.3"
"8","AC090897.1"
"9","AC093084.1"
"10","AC097486.1"
"11","AC100770.1"
"12","AC104027.1"
"13","AC110048.1"
"14","AC115115.1"
"15","ADAMTS20"
"16","ADH5P4"
"17","AL035246.1"
"18","AL133351.4"
"19","AL592436.1"
"20","ALDOAP1"
"21","AP001269.2"
"22","AP002992.1"
"23","ASH2LP3"
"24","ATP6V1G1P3"
"25","BTG4P1"
"26","F11"
"27","GLUD1P4"
"28","HSP90AA2P"
"29","LINC01323"
"30","MIR3159"
"31","NPVF"
"32","OR5M7P"
"33","PHB2P1"
"34","PMM2P1"
"35","PPIAP55"
"36","RFC3P1"
"37","RNY1P8"
"38","RPL23AP61"
"39","RPS23P2"
"40","RSL24D1P1"
"41","SMIM23"
"42","SUMO2P4"
"43","TLL1"
"44","YAP1P1"
