"","HuAgeGBsplit_01....c1_HuAgeGBsplitRnaseq_64__"
"1","ABCA7"
"2","AC007993.2"
"3","AC008154.2"
"4","AC008494.2"
"5","AC009159.4"
"6","AC010329.2"
"7","AC010329.5"
"8","AC011840.3"
"9","AC013391.2"
"10","AC013410.2"
"11","AC016957.2"
"12","AC018553.1"
"13","AC018553.2"
"14","AC021231.2"
"15","AC022182.1"
"16","AC022182.2"
"17","AC022868.1"
"18","AC025035.1"
"19","AC026471.5"
"20","AC044792.1"
"21","AC066615.1"
"22","AC068587.4"
"23","AC068831.1"
"24","AC074286.1"
"25","AC079140.3"
"26","AC079140.5"
"27","AC079779.2"
"28","AC083964.2"
"29","AC087385.3"
"30","AC091305.1"
"31","AC091588.3"
"32","AC092162.2"
"33","AC092162.3"
"34","AC092375.2"
"35","AC092470.1"
"36","AC092807.1"
"37","AC099513.1"
"38","AC100843.2"
"39","AC105177.1"
"40","AC105233.4"
"41","AC106738.1"
"42","AC106748.1"
"43","AC106900.1"
"44","AC108475.1"
"45","AC114781.5"
"46","AC120498.4"
"47","AC124945.1"
"48","AC125807.1"
"49","AC126177.4"
"50","AC126177.8"
"51","AC126755.2"
"52","AC133134.1"
"53","AC134043.1"
"54","AC233296.1"
"55","AC243829.1"
"56","AC244255.1"
"57","AC253536.4"
"58","AF228730.5"
"59","AF274858.1"
"60","AHCYP2"
"61","AL110118.1"
"62","AL121782.1"
"63","AL121790.2"
"64","AL132657.1"
"65","AL137026.1"
"66","AL161637.1"
"67","AL353572.2"
"68","AL355076.3"
"69","AL355877.1"
"70","AL391497.1"
"71","AL450063.1"
"72","AL451054.2"
"73","AL589843.1"
"74","AL589843.2"
"75","AL591926.3"
"76","AL591926.5"
"77","AL935212.1"
"78","ALKAL2"
"79","ALPK3"
"80","AP000770.2"
"81","AP002371.1"
"82","AP002954.1"
"83","AP005403.1"
"84","ARL14EPL"
"85","C1orf228"
"86","CBX1P4"
"87","CCT2"
"88","CDC14A"
"89","CDK15"
"90","CDKAL1"
"91","CLVS2"
"92","CRNDE"
"93","CRYGA"
"94","DNAJC10"
"95","FABP7"
"96","FAM90A28P"
"97","FO624990.1"
"98","GNAI2P1"
"99","GTSCR1"
"100","HIST1H1PS2"
"101","HMGB3P16"
"102","IFNWP2"
"103","IGF2BP3"
"104","IGLC6"
"105","IRX3"
"106","IRX5"
"107","KRT16P2"
"108","LINC00654"
"109","LINC00658"
"110","LINC00958"
"111","LINC01389"
"112","LINC01481"
"113","LINC01849"
"114","MALINC1"
"115","MAN1A2P1"
"116","MBOAT1"
"117","METTL21A"
"118","MIR552"
"119","MIR7153"
"120","MTCO1P17"
"121","MTND1P3"
"122","NPIPA8"
"123","NPM1P39"
"124","NUDT7"
"125","NXT2"
"126","OR7E53P"
"127","PPY"
"128","PSMC1P5"
"129","PTP4A2P1"
"130","RF00002"
"131","RN7SKP123"
"132","RN7SKP185"
"133","RN7SL18P"
"134","RN7SL322P"
"135","RN7SL338P"
"136","RN7SL384P"
"137","RNA5SP41"
"138","RNA5SP431"
"139","RNY4P30"
"140","RPL10P14"
"141","RPL18AP15"
"142","RPL21P3"
"143","RPL22P12"
"144","RPL27AP"
"145","RPL7P6"
"146","RPS16P8"
"147","RPS29P4"
"148","RRN3P1"
"149","SKOR2"
"150","SLC25A6P1"
"151","SLC46A2"
"152","SYF2P2"
"153","TBC1D3E"
"154","TIMM8BP2"
"155","TLX1"
"156","TMEM184A"
"157","TMEM196"
"158","TNFRSF1A"
"159","TPRKBP1"
"160","TRAJ24"
"161","TREML5P"
"162","TSPAN1"
"163","UBBP3"
"164","UTS2"
"165","VAT1L"
"166","VCX3A"
"167","VCX3B"
"168","VHLL"
"169","YBX3"
"170","ZNF732"
"171","ZNF876P"
