"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_42__"
"1","AC018647.1"
"2","AC018648.1"
"3","AC079089.1"
"4","AC079089.2"
"5","AC093157.1"
"6","AKIRIN1"
"7","ARL4A"
"8","ARL6"
"9","BOLA2P3"
"10","BZW2"
"11","CACNG4"
"12","DPY19L1"
"13","DRP2"
"14","GLI3"
"15","HNRNPA2B1"
"16","HNRNPR"
"17","IGFBP6"
"18","ITGB8"
"19","LYPD6"
"20","PHGDH"
"21","PNRC2"
"22","PSMA5"
"23","PYCR1"
"24","RNA5SP530"
"25","SARS"
"26","SFPQ"
"27","SLC22A23"
"28","SLC29A4"
"29","SRSF10"
"30","SULT1C4"
"31","TMEM35A"
"32","TSPAN13"
"33","YARS"
