"","HuAgeGBsplit_01....c1_HuAgeGBsplitRnaseq_690__"
"1","AC093909.1"
"2","AC093909.6"
"3","AC104113.1"
"4","AGPAT4"
"5","AL358852.1"
"6","AL445307.1"
"7","AL589666.1"
"8","ALDH8A1"
"9","ALG1L8P"
"10","BCLAF1"
"11","CAHM"
"12","CAPZB"
"13","CCDC28A"
"14","CSRNP3"
"15","DYNLT1"
"16","ECHDC1"
"17","ERMARD"
"18","FAXC"
"19","FBXO30"
"20","FBXO5"
"21","FOXO3"
"22","GINM1"
"23","GTF2H5"
"24","HBS1L"
"25","HDDC2"
"26","HEBP2"
"27","HINT3"
"28","HSF2"
"29","IGF2R"
"30","KATNA1"
"31","KIF13B"
"32","KPNA5"
"33","LATS1"
"34","LINC02285"
"35","LMBRD1"
"36","LTV1"
"37","MED23"
"38","MOSPD2"
"39","MPC1"
"40","MRPL18"
"41","NHSL1"
"42","NUP43"
"43","NUS1"
"44","PCMT1"
"45","PDCD2"
"46","PEX3"
"47","PEX7"
"48","PPIL4"
"49","PRR18"
"50","PSMB1"
"51","QKI"
"52","REPS1"
"53","RF00410"
"54","RMND1"
"55","RNF146"
"56","RPS18P9"
"57","RSPH3"
"58","RWDD1"
"59","SCAF8"
"60","SERAC1"
"61","SERINC1"
"62","SF3B5"
"63","SFT2D1"
"64","SHPRH"
"65","SMPD2"
"66","SNX3"
"67","STX12"
"68","STX7"
"69","TAB2"
"70","TBP"
"71","TBPL1"
"72","TCP1"
"73","TFB1M"
"74","TMEM181"
"75","TMEM242"
"76","TMEM255A"
"77","TMEM30A"
"78","TSPYL4"
"79","VSTM2L"
"80","VTA1"
"81","Z99129.4"
"82","ZBTB2"
"83","ZDHHC14"
"84","ZUFSP"
