"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_14__"
"1","AC007387.1"
"2","AC011477.3"
"3","AC011477.6"
"4","AC011477.7"
"5","AC016397.2"
"6","AC018688.1"
"7","AC023983.2"
"8","AC024603.1"
"9","AC025259.2"
"10","AC027369.1"
"11","AC048382.5"
"12","AC073539.7"
"13","AC097532.2"
"14","AC107398.3"
"15","AC126474.1"
"16","AC136475.1"
"17","AC136475.9"
"18","AC242376.2"
"19","ADCY1"
"20","AL031281.2"
"21","AL137025.1"
"22","AL139247.1"
"23","AL159169.1"
"24","AL353997.5"
"25","AL359852.1"
"26","AL590617.2"
"27","AL807761.1"
"28","AP002754.1"
"29","ARHGAP22"
"30","BNIP3P30"
"31","CBX1"
"32","CNTN1"
"33","ELK4"
"34","EXOC2"
"35","FAM201B"
"36","FIGN"
"37","FLNB"
"38","FNDC4"
"39","FRG1BP"
"40","FUBP1"
"41","GABRB1"
"42","GCKR"
"43","HNRNPLP1"
"44","HTR2A"
"45","ICK"
"46","IFT172"
"47","KLHL17"
"48","LINC01342"
"49","LINC01597"
"50","LINC01785"
"51","LINC02580"
"52","LRRK2"
"53","MIR4674"
"54","MIR516A2"
"55","MLLT10P1"
"56","MRPS18CP4"
"57","MUC4"
"58","NFASC"
"59","NR3C2"
"60","OSBPL1A"
"61","PGGHG"
"62","PLEKHA6"
"63","PLPPR1"
"64","PRICKLE1"
"65","RAMP1"
"66","RNA5SP75"
"67","RPL34P34"
"68","S100A13"
"69","SOHLH2"
"70","SOX13"
"71","SPATA20"
"72","TDGF1P2"
"73","TMCC2"
"74","TMEM154"
"75","TMEM81"
"76","TRMT112P7"
"77","VN1R85P"
"78","ZDHHC15"
"79","ZNF208"
"80","ZNF439"
"81","ZNF676"
"82","ZNF708"
"83","ZNF714"
