"","HuAgeGBsplit_10....c1_HuAgeGBsplitRnaseq_776__"
"1","AGPAT2"
"2","BTF3"
"3","C6orf48"
"4","CAMLG"
"5","COX7C"
"6","EEF1B2"
"7","EIF3L"
"8","FAU"
"9","FBL"
"10","GAS5"
"11","HINT1"
"12","HNRNPA1P48"
"13","IGBP1"
"14","MRPS36"
"15","NDUFA2"
"16","NOP53"
"17","PAIP2"
"18","RAB34"
"19","RPL10"
"20","RPL10A"
"21","RPL12"
"22","RPL13"
"23","RPL13A"
"24","RPL13AP5"
"25","RPL14"
"26","RPL14P1"
"27","RPL19"
"28","RPL21"
"29","RPL22"
"30","RPL23"
"31","RPL24"
"32","RPL27"
"33","RPL28"
"34","RPL29"
"35","RPL3"
"36","RPL31"
"37","RPL34"
"38","RPL35"
"39","RPL36"
"40","RPL37"
"41","RPL37A"
"42","RPL38"
"43","RPL39"
"44","RPL4"
"45","RPL4P5"
"46","RPL6"
"47","RPL7A"
"48","RPL9"
"49","RPLP0"
"50","RPLP1"
"51","RPLP2"
"52","RPS12"
"53","RPS13"
"54","RPS14"
"55","RPS15A"
"56","RPS16"
"57","RPS18"
"58","RPS19"
"59","RPS2"
"60","RPS21"
"61","RPS23"
"62","RPS24"
"63","RPS27"
"64","RPS27A"
"65","RPS29"
"66","RPS3A"
"67","RPS3AP5"
"68","RPS5"
"69","RPS6"
"70","RPS8"
"71","RPS9"
"72","RPSA"
"73","SNHG6"
"74","SNHG8"
"75","SPR"
"76","TMEM267"
"77","TPT1"
"78","TXNDC15"
"79","UQCRQ"
"80","ZNF131"
