"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_96__"
"1","AC011753.1"
"2","AC025271.4"
"3","AC099344.1"
"4","AC104072.1"
"5","AC104619.4"
"6","AC108039.1"
"7","AL135929.2"
"8","AL136088.1"
"9","AL162591.1"
"10","AL662791.1"
"11","AP000593.1"
"12","CGNL1"
"13","EEF1DP8"
"14","FAM19A3"
"15","GABRA2"
"16","GALNT6"
"17","GATA3"
"18","GCNT4"
"19","GPR19"
"20","HCG15"
"21","HNRNPRP2"
"22","HSP90AB3P"
"23","IL7"
"24","KCNK2"
"25","KCTD14"
"26","KHSRPP1"
"27","LINC01336"
"28","LPIN3"
"29","MPPED2"
"30","MTND5P40"
"31","NPNT"
"32","PAMR1"
"33","PLA2G5"
"34","PPIAP22"
"35","RN7SKP181"
"36","RN7SL151P"
"37","RN7SL215P"
"38","RN7SL70P"
"39","RNU6ATAC11P"
"40","RPL10P18"
"41","RPL31P59"
"42","SLC22A3"
"43","SLC8B1"
"44","TGFA"
"45","TMEM200A"
"46","TPCN1"
"47","ZNF311"
