"","HuAgeGBsplit_01....c1_HuAgeGBsplitRnaseq_38__"
"1","AAAS"
"2","AC006994.2"
"3","AC007318.1"
"4","AC007969.1"
"5","AC011374.2"
"6","AC011468.4"
"7","AC023632.2"
"8","AC079922.1"
"9","AC099560.2"
"10","AC146944.4"
"11","AC246787.1"
"12","ACVR1B"
"13","AD000090.1"
"14","AL160175.1"
"15","AL355309.1"
"16","AL365440.1"
"17","ALDH5A1"
"18","ANKRD46"
"19","AP001324.1"
"20","AP003469.4"
"21","ARFGEF1"
"22","ARID2"
"23","ATP5MC2"
"24","ATP6AP1"
"25","ATP6V0B"
"26","ATP6V1B2"
"27","ATP6V1C1"
"28","ATP6V1G2"
"29","ATXN7L3B"
"30","AZIN1"
"31","BBS10"
"32","BOLA3"
"33","C12orf10"
"34","C2"
"35","CACNB3"
"36","CALCOCO1"
"37","CBX5"
"38","CD63"
"39","CD99L2"
"40","CHCHD5"
"41","COMMD4"
"42","COPZ1"
"43","COX5B"
"44","COX6C"
"45","CS"
"46","DECR2"
"47","DIP2B"
"48","DPY19L4"
"49","E2F5"
"50","EMD"
"51","FAM8A1"
"52","FAM92A"
"53","FANCE"
"54","FP236383.1"
"55","FP671120.1"
"56","FP671120.4"
"57","FTOP1"
"58","GDAP1"
"59","GGH"
"60","GPLD1"
"61","HEXB"
"62","HFM1"
"63","HIST1H1E"
"64","HIST1H4E"
"65","HNRNPA3P12"
"66","ICA1L"
"67","IKZF4"
"68","INTS8"
"69","KANSL1L"
"70","KRR1"
"71","LAPTM4B"
"72","LETMD1"
"73","MAP2"
"74","MFSD9"
"75","MID2"
"76","MIEN1"
"77","MIR6087"
"78","MTERF3"
"79","MTFR1"
"80","MYL12BP1"
"81","MYL6"
"82","NAP1L1"
"83","NCOA2"
"84","NDUFB3"
"85","NES"
"86","NIM1K"
"87","NIPAL2"
"88","NME4"
"89","NPL"
"90","NPRL3"
"91","NUDT8"
"92","OSBPL8"
"93","OXR1"
"94","PACERR"
"95","PCBP2"
"96","PCYOX1"
"97","PFDN5"
"98","PHLDA1"
"99","PIP4P2"
"100","PNPO"
"101","POLR2K"
"102","POU6F1"
"103","PSMC1P1"
"104","PTDSS1"
"105","RAB5B"
"106","RGL2"
"107","RMRP"
"108","ROMO1"
"109","RPL13AP25"
"110","RPL21P16"
"111","RPL26P19"
"112","RPL37P2"
"113","RPS20P14"
"114","RPSAP8"
"115","RTL8B"
"116","SCAF11"
"117","SF3B6"
"118","SLC25A3"
"119","SLC25A32"
"120","SMUG1"
"121","SP1"
"122","SPCS2P4"
"123","TGS1"
"124","TRAFD1"
"125","UBR5"
"126","UQCRB"
"127","VIRMA"
"128","VPS13B"
"129","WDR73"
"130","YWHAZ"
"131","ZDHHC17"
"132","ZNF575"
"133","ZNF704"
"134","ZNF706"
