"","HuAgeGBsplit_03....c1_HuAgeGBsplitRnaseq_398__"
"1","AC006262.4"
"2","AC022882.1"
"3","AC078878.1"
"4","AC079602.2"
"5","AC093677.1"
"6","AC099849.1"
"7","AC138749.5"
"8","AC139365.2"
"9","AL118496.1"
"10","AL121576.1"
"11","AL590635.1"
"12","ANP32BP1"
"13","AP002414.3"
"14","GMCL2"
"15","HNRNPABP1"
"16","KRT1"
"17","MAP2K1P1"
"18","MIR182"
"19","MIR3144"
"20","MIR4475"
"21","MIR498"
"22","MIR542"
"23","MIR548I4"
"24","NECAP1P1"
"25","NFU1P1"
"26","NOTCH2P1"
"27","OR4B2P"
"28","OR5B15P"
"29","OR8A1"
"30","SLFN14"
"31","SMIM11P1"
"32","WDR82P2"
