"","HuAgeGBsplit_08....c1_HuAgeGBsplitRnaseq_1513__"
"1","ABCG4"
"2","AC004448.2"
"3","AC005064.1"
"4","AC005280.1"
"5","AC005476.2"
"6","AC005606.2"
"7","AC005703.4"
"8","AC007255.1"
"9","AC007614.1"
"10","AC008915.2"
"11","AC010531.1"
"12","AC017037.2"
"13","AC020659.1"
"14","AC022392.1"
"15","AC022424.1"
"16","AC025283.3"
"17","AC025284.1"
"18","AC026585.1"
"19","AC064853.2"
"20","AC068389.1"
"21","AC082651.3"
"22","AC084879.1"
"23","AC091980.2"
"24","AC092142.1"
"25","AC092376.1"
"26","AC092681.2"
"27","AC125603.1"
"28","AC138819.1"
"29","AC139769.1"
"30","AC139769.2"
"31","AC140481.1"
"32","AC243919.1"
"33","AC244035.1"
"34","ADAMTS18"
"35","AJ003147.1"
"36","AJ003147.2"
"37","AKAIN1"
"38","AL022157.1"
"39","AL031686.1"
"40","AL031687.1"
"41","AL034347.1"
"42","AL121768.1"
"43","AL137785.1"
"44","AL158064.1"
"45","AL354712.1"
"46","AL355312.2"
"47","AL355994.2"
"48","AL359764.1"
"49","AL590483.3"
"50","AL606491.1"
"51","ALOXE3"
"52","ALS2"
"53","AMPH"
"54","ANK1"
"55","ANK3"
"56","ANKRD34C"
"57","ARHGAP4"
"58","ARHGAP44"
"59","ARHGAP9"
"60","ARHGEF33"
"61","ATP2A3"
"62","ATP8A2"
"63","BARHL2"
"64","BTBD17"
"65","C1orf127"
"66","C1orf146"
"67","CALB1"
"68","CASP12"
"69","CBLN3"
"70","CCDC155"
"71","CCDC175"
"72","CCDC177"
"73","CCDC88B"
"74","CCNJL"
"75","CDC42BPG"
"76","CDR2L"
"77","CERKL"
"78","CHRNB3"
"79","CLCNKA"
"80","CLCNKB"
"81","CLEC4GP1"
"82","CLEC4M"
"83","CMTM7"
"84","CPNE9"
"85","CRTAM"
"86","DKK4"
"87","DPPA3P3"
"88","ELL"
"89","EOMES"
"90","EPB41"
"91","EPHA1"
"92","ERFE"
"93","ERICH3"
"94","EXPH5"
"95","FADS6"
"96","FAM153C"
"97","FAM156A"
"98","FAT2"
"99","FBXO31"
"100","FGF3"
"101","FSTL5"
"102","GABRA6"
"103","GACAT2"
"104","GALNT12"
"105","GPAT3"
"106","GPR83"
"107","GPRC5C"
"108","GPRIN3"
"109","GRAMD1B"
"110","GRB7"
"111","GRID2IP"
"112","GRM1"
"113","GRM4"
"114","GSTM5P1"
"115","HEATR4"
"116","HOMER3"
"117","HS3ST1"
"118","HTR5A"
"119","IL16"
"120","ITGA4"
"121","ITPR1"
"122","KCNC1"
"123","KCNJ12"
"124","KCP"
"125","KLHL3"
"126","KLK10"
"127","LAMC2"
"128","LCN8"
"129","LHX1"
"130","LINC00184"
"131","LINC01166"
"132","LINC01619"
"133","LINC01637"
"134","LINC01691"
"135","LINC01948"
"136","LINC02139"
"137","LINC02395"
"138","LINC02396"
"139","LINGO4"
"140","LMAN1L"
"141","LRCH1"
"142","MAGEA8"
"143","MANSC4"
"144","MAP3K21"
"145","MFSD4A"
"146","MICAL2"
"147","MMP24OS"
"148","MORN1"
"149","MPP3"
"150","MPZL3"
"151","MTCL1"
"152","MTCO3P44"
"153","MTND4P9"
"154","MYO5C"
"155","NAMA"
"156","NHSL2"
"157","NRG4"
"158","OPRM1"
"159","P2RX4"
"160","PATJ"
"161","PCLO"
"162","PCSK9"
"163","PDE1A"
"164","PDLIM2"
"165","PLEKHD1"
"166","POLB"
"167","PPARGC1B"
"168","PPP1R2P5"
"169","PRKCZ"
"170","PRR35"
"171","PTK2B"
"172","PTPRR"
"173","PVALB"
"174","RAB37"
"175","RAPGEF6"
"176","RELN"
"177","RHBG"
"178","RIMS1"
"179","RORC"
"180","RPS29P11"
"181","RYR2"
"182","SCN2A"
"183","SCNN1G"
"184","SDR16C5"
"185","SEL1L3"
"186","SHISA8"
"187","SIDT1"
"188","SLC1A6"
"189","SLC22A31"
"190","SLC26A5"
"191","SLC36A1"
"192","SLC5A5"
"193","SLC6A7"
"194","SPTB"
"195","SRGAP2"
"196","SRGAP2B"
"197","SRGAP2C"
"198","STARD5"
"199","STRCP1"
"200","SYT2"
"201","SYTL1"
"202","TERF1P1"
"203","TIAM1"
"204","TLX3"
"205","TMC2"
"206","TMEM151B"
"207","TMEM266"
"208","TOMM20P3"
"209","TPM4"
"210","TRIM72"
"211","TRMT9B"
"212","TUBA3E"
"213","UNC13C"
"214","VIPR1"
"215","WBP2P1"
"216","WISP3"
"217","WSCD2"
"218","Z95624.1"
"219","ZBTB46"
"220","ZIC3"
"221","ZNF334"
"222","ZNF57"
"223","ZNF663P"
"224","ZP2"
