"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_78__"
"1","AC012354.2"
"2","AC078909.2"
"3","AC091059.1"
"4","AC092106.1"
"5","AC105398.1"
"6","AC112200.1"
"7","AC138932.4"
"8","AC241644.1"
"9","ACTBP8"
"10","AKR1B10"
"11","AL133373.2"
"12","AL139008.2"
"13","AL162373.1"
"14","AL353705.4"
"15","AL355607.1"
"16","AL357874.1"
"17","AL359502.1"
"18","AL391069.2"
"19","AL512430.3"
"20","AL591926.1"
"21","C4orf22"
"22","KRT9"
"23","LINC01385"
"24","MEIS2"
"25","MIR1268A"
"26","MIR718"
"27","MTCO3P21"
"28","OR5BD1P"
"29","PTX4"
"30","RASSF9"
"31","TC2N"
"32","TSPAN18"
"33","XRCC6P1"
"34","ZNF736P9Y"
