"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_85__"
"1","ABCG2"
"2","AC008132.1"
"3","AC015819.2"
"4","AC023509.4"
"5","AC051619.2"
"6","AC092807.2"
"7","AC096540.1"
"8","AC103706.1"
"9","ACSL1"
"10","ACVRL1"
"11","AKR1C1"
"12","AKR1C2"
"13","AKR1C3"
"14","AL445423.1"
"15","AL451164.1"
"16","AP000550.1"
"17","APOD"
"18","APOLD1"
"19","ARRDC2"
"20","ATP10A"
"21","BTNL9"
"22","C10orf128"
"23","C2CD4B"
"24","CA2"
"25","CD34"
"26","CDH5"
"27","CLEC14A"
"28","COL1A1"
"29","COL1A2"
"30","COL3A1"
"31","COL6A3"
"32","COL8A1"
"33","CRYGD"
"34","CTF1"
"35","CYSLTR2"
"36","DOCK9"
"37","DUSP9"
"38","EGFL7"
"39","EPAS1"
"40","EXOC3L1"
"41","FBLN1"
"42","FKBP5"
"43","FLT4"
"44","FMNL3"
"45","FMOD"
"46","GGT5"
"47","GGTLC4P"
"48","GPIHBP1"
"49","HERC2P3"
"50","HERC2P9"
"51","HHEX"
"52","HIGD1B"
"53","HLX"
"54","HMGA2"
"55","IGFBP7"
"56","IL4R"
"57","IP6K3"
"58","KCNJ2"
"59","LAYN"
"60","LINC00865"
"61","LINC01352"
"62","LINC01394"
"63","LINC01612"
"64","LINC02185"
"65","LINC02266"
"66","LSR"
"67","MMRN2"
"68","MT1A"
"69","MT1E"
"70","MT1G"
"71","MT1H"
"72","MT1JP"
"73","MT1L"
"74","MT1M"
"75","MT2A"
"76","MYCT1"
"77","NAGS"
"78","NET1"
"79","NFKBIA"
"80","NOS3"
"81","NOTCH4"
"82","PDK4"
"83","PLA1A"
"84","POM121L7P"
"85","POM121L9P"
"86","PTGDR2"
"87","RNF144B"
"88","ROBO4"
"89","RPSAP52"
"90","SESN1"
"91","SLC16A1"
"92","SLC30A1"
"93","SLC39A10"
"94","SLC52A3"
"95","SLC7A1"
"96","SLC7A5"
"97","SLC7A5P1"
"98","TBC1D4"
"99","TBXA2R"
"100","TGM2"
"101","UBTFL5"
"102","VSIG2"
"103","VWA2"
"104","VWF"
"105","ZC3H12A"
