"","HuAgeGBsplit_03....c1_HuAgeGBsplitRnaseq_343__"
"1","AC005005.1"
"2","AC008620.2"
"3","AC016724.1"
"4","AC023078.3"
"5","AC068993.1"
"6","AC078918.1"
"7","AC136604.1"
"8","AC245102.2"
"9","AL031073.1"
"10","AL031679.1"
"11","AL080312.1"
"12","AP000936.2"
"13","CLIC1P1"
"14","FIGLA"
"15","IPMKP1"
"16","KRT8P18"
"17","LAPTM4BP2"
"18","LSM3P3"
"19","MED28P5"
"20","MIR376B"
"21","NIP7P1"
"22","NMNAT1P4"
"23","OR7E162P"
"24","OR7E24"
"25","OR8G2P"
"26","OSTF1P1"
"27","PPIAP82"
"28","SLAMF6P1"
"29","SLC25A1P3"
"30","TSEN15P1"
"31","VDAC3P1"
"32","VN1R4"
"33","ZNF861P"
