"","HuAgeGBsplit_02....c1_HuAgeGBsplitRnaseq_528__"
"1","AC009053.1"
"2","AC009053.2"
"3","AC009570.1"
"4","AC010336.5"
"5","AC010468.1"
"6","AC011498.1"
"7","AC019254.1"
"8","AC091917.2"
"9","AC097376.2"
"10","AC105277.1"
"11","AC112907.2"
"12","ADRA2B"
"13","AF121897.1"
"14","AHCYL1"
"15","ALDH1L1"
"16","ARF4P2"
"17","BCHE"
"18","BCL6"
"19","BX547991.1"
"20","C2CD2"
"21","CLEC18A"
"22","CLEC18B"
"23","CLEC18C"
"24","DCLRE1CP1"
"25","ELFN1"
"26","FO681492.1"
"27","GGT8P"
"28","GMEB1"
"29","HDHD3"
"30","HSPD1P4"
"31","LINC02200"
"32","MIR320D1"
"33","OR7E26P"
"34","PDPR"
"35","RN7SL664P"
"36","RPL22P19"
"37","S100A14"
"38","SYT15"
"39","TNFRSF11B"
"40","ZBTB21"
