"","Module","Gene"
"RN7SL221P","c1_HuAgeGBsplitRnaseq_192","RN7SL221P"
"RNA5SP242","c1_HuAgeGBsplitRnaseq_192","RNA5SP242"
"RNF141","c1_HuAgeGBsplitRnaseq_192","RNF141"
"RNH1","c1_HuAgeGBsplitRnaseq_192","RNH1"
"RNU1-51P","c1_HuAgeGBsplitRnaseq_192","RNU1-51P"
"RNU1-92P","c1_HuAgeGBsplitRnaseq_192","RNU1-92P"
"RPL27A","c1_HuAgeGBsplitRnaseq_192","RPL27A"
"RPL34P23","c1_HuAgeGBsplitRnaseq_192","RPL34P23"
"RRAS2","c1_HuAgeGBsplitRnaseq_192","RRAS2"
"RRM1","c1_HuAgeGBsplitRnaseq_192","RRM1"
"SBF2","c1_HuAgeGBsplitRnaseq_192","SBF2"
"SBF2-AS1","c1_HuAgeGBsplitRnaseq_192","SBF2-AS1"
"SCGB1C2","c1_HuAgeGBsplitRnaseq_192","SCGB1C2"
"SCT","c1_HuAgeGBsplitRnaseq_192","SCT"
"SCUBE2","c1_HuAgeGBsplitRnaseq_192","SCUBE2"
"SH3BGR","c1_HuAgeGBsplitRnaseq_192","SH3BGR"
"SHISA6","c1_HuAgeGBsplitRnaseq_192","SHISA6"
"SIGIRR","c1_HuAgeGBsplitRnaseq_192","SIGIRR"
"SIRT3","c1_HuAgeGBsplitRnaseq_192","SIRT3"
"SLC25A22","c1_HuAgeGBsplitRnaseq_192","SLC25A22"
"SLC5A12","c1_HuAgeGBsplitRnaseq_192","SLC5A12"
"SPAG6","c1_HuAgeGBsplitRnaseq_192","SPAG6"
"SPTBN5","c1_HuAgeGBsplitRnaseq_192","SPTBN5"
"ST5","c1_HuAgeGBsplitRnaseq_192","ST5"
"STC2","c1_HuAgeGBsplitRnaseq_192","STC2"
"STIM1","c1_HuAgeGBsplitRnaseq_192","STIM1"
"SWAP70","c1_HuAgeGBsplitRnaseq_192","SWAP70"
"TH","c1_HuAgeGBsplitRnaseq_192","TH"
"TMEM220","c1_HuAgeGBsplitRnaseq_192","TMEM220"
"TMEM41B","c1_HuAgeGBsplitRnaseq_192","TMEM41B"
"TMEM9B","c1_HuAgeGBsplitRnaseq_192","TMEM9B"
"TOLLIP","c1_HuAgeGBsplitRnaseq_192","TOLLIP"
"TOLLIP-AS1","c1_HuAgeGBsplitRnaseq_192","TOLLIP-AS1"
"TPP1","c1_HuAgeGBsplitRnaseq_192","TPP1"
"TRIM66","c1_HuAgeGBsplitRnaseq_192","TRIM66"
"TRPM5","c1_HuAgeGBsplitRnaseq_192","TRPM5"
"TSPAN32","c1_HuAgeGBsplitRnaseq_192","TSPAN32"
"TSPAN4","c1_HuAgeGBsplitRnaseq_192","TSPAN4"
"TSSC2","c1_HuAgeGBsplitRnaseq_192","TSSC2"
"TSSC4","c1_HuAgeGBsplitRnaseq_192","TSSC4"
"TUBB3P2","c1_HuAgeGBsplitRnaseq_192","TUBB3P2"
"U91328.1","c1_HuAgeGBsplitRnaseq_192","U91328.1"
"WEE1","c1_HuAgeGBsplitRnaseq_192","WEE1"
"ABTB2","c1_HuAgeGBsplitRnaseq_193","ABTB2"
"AC005523.1","c1_HuAgeGBsplitRnaseq_193","AC005523.1"
"AC006445.2","c1_HuAgeGBsplitRnaseq_193","AC006445.2"
"AC016257.1","c1_HuAgeGBsplitRnaseq_193","AC016257.1"
"AC084337.2","c1_HuAgeGBsplitRnaseq_193","AC084337.2"
"AC087521.2","c1_HuAgeGBsplitRnaseq_193","AC087521.2"
"AC087521.3","c1_HuAgeGBsplitRnaseq_193","AC087521.3"
"AC090152.1","c1_HuAgeGBsplitRnaseq_193","AC090152.1"
"AC090692.1","c1_HuAgeGBsplitRnaseq_193","AC090692.1"
"AC100771.2","c1_HuAgeGBsplitRnaseq_193","AC100771.2"
"AC124016.1","c1_HuAgeGBsplitRnaseq_193","AC124016.1"
"AC132192.2","c1_HuAgeGBsplitRnaseq_193","AC132192.2"
"ACP2","c1_HuAgeGBsplitRnaseq_193","ACP2"
"AL021068.1","c1_HuAgeGBsplitRnaseq_193","AL021068.1"
"ALKBH3","c1_HuAgeGBsplitRnaseq_193","ALKBH3"
"AMBRA1","c1_HuAgeGBsplitRnaseq_193","AMBRA1"
"ANKRD42","c1_HuAgeGBsplitRnaseq_193","ANKRD42"
"AP006296.1","c1_HuAgeGBsplitRnaseq_193","AP006296.1"
"APBB1","c1_HuAgeGBsplitRnaseq_193","APBB1"
"API5","c1_HuAgeGBsplitRnaseq_193","API5"
"ARFGAP2","c1_HuAgeGBsplitRnaseq_193","ARFGAP2"
"ARFIP2","c1_HuAgeGBsplitRnaseq_193","ARFIP2"
"ARHGAP1","c1_HuAgeGBsplitRnaseq_193","ARHGAP1"
"ARHGAP36","c1_HuAgeGBsplitRnaseq_193","ARHGAP36"
"ARL14EP","c1_HuAgeGBsplitRnaseq_193","ARL14EP"
"ATG13","c1_HuAgeGBsplitRnaseq_193","ATG13"
"BBOX1","c1_HuAgeGBsplitRnaseq_193","BBOX1"
"BTBD10","c1_HuAgeGBsplitRnaseq_193","BTBD10"
"C11orf49","c1_HuAgeGBsplitRnaseq_193","C11orf49"
"C11orf58","c1_HuAgeGBsplitRnaseq_193","C11orf58"
"C11orf74","c1_HuAgeGBsplitRnaseq_193","C11orf74"
"C4orf33","c1_HuAgeGBsplitRnaseq_193","C4orf33"
"CAPRIN1","c1_HuAgeGBsplitRnaseq_193","CAPRIN1"
"CARS","c1_HuAgeGBsplitRnaseq_193","CARS"
"CAT","c1_HuAgeGBsplitRnaseq_193","CAT"
"CCDC34","c1_HuAgeGBsplitRnaseq_193","CCDC34"
"CELF1","c1_HuAgeGBsplitRnaseq_193","CELF1"
"CHRDL1","c1_HuAgeGBsplitRnaseq_193","CHRDL1"
"CHRNA10","c1_HuAgeGBsplitRnaseq_193","CHRNA10"
"CKAP5","c1_HuAgeGBsplitRnaseq_193","CKAP5"
"COMMD9","c1_HuAgeGBsplitRnaseq_193","COMMD9"
"CRY2","c1_HuAgeGBsplitRnaseq_193","CRY2"
"CSTF3","c1_HuAgeGBsplitRnaseq_193","CSTF3"
"CTR9","c1_HuAgeGBsplitRnaseq_193","CTR9"
"DCHS1","c1_HuAgeGBsplitRnaseq_193","DCHS1"
"DEPDC7","c1_HuAgeGBsplitRnaseq_193","DEPDC7"
"DGKZ","c1_HuAgeGBsplitRnaseq_193","DGKZ"
"DKK3","c1_HuAgeGBsplitRnaseq_193","DKK3"
"DNAJC24","c1_HuAgeGBsplitRnaseq_193","DNAJC24"
"DNHD1","c1_HuAgeGBsplitRnaseq_193","DNHD1"
"EIF3M","c1_HuAgeGBsplitRnaseq_193","EIF3M"
"ELP4","c1_HuAgeGBsplitRnaseq_193","ELP4"
"EXT2","c1_HuAgeGBsplitRnaseq_193","EXT2"
"FAM160A2","c1_HuAgeGBsplitRnaseq_193","FAM160A2"
"FANCF","c1_HuAgeGBsplitRnaseq_193","FANCF"
"FAR1","c1_HuAgeGBsplitRnaseq_193","FAR1"
"FBXO3","c1_HuAgeGBsplitRnaseq_193","FBXO3"
"FJX1","c1_HuAgeGBsplitRnaseq_193","FJX1"
"FNBP4","c1_HuAgeGBsplitRnaseq_193","FNBP4"
"GTF2H1","c1_HuAgeGBsplitRnaseq_193","GTF2H1"
"HARBI1","c1_HuAgeGBsplitRnaseq_193","HARBI1"
"HIPK3","c1_HuAgeGBsplitRnaseq_193","HIPK3"
"HPS5","c1_HuAgeGBsplitRnaseq_193","HPS5"
"HTATIP2","c1_HuAgeGBsplitRnaseq_193","HTATIP2"
"IMMP1L","c1_HuAgeGBsplitRnaseq_193","IMMP1L"
"KDM4D","c1_HuAgeGBsplitRnaseq_193","KDM4D"
"KIAA1549L","c1_HuAgeGBsplitRnaseq_193","KIAA1549L"
"KRT18P14","c1_HuAgeGBsplitRnaseq_193","KRT18P14"
"LDLRAD3","c1_HuAgeGBsplitRnaseq_193","LDLRAD3"
"LGR4","c1_HuAgeGBsplitRnaseq_193","LGR4"
"LIN7C","c1_HuAgeGBsplitRnaseq_193","LIN7C"
"LRP4","c1_HuAgeGBsplitRnaseq_193","LRP4"
"LRP4-AS1","c1_HuAgeGBsplitRnaseq_193","LRP4-AS1"
"MADD","c1_HuAgeGBsplitRnaseq_193","MADD"
"MAPK8IP1","c1_HuAgeGBsplitRnaseq_193","MAPK8IP1"
"MARK2P9","c1_HuAgeGBsplitRnaseq_193","MARK2P9"
"MDK","c1_HuAgeGBsplitRnaseq_193","MDK"
"METTL15","c1_HuAgeGBsplitRnaseq_193","METTL15"
"METTL15P1","c1_HuAgeGBsplitRnaseq_193","METTL15P1"
"MOB2","c1_HuAgeGBsplitRnaseq_193","MOB2"
"MRPL17","c1_HuAgeGBsplitRnaseq_193","MRPL17"
"MT3","c1_HuAgeGBsplitRnaseq_193","MT3"
"MTCH2","c1_HuAgeGBsplitRnaseq_193","MTCH2"
"NAT10","c1_HuAgeGBsplitRnaseq_193","NAT10"
"NDUFS3","c1_HuAgeGBsplitRnaseq_193","NDUFS3"
"NLGN3","c1_HuAgeGBsplitRnaseq_193","NLGN3"
"NR1H3","c1_HuAgeGBsplitRnaseq_193","NR1H3"
"NUCB2","c1_HuAgeGBsplitRnaseq_193","NUCB2"
"NUP160","c1_HuAgeGBsplitRnaseq_193","NUP160"
"NUP98","c1_HuAgeGBsplitRnaseq_193","NUP98"
"PAX6","c1_HuAgeGBsplitRnaseq_193","PAX6"
"PEX16","c1_HuAgeGBsplitRnaseq_193","PEX16"
"PHF21A","c1_HuAgeGBsplitRnaseq_193","PHF21A"
"PIK3C2A","c1_HuAgeGBsplitRnaseq_193","PIK3C2A"
"PPFIBP2","c1_HuAgeGBsplitRnaseq_193","PPFIBP2"
"PRDM11","c1_HuAgeGBsplitRnaseq_193","PRDM11"
"PRMT3","c1_HuAgeGBsplitRnaseq_193","PRMT3"
"PRR5L","c1_HuAgeGBsplitRnaseq_193","PRR5L"
"PSMC3","c1_HuAgeGBsplitRnaseq_193","PSMC3"
"PSMD13","c1_HuAgeGBsplitRnaseq_193","PSMD13"
"PXK","c1_HuAgeGBsplitRnaseq_193","PXK"
"QSER1","c1_HuAgeGBsplitRnaseq_193","QSER1"
"RBMX","c1_HuAgeGBsplitRnaseq_193","RBMX"
"RCN1","c1_HuAgeGBsplitRnaseq_193","RCN1"
"RDH16","c1_HuAgeGBsplitRnaseq_193","RDH16"
"RIC3","c1_HuAgeGBsplitRnaseq_193","RIC3"
"RRP8","c1_HuAgeGBsplitRnaseq_193","RRP8"
"SAAL1","c1_HuAgeGBsplitRnaseq_193","SAAL1"
"SCLT1","c1_HuAgeGBsplitRnaseq_193","SCLT1"
"SLC35C1","c1_HuAgeGBsplitRnaseq_193","SLC35C1"
"SLC39A13","c1_HuAgeGBsplitRnaseq_193","SLC39A13"
"SMPD1","c1_HuAgeGBsplitRnaseq_193","SMPD1"
"SPTY2D1","c1_HuAgeGBsplitRnaseq_193","SPTY2D1"
"SPTY2D1OS","c1_HuAgeGBsplitRnaseq_193","SPTY2D1OS"
"STK33","c1_HuAgeGBsplitRnaseq_193","STK33"
"TALDO1","c1_HuAgeGBsplitRnaseq_193","TALDO1"
"TCP11L1","c1_HuAgeGBsplitRnaseq_193","TCP11L1"
"TEAD1","c1_HuAgeGBsplitRnaseq_193","TEAD1"
"TOX","c1_HuAgeGBsplitRnaseq_193","TOX"
"TRAF6","c1_HuAgeGBsplitRnaseq_193","TRAF6"
"TRIM3","c1_HuAgeGBsplitRnaseq_193","TRIM3"
"TRIM44","c1_HuAgeGBsplitRnaseq_193","TRIM44"
"TRIM68","c1_HuAgeGBsplitRnaseq_193","TRIM68"
"TSG101","c1_HuAgeGBsplitRnaseq_193","TSG101"
"TTC17","c1_HuAgeGBsplitRnaseq_193","TTC17"
"TUB","c1_HuAgeGBsplitRnaseq_193","TUB"
"UEVLD","c1_HuAgeGBsplitRnaseq_193","UEVLD"
"USP47","c1_HuAgeGBsplitRnaseq_193","USP47"
"ZBED5","c1_HuAgeGBsplitRnaseq_193","ZBED5"
"ZDHHC13","c1_HuAgeGBsplitRnaseq_193","ZDHHC13"
"ZNF143","c1_HuAgeGBsplitRnaseq_193","ZNF143"
"ZNF195","c1_HuAgeGBsplitRnaseq_193","ZNF195"
"ZNF408","c1_HuAgeGBsplitRnaseq_193","ZNF408"
"AADACL2-AS1","c1_HuAgeGBsplitRnaseq_1954","AADACL2-AS1"
"AC002378.1","c1_HuAgeGBsplitRnaseq_1954","AC002378.1"
"AC003087.1","c1_HuAgeGBsplitRnaseq_1954","AC003087.1"
"AC004704.1","c1_HuAgeGBsplitRnaseq_1954","AC004704.1"
"AC006453.1","c1_HuAgeGBsplitRnaseq_1954","AC006453.1"
"AC006458.1","c1_HuAgeGBsplitRnaseq_1954","AC006458.1"
"AC009108.1","c1_HuAgeGBsplitRnaseq_1954","AC009108.1"
"AC009108.3","c1_HuAgeGBsplitRnaseq_1954","AC009108.3"
"AC009226.1","c1_HuAgeGBsplitRnaseq_1954","AC009226.1"
"AC009365.1","c1_HuAgeGBsplitRnaseq_1954","AC009365.1"
"AC009567.1","c1_HuAgeGBsplitRnaseq_1954","AC009567.1"
"AC011008.1","c1_HuAgeGBsplitRnaseq_1954","AC011008.1"
"AC011491.3","c1_HuAgeGBsplitRnaseq_1954","AC011491.3"
"AC012038.1","c1_HuAgeGBsplitRnaseq_1954","AC012038.1"
"AC012501.2","c1_HuAgeGBsplitRnaseq_1954","AC012501.2"
"AC012508.2","c1_HuAgeGBsplitRnaseq_1954","AC012508.2"
"AC022201.1","c1_HuAgeGBsplitRnaseq_1954","AC022201.1"
"AC022441.2","c1_HuAgeGBsplitRnaseq_1954","AC022441.2"
"AC024405.2","c1_HuAgeGBsplitRnaseq_1954","AC024405.2"
"AC044839.5","c1_HuAgeGBsplitRnaseq_1954","AC044839.5"
"AC055758.2","c1_HuAgeGBsplitRnaseq_1954","AC055758.2"
"AC068279.1","c1_HuAgeGBsplitRnaseq_1954","AC068279.1"
"AC068580.2","c1_HuAgeGBsplitRnaseq_1954","AC068580.2"
"AC068599.1","c1_HuAgeGBsplitRnaseq_1954","AC068599.1"
"AC079917.1","c1_HuAgeGBsplitRnaseq_1954","AC079917.1"
"AC087516.2","c1_HuAgeGBsplitRnaseq_1954","AC087516.2"
"AC092337.1","c1_HuAgeGBsplitRnaseq_1954","AC092337.1"
"AC093772.1","c1_HuAgeGBsplitRnaseq_1954","AC093772.1"
"AC095050.1","c1_HuAgeGBsplitRnaseq_1954","AC095050.1"
"AC096577.1","c1_HuAgeGBsplitRnaseq_1954","AC096577.1"
"AC096666.1","c1_HuAgeGBsplitRnaseq_1954","AC096666.1"
"AC097478.1","c1_HuAgeGBsplitRnaseq_1954","AC097478.1"
"AC097494.1","c1_HuAgeGBsplitRnaseq_1954","AC097494.1"
"AC099785.1","c1_HuAgeGBsplitRnaseq_1954","AC099785.1"
"AC100781.1","c1_HuAgeGBsplitRnaseq_1954","AC100781.1"
"AC104042.1","c1_HuAgeGBsplitRnaseq_1954","AC104042.1"
"AC104819.3","c1_HuAgeGBsplitRnaseq_1954","AC104819.3"
"AC105021.1","c1_HuAgeGBsplitRnaseq_1954","AC105021.1"
"AC108517.1","c1_HuAgeGBsplitRnaseq_1954","AC108517.1"
"AC111152.1","c1_HuAgeGBsplitRnaseq_1954","AC111152.1"
"AC111152.2","c1_HuAgeGBsplitRnaseq_1954","AC111152.2"
"AC112187.3","c1_HuAgeGBsplitRnaseq_1954","AC112187.3"
"AC113355.1","c1_HuAgeGBsplitRnaseq_1954","AC113355.1"
"AC118282.1","c1_HuAgeGBsplitRnaseq_1954","AC118282.1"
"AC122138.1","c1_HuAgeGBsplitRnaseq_1954","AC122138.1"
"AC124068.2","c1_HuAgeGBsplitRnaseq_1954","AC124068.2"
"AC137735.1","c1_HuAgeGBsplitRnaseq_1954","AC137735.1"
"AL034428.1","c1_HuAgeGBsplitRnaseq_1954","AL034428.1"
"AL132708.1","c1_HuAgeGBsplitRnaseq_1954","AL132708.1"
"AL133264.2","c1_HuAgeGBsplitRnaseq_1954","AL133264.2"
"AL133396.2","c1_HuAgeGBsplitRnaseq_1954","AL133396.2"
"AL136961.1","c1_HuAgeGBsplitRnaseq_1954","AL136961.1"
"AL137224.1","c1_HuAgeGBsplitRnaseq_1954","AL137224.1"
"AL139824.1","c1_HuAgeGBsplitRnaseq_1954","AL139824.1"
"AL157702.2","c1_HuAgeGBsplitRnaseq_1954","AL157702.2"
"AL158070.1","c1_HuAgeGBsplitRnaseq_1954","AL158070.1"
"AL160237.3","c1_HuAgeGBsplitRnaseq_1954","AL160237.3"
"AL161782.1","c1_HuAgeGBsplitRnaseq_1954","AL161782.1"
"AL355390.2","c1_HuAgeGBsplitRnaseq_1954","AL355390.2"
"AL355592.1","c1_HuAgeGBsplitRnaseq_1954","AL355592.1"
"AL356432.1","c1_HuAgeGBsplitRnaseq_1954","AL356432.1"
"AL451000.1","c1_HuAgeGBsplitRnaseq_1954","AL451000.1"
"AL451137.1","c1_HuAgeGBsplitRnaseq_1954","AL451137.1"
"AL451142.2","c1_HuAgeGBsplitRnaseq_1954","AL451142.2"
"AL592486.1","c1_HuAgeGBsplitRnaseq_1954","AL592486.1"
"AP001978.1","c1_HuAgeGBsplitRnaseq_1954","AP001978.1"
"AP002765.1","c1_HuAgeGBsplitRnaseq_1954","AP002765.1"
"AP003774.2","c1_HuAgeGBsplitRnaseq_1954","AP003774.2"
"CCL16","c1_HuAgeGBsplitRnaseq_1954","CCL16"
"CCNT2P1","c1_HuAgeGBsplitRnaseq_1954","CCNT2P1"
"CPHL1P","c1_HuAgeGBsplitRnaseq_1954","CPHL1P"
"CPN1","c1_HuAgeGBsplitRnaseq_1954","CPN1"
"ELMO2P1","c1_HuAgeGBsplitRnaseq_1954","ELMO2P1"
"FAM205C","c1_HuAgeGBsplitRnaseq_1954","FAM205C"
"FP325317.1","c1_HuAgeGBsplitRnaseq_1954","FP325317.1"
"GSG1L2","c1_HuAgeGBsplitRnaseq_1954","GSG1L2"
"GUCA1C","c1_HuAgeGBsplitRnaseq_1954","GUCA1C"
"HCG20","c1_HuAgeGBsplitRnaseq_1954","HCG20"
"HLA-DRB9","c1_HuAgeGBsplitRnaseq_1954","HLA-DRB9"
"HLTF-AS1","c1_HuAgeGBsplitRnaseq_1954","HLTF-AS1"
"HNRNPA1P8","c1_HuAgeGBsplitRnaseq_1954","HNRNPA1P8"
"HNRNPKP3","c1_HuAgeGBsplitRnaseq_1954","HNRNPKP3"
"LINC00113","c1_HuAgeGBsplitRnaseq_1954","LINC00113"
"LINC00210","c1_HuAgeGBsplitRnaseq_1954","LINC00210"
"LINC00348","c1_HuAgeGBsplitRnaseq_1954","LINC00348"
"LINC00376","c1_HuAgeGBsplitRnaseq_1954","LINC00376"
"LINC00393","c1_HuAgeGBsplitRnaseq_1954","LINC00393"
"LINC00423","c1_HuAgeGBsplitRnaseq_1954","LINC00423"
"LINC00474","c1_HuAgeGBsplitRnaseq_1954","LINC00474"
"LINC01205","c1_HuAgeGBsplitRnaseq_1954","LINC01205"
"LINC01331","c1_HuAgeGBsplitRnaseq_1954","LINC01331"
"LINC01593","c1_HuAgeGBsplitRnaseq_1954","LINC01593"
"LINC01768","c1_HuAgeGBsplitRnaseq_1954","LINC01768"
"LINC01850","c1_HuAgeGBsplitRnaseq_1954","LINC01850"
"LINC02017","c1_HuAgeGBsplitRnaseq_1954","LINC02017"
"LINC02030","c1_HuAgeGBsplitRnaseq_1954","LINC02030"
"LINC02064","c1_HuAgeGBsplitRnaseq_1954","LINC02064"
"LINC02129","c1_HuAgeGBsplitRnaseq_1954","LINC02129"
"LINC02173","c1_HuAgeGBsplitRnaseq_1954","LINC02173"
"LINC02174","c1_HuAgeGBsplitRnaseq_1954","LINC02174"
"LINC02267","c1_HuAgeGBsplitRnaseq_1954","LINC02267"
"LINC02312","c1_HuAgeGBsplitRnaseq_1954","LINC02312"
"LINC02349","c1_HuAgeGBsplitRnaseq_1954","LINC02349"
"LINC02357","c1_HuAgeGBsplitRnaseq_1954","LINC02357"
"LINC02428","c1_HuAgeGBsplitRnaseq_1954","LINC02428"
"LINC02441","c1_HuAgeGBsplitRnaseq_1954","LINC02441"
"LINC02528","c1_HuAgeGBsplitRnaseq_1954","LINC02528"
"MDS2","c1_HuAgeGBsplitRnaseq_1954","MDS2"
"MUC13","c1_HuAgeGBsplitRnaseq_1954","MUC13"
"NALCN-AS1","c1_HuAgeGBsplitRnaseq_1954","NALCN-AS1"
"OR4A49P","c1_HuAgeGBsplitRnaseq_1954","OR4A49P"
"PGCP1","c1_HuAgeGBsplitRnaseq_1954","PGCP1"
"PQLC2L","c1_HuAgeGBsplitRnaseq_1954","PQLC2L"
"RNA5SP531","c1_HuAgeGBsplitRnaseq_1954","RNA5SP531"
"RNU6-15P","c1_HuAgeGBsplitRnaseq_1954","RNU6-15P"
"RNU6-200P","c1_HuAgeGBsplitRnaseq_1954","RNU6-200P"
"RNU6-411P","c1_HuAgeGBsplitRnaseq_1954","RNU6-411P"
"RNU6-45P","c1_HuAgeGBsplitRnaseq_1954","RNU6-45P"
"RNU6-709P","c1_HuAgeGBsplitRnaseq_1954","RNU6-709P"
"RPLP2P1","c1_HuAgeGBsplitRnaseq_1954","RPLP2P1"
"SALRNA2","c1_HuAgeGBsplitRnaseq_1954","SALRNA2"
"SLC7A15P","c1_HuAgeGBsplitRnaseq_1954","SLC7A15P"
"SMPD4P2","c1_HuAgeGBsplitRnaseq_1954","SMPD4P2"
"SOAT2","c1_HuAgeGBsplitRnaseq_1954","SOAT2"
"SSXP4","c1_HuAgeGBsplitRnaseq_1954","SSXP4"
"SUGCT","c1_HuAgeGBsplitRnaseq_1954","SUGCT"
"SUMO1P1","c1_HuAgeGBsplitRnaseq_1954","SUMO1P1"
"THRB-AS1","c1_HuAgeGBsplitRnaseq_1954","THRB-AS1"
"VN2R1P","c1_HuAgeGBsplitRnaseq_1954","VN2R1P"
"AC006369.2","c1_HuAgeGBsplitRnaseq_1955","AC006369.2"
"AC010422.3","c1_HuAgeGBsplitRnaseq_1955","AC010422.3"
"AC010745.2","c1_HuAgeGBsplitRnaseq_1955","AC010745.2"
"AC011131.1","c1_HuAgeGBsplitRnaseq_1955","AC011131.1"
"AC011897.1","c1_HuAgeGBsplitRnaseq_1955","AC011897.1"
"AC012322.1","c1_HuAgeGBsplitRnaseq_1955","AC012322.1"
"AC018680.1","c1_HuAgeGBsplitRnaseq_1955","AC018680.1"
"AC018892.2","c1_HuAgeGBsplitRnaseq_1955","AC018892.2"
"AC021006.2","c1_HuAgeGBsplitRnaseq_1955","AC021006.2"
"AC021242.1","c1_HuAgeGBsplitRnaseq_1955","AC021242.1"
"AC022816.1","c1_HuAgeGBsplitRnaseq_1955","AC022816.1"
"AC023157.2","c1_HuAgeGBsplitRnaseq_1955","AC023157.2"
"AC023491.2","c1_HuAgeGBsplitRnaseq_1955","AC023491.2"
"AC024475.4","c1_HuAgeGBsplitRnaseq_1955","AC024475.4"
"AC026765.2","c1_HuAgeGBsplitRnaseq_1955","AC026765.2"
"AC027613.1","c1_HuAgeGBsplitRnaseq_1955","AC027613.1"
"AC048347.1","c1_HuAgeGBsplitRnaseq_1955","AC048347.1"
"AC068733.2","c1_HuAgeGBsplitRnaseq_1955","AC068733.2"
"AC074344.2","c1_HuAgeGBsplitRnaseq_1955","AC074344.2"
"AC079310.1","c1_HuAgeGBsplitRnaseq_1955","AC079310.1"
"AC079340.1","c1_HuAgeGBsplitRnaseq_1955","AC079340.1"
"AC079384.1","c1_HuAgeGBsplitRnaseq_1955","AC079384.1"
"AC083906.4","c1_HuAgeGBsplitRnaseq_1955","AC083906.4"
"AC087269.2","c1_HuAgeGBsplitRnaseq_1955","AC087269.2"
"AC087499.5","c1_HuAgeGBsplitRnaseq_1955","AC087499.5"
"AC091932.2","c1_HuAgeGBsplitRnaseq_1955","AC091932.2"
"AC091941.1","c1_HuAgeGBsplitRnaseq_1955","AC091941.1"
"AC092979.1","c1_HuAgeGBsplitRnaseq_1955","AC092979.1"
"AC093484.2","c1_HuAgeGBsplitRnaseq_1955","AC093484.2"
"AC098820.1","c1_HuAgeGBsplitRnaseq_1955","AC098820.1"
"AC099520.1","c1_HuAgeGBsplitRnaseq_1955","AC099520.1"
"AC104655.1","c1_HuAgeGBsplitRnaseq_1955","AC104655.1"
"AC104667.1","c1_HuAgeGBsplitRnaseq_1955","AC104667.1"
"AC105919.1","c1_HuAgeGBsplitRnaseq_1955","AC105919.1"
"AC106892.1","c1_HuAgeGBsplitRnaseq_1955","AC106892.1"
"AC106895.1","c1_HuAgeGBsplitRnaseq_1955","AC106895.1"
"AC107220.1","c1_HuAgeGBsplitRnaseq_1955","AC107220.1"
"AC112518.1","c1_HuAgeGBsplitRnaseq_1955","AC112518.1"
"AC114400.1","c1_HuAgeGBsplitRnaseq_1955","AC114400.1"
"AC118942.1","c1_HuAgeGBsplitRnaseq_1955","AC118942.1"
"AC122688.2","c1_HuAgeGBsplitRnaseq_1955","AC122688.2"
"AC131956.1","c1_HuAgeGBsplitRnaseq_1955","AC131956.1"
"AC145207.7","c1_HuAgeGBsplitRnaseq_1955","AC145207.7"
"AC234775.2","c1_HuAgeGBsplitRnaseq_1955","AC234775.2"
"AC234782.3","c1_HuAgeGBsplitRnaseq_1955","AC234782.3"
"ADGRL3","c1_HuAgeGBsplitRnaseq_1955","ADGRL3"
"ADGRL3-AS1","c1_HuAgeGBsplitRnaseq_1955","ADGRL3-AS1"
"AL049839.1","c1_HuAgeGBsplitRnaseq_1955","AL049839.1"
"AL121999.1","c1_HuAgeGBsplitRnaseq_1955","AL121999.1"
"AL135902.1","c1_HuAgeGBsplitRnaseq_1955","AL135902.1"
"AL157823.2","c1_HuAgeGBsplitRnaseq_1955","AL157823.2"
"AL158042.1","c1_HuAgeGBsplitRnaseq_1955","AL158042.1"
"AL353633.1","c1_HuAgeGBsplitRnaseq_1955","AL353633.1"
"AL355075.5","c1_HuAgeGBsplitRnaseq_1955","AL355075.5"
"AL355994.1","c1_HuAgeGBsplitRnaseq_1955","AL355994.1"
"AL358976.1","c1_HuAgeGBsplitRnaseq_1955","AL358976.1"
"AL359265.2","c1_HuAgeGBsplitRnaseq_1955","AL359265.2"
"AL390726.6","c1_HuAgeGBsplitRnaseq_1955","AL390726.6"
"AL390866.1","c1_HuAgeGBsplitRnaseq_1955","AL390866.1"
"AL445070.1","c1_HuAgeGBsplitRnaseq_1955","AL445070.1"
"AL445584.2","c1_HuAgeGBsplitRnaseq_1955","AL445584.2"
"AL450487.2","c1_HuAgeGBsplitRnaseq_1955","AL450487.2"
"AL512631.2","c1_HuAgeGBsplitRnaseq_1955","AL512631.2"
"AL731544.1","c1_HuAgeGBsplitRnaseq_1955","AL731544.1"
"AL805961.1","c1_HuAgeGBsplitRnaseq_1955","AL805961.1"
"AL929601.1","c1_HuAgeGBsplitRnaseq_1955","AL929601.1"
"ANKRD20A8P","c1_HuAgeGBsplitRnaseq_1955","ANKRD20A8P"
"AP000354.1","c1_HuAgeGBsplitRnaseq_1955","AP000354.1"
"AP002026.1","c1_HuAgeGBsplitRnaseq_1955","AP002026.1"
"ARMC12","c1_HuAgeGBsplitRnaseq_1955","ARMC12"
"ATG3P1","c1_HuAgeGBsplitRnaseq_1955","ATG3P1"
"BX571818.1","c1_HuAgeGBsplitRnaseq_1955","BX571818.1"
"CARMIL1","c1_HuAgeGBsplitRnaseq_1955","CARMIL1"
"CASC23","c1_HuAgeGBsplitRnaseq_1955","CASC23"
"CENPIP1","c1_HuAgeGBsplitRnaseq_1955","CENPIP1"
"CHCHD2P5","c1_HuAgeGBsplitRnaseq_1955","CHCHD2P5"
