"","HuAgeGBsplit_08....c1_HuAgeGBsplitRnaseq_24__"
"1","ABCG4"
"2","AC004448.2"
"3","AC005064.1"
"4","AC005280.1"
"5","AC005476.2"
"6","AC005606.2"
"7","AC005703.4"
"8","AC007255.1"
"9","AC007285.1"
"10","AC007614.1"
"11","AC008060.3"
"12","AC008915.2"
"13","AC010168.1"
"14","AC010328.3"
"15","AC010531.1"
"16","AC011330.3"
"17","AC011365.2"
"18","AC013726.1"
"19","AC016738.1"
"20","AC017037.2"
"21","AC020659.1"
"22","AC022392.1"
"23","AC022424.1"
"24","AC025034.1"
"25","AC025283.3"
"26","AC025284.1"
"27","AC026585.1"
"28","AC064853.2"
"29","AC068389.1"
"30","AC069120.1"
"31","AC072052.1"
"32","AC082651.3"
"33","AC084759.2"
"34","AC084879.1"
"35","AC091980.2"
"36","AC092115.3"
"37","AC092142.1"
"38","AC092376.1"
"39","AC092611.2"
"40","AC092681.2"
"41","AC100756.2"
"42","AC104109.3"
"43","AC104964.1"
"44","AC104964.3"
"45","AC106795.3"
"46","AC107884.1"
"47","AC125603.1"
"48","AC138819.1"
"49","AC138904.3"
"50","AC139099.4"
"51","AC139491.5"
"52","AC139491.7"
"53","AC139493.1"
"54","AC139769.1"
"55","AC139769.2"
"56","AC140481.1"
"57","AC233702.5"
"58","AC243919.1"
"59","AC244021.1"
"60","AC244035.1"
"61","ACOT6"
"62","ADAMTS16"
"63","ADAMTS18"
"64","AFF2"
"65","AJ003147.1"
"66","AJ003147.2"
"67","AKAIN1"
"68","AL022157.1"
"69","AL031686.1"
"70","AL031687.1"
"71","AL034347.1"
"72","AL121768.1"
"73","AL133516.1"
"74","AL137785.1"
"75","AL138733.1"
"76","AL139008.1"
"77","AL158064.1"
"78","AL354712.1"
"79","AL354751.1"
"80","AL355312.2"
"81","AL355472.3"
"82","AL355512.1"
"83","AL355994.2"
"84","AL356218.1"
"85","AL359764.1"
"86","AL583810.3"
"87","AL590094.1"
"88","AL590483.3"
"89","AL590683.1"
"90","AL606491.1"
