"","HuAgeGBsplit_01....c1_HuAgeGBsplitRnaseq_67__"
"1","AC005229.3"
"2","AC007318.2"
"3","AC026367.2"
"4","AC104634.1"
"5","AC109446.1"
"6","AC115618.1"
"7","AC128688.2"
"8","AC133963.2"
"9","AC145285.3"
"10","AL109935.1"
"11","AL359885.1"
"12","AL645941.2"
"13","AP000808.1"
"14","BTF3P14"
"15","C3orf52"
"16","CCDC116"
"17","ELF3"
"18","FAM83E"
"19","GCSAM"
"20","HIGD1AP1"
"21","LINC02308"
"22","LSP1P3"
"23","PMS2P4"
"24","POU5F1"
"25","RN7SKP272"
"26","RN7SL313P"
"27","RNU6ATAC4P"
"28","RPL9P18"
"29","RPS7P14"
"30","SLC38A3"
"31","SOD2"
"32","TAGLN3"
"33","TMPRSS7"
"34","TRAJ35"
"35","TRIM29"
"36","ZNF680P1"
