"","NPC_SRR1997857","NPC_SRR1997858","NPC_SRR1997859","NPC_SRR1997860","NSC_SRR1997853","NSC_SRR1997854","NSC_SRR1997855","NSC_SRR1997856"
"0610009B22Rik",8.77529566007365,7.6566346748646,7.76901735427142,7.86162216829468,7.31578462950124,7.39954670362839,7.62588981434804,7.45620469735968
"0610009L18Rik",3.25410511239217,0.602989910380993,1.93514442386368,1.12682020894269,0.97931530007079,1.9044633414813,2.11351817211387,1.40064377560085
"0610010F05Rik",2.42763699408042,2.10390451709373,2.12318906585089,1.74229015840621,1.62690163736339,1.6204897335892,1.79191224678403,1.75813968257858
"0610040B10Rik",3.62407558285808,3.06226118914324,3.40296300888626,3.40535412313948,3.49024188955526,1.37580153357336,2.40236281008664,1.85691311509084
"1010001B22Rik",5.39405470451396,5.16484235725588,5.91173722525569,6.23296129392265,3.81348133348543,4.00103090574765,4.87034631506482,4.72950972922721
"1110002L01Rik",1.32313817512784,2.12220514343482,2.11787088577239,2.13189162899053,1.61255932594383,1.97844573610334,1.41110348941387,1.72176866479417
"1110002O04Rik",0,0.821301013345848,1.61429488490456,1.88445606350634,1.76280887450643,0,0,0
"1110008F13Rik",0.985023491002113,1.47530687588745,1.43975508158222,1.860468991992,1.19326673304843,0.61216183778238,0.789447963497866,1.62914215567562
"1110012L19Rik",7.1676841086385,6.79810883701763,6.60075372019142,6.5264396031435,5.66718340856248,5.54915359931664,5.95595551852263,6.28648100991223
"1110017D15Rik",3.33937969492293,2.07952638091755,2.11337610772785,2.24805666869758,0.759849019579619,1.67825380419521,0.486355985737835,0.303457616342804
"1110032A03Rik",5.06160458905509,4.84736126058326,4.95741033253247,5.35007939860591,3.75515678310689,3.59038405693397,4.0109576078237,4.83477002455052
"1110034G24Rik",2.62511373769072,2.34683541794917,1.99724254018532,2.33839944611831,1.68178853023215,1.76914282819403,1.7707854940614,1.79955103532017
"1110038B12Rik",6.35176455158662,7.80614646873746,7.9430394393884,7.61868979924228,6.33101917758714,5.3618583327575,5.99888738736749,6.04722673216684
"1110059E24Rik",3.43949477445707,3.27011569839557,3.1631803234795,3.29971360298225,2.90957047571327,2.58073833803429,3.03689039083864,2.88027149003948
"1110060G06Rik",0,2.47839929611373,1.0381080553359,0,0,0,0,0
"1110065P20Rik",2.54295107198202,2.40909875657711,2.69225809205604,1.05722437124217,0.899133692795654,0.9018906805586,2.35879481460035,1.11649930337557
"1190002N15Rik",3.88428416582577,2.63406428429904,2.91199017063592,2.82100857670153,1.0189401367987,2.26206650260851,1.60839886687618,1.49284110294023
"1190007I07Rik",5.55734430796596,4.93209757959265,5.21659514023246,4.91955161237899,4.07899632668841,3.61990660970221,4.87551185777717,5.36689282215161
"1300002E11Rik",4.53547465091397,3.46041525939042,3.92876879483447,3.60031750505709,2.89253689535555,2.76039273971787,2.93743367048663,3.67335216654774
"1300014J16Rik",0,1.67549680354399,0.478405873386777,2.35266628288918,0,0,0,0
"1300017J02Rik",2.30083716962923,1.27257838814644,0.889637502607838,0.794058593740893,0.577451078450934,0.0360090430281146,0.0199612652352823,0.347049618636592
"1500002C15Rik",0,0.804566093757699,1.76901553038827,1.5294906463672,0,0,1.36008638476582,0
"1500004A13Rik",0.941329626801386,2.18123457567466,2.0522770259478,2.19090173565137,1.6455513062223,1.39046011336029,1.46987537463848,1.15150863586947
"1500009C09Rik",5.94530521046095,4.80091248323066,4.47246328898068,4.70649315518579,4.16546139926947,3.23503279823169,4.2452712989049,3.8196219647584
"1500011B03Rik",4.78544606264498,5.65036348441079,5.60576132952208,5.09803447002885,4.14419229794666,3.84378943331022,4.39143906942321,3.64145021781258
"1500011K16Rik",9.37325390663112,8.57982829171581,8.56942173607596,8.63049041877708,7.87277059649248,7.89057699708492,8.65651464026704,8.48592084864438
"1500015O10Rik",5.0848684956463,4.45301895598735,4.52297615856988,4.78435913020925,1.47697537361227,0.54650509765868,2.12560904091286,1.54952310836084
"1500026H17Rik",1.28309681087571,2.35477874209164,2.59044640888719,2.44668206408992,0.418832363455469,0.622050494751868,1.52999271958061,0.954810647587621
"1600014C23Rik",0,2.41135659705054,1.65240832476474,2.37816358332394,0,0,1.35037818088189,0
"1600020E01Rik",2.24270421699885,2.46534536602897,2.07932455531004,2.02033753430352,1.16897569137039,1.88359664363394,1.04364410209306,1.8194190563595
"1600023N17Rik",0,0.97901964796023,2.29732020423036,1.60652209769858,0,0,0,0
"1700001L19Rik",2.29011682202185,1.01984345743622,1.46007661513742,0.872106240544648,1.33623200592047,0,0.746984023570298,0
"1700001O22Rik",0.969177570023358,0.938383179775315,0.615452323392558,2.31111810103124,0,0,1.10700296039861,1.39078385468283
"1700001P01Rik",2.77275473789527,1.71236401041474,1.37805198074771,1.19474714425033,0.632384324779662,0,0,0
"1700003E16Rik",0,2.11718729138798,2.51122519068379,2.14663155155258,0.128688282068588,0,0,2.21856650718383
"1700003M07Rik",0,2.19327048376489,1.92655145393273,2.09592309234933,0.245933391248574,0,1.51188251521078,1.5888949399275
"1700007K13Rik",0,2.40303253730153,1.02256204643117,1.00262875035559,0,1.54099283924594,0,0
"1700010K24Rik",1.71267439906532,0.947286317663871,1.69845132279253,1.44795324916121,0.682163952556246,0.423802829969085,0.770505229321931,0.0718057809001896
"1700012D14Rik",0.600184824322301,2.38875918845939,2.08322164543408,2.08604962029445,2.24592964926453,2.02658088315203,0.681999341835908,1.20187581643171
"1700013F07Rik",2.20429926212729,1.21760342380138,1.04888231542797,1.08768724212957,0.489605893308835,0,0.655466537486269,1.19305208396046
"1700016J18Rik",3.76517754425807,2.27351401389734,3.42210679385313,2.58488625009931,1.60958558956674,0,1.8299304180643,0.759360934613147
"1700016P03Rik",0.488366657735137,0.925556769998709,1.09740909924659,0.293363802249622,0.163875271929641,1.12279705855046,0,0
"1700018G05Rik",0,1.88954452197574,1.2952847162127,0,0,0,0,0
"1700019D03Rik",2.7499633319831,2.32117706222578,2.60395754365,2.62807633059828,2.34815032044033,1.37689459817798,1.95825327034675,2.29290482042368
"1700021N21Rik",0,1.82794016340175,3.17616245038207,2.38725087378183,0,0,0,0.370898975311186
"1700022N22Rik",0,1.56776019280106,1.75535915914794,2.58471207861868,2.07672626887451,1.77560776738446,0.363246284402414,0
"1700023F06Rik",0.5811606612555,2.04231109563563,1.68454559361495,2.22925369356343,0.397695283517803,0.654141587580151,0,1.24597759242671
"1700027H10Rik",0.0840107660662845,0.992529426544515,0.582392584941882,1.62490735586385,1.08947450216816,0,0,0.172427568247649
"1700027J19Rik",2.06389348006115,1.12060440533654,0.932313847705815,0.82695108519391,0.182220755860557,0.0479516446793403,0,0.0848947303532032
"1700029J07Rik",1.45781703047959,2.11368727003614,2.47971111100793,1.99314452346121,1.12713199445561,0.0600041423993053,0.811478937388244,1.86659150174352
