"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.950828995162853,0.987936093866085,0.987936093866085,0.987936093866085,NA,0,0,0,0
"NSC",0.950828995162853,1,0.987321613326343,0.987321613326343,0.987321613326343,0,NA,0,0,0
"No_data",0.987936093866085,0.987321613326343,1,1,1,0,0,NA,0,0
"8",0.987936093866085,0.987321613326343,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.987936093866085,0.987321613326343,1,1,1,0,0,0,0,NA
