"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.951081390179879,0.987965284763799,0.987965284763799,0.987965284763799,NA,0,0,0,0
"NSC",0.951081390179879,1,0.987420997641686,0.987420997641686,0.987420997641686,0,NA,0,0,0
"No_data",0.987965284763799,0.987420997641686,1,1,1,0,0,NA,0,0
"8",0.987965284763799,0.987420997641686,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.987965284763799,0.987420997641686,1,1,1,0,0,0,0,NA
