"","NPC","NSC","No_data","8","dentate_gyrus","NPC","NSC","No_data","8","dentate_gyrus"
"NPC",1,0.951072833721129,0.987964427785145,0.987964427785145,0.987964427785145,NA,0,0,0,0
"NSC",0.951072833721129,1,0.987417494468902,0.987417494468902,0.987417494468902,0,NA,0,0,0
"No_data",0.987964427785145,0.987417494468902,1,1,1,0,0,NA,0,0
"8",0.987964427785145,0.987417494468902,1,1,1,0,0,0,NA,0
"dentate_gyrus",0.987964427785145,0.987417494468902,1,1,1,0,0,0,0,NA
