"","c1_HuAgeGBsplitRnaseq_1513....NPCbyNSC__"
"1","ABCG4"
"2","ADAMTS10"
"3","ADAMTS18"
"4","ALOXE3"
"5","AMPH"
"6","ANK3"
"7","ARHGAP44"
"8","ATP2A3"
"9","BAIAP3"
"10","BTBD17"
"11","BTG1"
"12","CBLN3"
"13","CCDC177"
"14","CCNJL"
"15","CDC42EP1"
"16","CDR2L"
"17","CPNE9"
"18","EOMES"
"19","HOMER3"
"20","HS3ST1"
"21","MICAL2"
"22","MPP3"
"23","MPZL3"
"24","MRLN"
"25","PDLIM2"
"26","POLB"
"27","PRKCZ"
"28","RORC"
"29","SCN2A"
"30","SLC3A1"
"31","SLC5A5"
"32","SOWAHC"
"33","TMEM151B"
"34","TMEM51"
"35","ZBTB46"
